check_id,dataset,scope,severity,status,value,expected,notes
TRAIN_SHEETS,train,workbook,CRITICAL,PASS,材料1|材料2|材料3|材料4,材料1|材料2|材料3|材料4,工作表名称与顺序。
TRAIN_SHAPE,train,材料1,CRITICAL,PASS,3401x1028,3401x1028,含表头；实际文件为 4 个元字段 + 1024 点。
TRAIN_HEADER_PREFIX,train,材料1,CRITICAL,PASS,温度，oC|频率，Hz|磁芯损耗，w/m3|励磁波形,温度，oC|频率，Hz|磁芯损耗，w/m3|励磁波形,元数据字段顺序。
TRAIN_WAVEFORM_WIDTH,train,材料1,CRITICAL,PASS,1024,1024,等间距单周期磁通密度采样点数。
TRAIN_WAVEFORM_HEADER,train,材料1,CRITICAL,PASS,0..1023,0..1023,采样位置表头连续且顺序正确。
TRAIN_ROW_COUNT,train,材料1,CRITICAL,PASS,3400,3400,不含表头。
TRAIN_WAVEFORM_ROW_WIDTH,train,材料1,CRITICAL,PASS,0,0,波形长度异常的记录数。
TRAIN_SHAPE,train,材料2,CRITICAL,PASS,3001x1028,3001x1028,含表头；实际文件为 4 个元字段 + 1024 点。
TRAIN_HEADER_PREFIX,train,材料2,CRITICAL,PASS,温度，oC|频率，Hz|磁芯损耗，w/m3|励磁波形,温度，oC|频率，Hz|磁芯损耗，w/m3|励磁波形,元数据字段顺序。
TRAIN_WAVEFORM_WIDTH,train,材料2,CRITICAL,PASS,1024,1024,等间距单周期磁通密度采样点数。
TRAIN_WAVEFORM_HEADER,train,材料2,CRITICAL,PASS,0..1023,0..1023,采样位置表头连续且顺序正确。
TRAIN_ROW_COUNT,train,材料2,CRITICAL,PASS,3000,3000,不含表头。
TRAIN_WAVEFORM_ROW_WIDTH,train,材料2,CRITICAL,PASS,0,0,波形长度异常的记录数。
TRAIN_SHAPE,train,材料3,CRITICAL,PASS,3201x1028,3201x1028,含表头；实际文件为 4 个元字段 + 1024 点。
