row_id,source_file,source_sheet,source_excel_row,source_file_sha256,material,temperature_C,temperature_label,frequency_Hz,core_loss_W_per_m3,waveform,waveform_code,waveform_sha256,exact_record_sha256,log_frequency_Hz,b_mean_T,b_m_T,b_pp_T,b_half_pp_T,b_rms_T,b_crest_factor,b_std_T,b_q05_T,b_q25_T,b_median_T,b_q75_T,b_q95_T,diff_max_abs_T,diff_mean_abs_T,diff_q50_abs_T,diff_q90_abs_T,diff_q95_abs_T,total_variation_T,shape_std,shape_q05,shape_q25,shape_median,shape_q75,shape_q95,shape_skew,shape_kurtosis_excess,shape_crest_factor,shape_diff_max_abs,shape_diff_mean_abs,shape_diff_q50_abs,shape_diff_q90_abs,shape_diff_q95_abs,shape_total_variation,shape_positive_slope_ratio,shape_negative_slope_ratio,shape_plateau_ratio,shape_slope_sign_changes,shape_fft_harmonic_to_fundamental,shape_fft_h1_energy_ratio,shape_fft_h2_energy_ratio,shape_fft_h3_energy_ratio,shape_fft_h4_energy_ratio,shape_fft_h5_energy_ratio,shape_fft_h6_energy_ratio,shape_fft_h7_energy_ratio,shape_fft_h8_energy_ratio,shape_fft_h9_energy_ratio,shape_fft_h10_energy_ratio,log_b_m_T,log_b_pp_T,condition_group,energy_proxy_Hz_T,near_shape_group,near_shape_quantization,q1_outer_fold,regression_outer_fold,y_pred_oof,oof_model_id,y_pred_full,full_model_id,strict_oof_lineage_pass,duplicate_row_ids,frequency_quartile,b_m_quartile,q5_region_id,full_oof_log_gap,oof_absolute_log_residual,full_oof_gap_p90,oof_residual_p90,full_oof_gap_pass,oof_residual_pass,is_oof_pareto,is_full_fit_pareto,is_observed_loss_pareto,dual_pareto_pass,region_fold_support_pass,bootstrap_region_stability_pass,candidate_bootstrap_valid_repetitions,candidate_bootstrap_pareto_rate,observed_region_jaccard_pass,single_point_eligible
附件一（训练集）.xlsx|材料1|3143,附件一（训练集）.xlsx,材料1,3143,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,396820,51309.35938,三角波,2,E5859C02EA98BB06DE97BF8D38CB24A624200C1928A32931141DA75733C0439D,01DCEB04FBE374CA05E8DEAB00133A47CAF7EBF3452D0BE0FBA3A49361E34F0E,12.8912380563,-1.26953118157e-11,0.034723929,0.069228813,0.0346144065,0.0201935856354,1.71955241763,0.0201935856354,-0.03141937085,-0.01748353675,-2.765e-05,0.017473792,0.0315319037,0.000184627,0.000135212525391,0.000114227,0.0001730911,0.00017412885,0.138457626,0.291693368127,-0.453848180776,-0.252547111234,-0.000399399991225,0.252406350123,0.455473701574,0.00322791894778,-1.20073933932,1.71955241826,0.00266690980243,0.001953125,0.00164999217883,0.00250027542723,0.00251526557302,2,0.3974609375,0.6025390625,0.0009765625,2,0.0350570508089,0.965988134224,0.0246807491304,0.00417645859029,0.00389626079404,5.14747309595e-06,0.000705158040362,0.000184027610035,6.69470778085e-05,0.000148726863635,1.2195226363e-06,-3.36032623315,-2.67033813019,材料1|90|三角波|55|-15,13779.1495058,near-shape-v1:0.02:A9E3A633D1CCDECE5CA0E7D47B35DEBA5EDFD3620DDE5D756C5F81AD37B38EC7,0.02,3,0,52101.0876412,q4-hgb-amplitude_and_condition-fold-0,48230.2067999,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|3143,3,1,材料1|三角波|90|fq3|bq1,0.0771987623088,0.0153123488231,0.0995572085612,0.117891287822,True,True,True,True,False,True,False,True,335,1,False,False
附件一（训练集）.xlsx|材料4|681,附件一（训练集）.xlsx,材料4,681,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,90,90,89080,452.2277116,正弦波,1,E5AC1BC48F59C5159AB1EB2EED962CBB96C7750B2042141E51AA0A0B1F915F59,05CA1CAEC9EF54DA95A602C57E47E287A7A7F2939EBE5CCB558D2D45A2EE0834,11.3972901214,-2.63671870795e-11,0.015462008,0.030856572,0.015428286,0.0109396320872,1.4133937848,0.0109396320872,-0.0152854285,-0.0109447645,3.295e-05,0.010944058,0.01522162935,9.5746e-05,6.02667421875e-05,6.70575e-05,9.41368e-05,9.48898e-05,0.061713144,0.354531672773,-0.495370272292,-0.354698003188,0.00106784468369,0.35467510864,0.493302670704,-0.00457483953982,-1.50270009734,1.41339378238,0.00310293703396,0.001953125,0.00217319992642,0.00305078606917,0.00307518929841,2,0.498046875,0.501953125,0.0400390625,2,8.89761447567e-06,0.999991071946,6.62646472731e-06,1.91128270584e-06,7.73719488378e-09,1.13743511261e-07,1.44882961287e-10,2.00681369537e-07,8.37734294748e-10,3.64921738809e-08,1.50737314245e-10,-4.16936936069,-3.47840552052,材料4|90|正弦波|49|-19,1377.35567264,near-shape-v1:0.02:996AD645FCB83C71A309B1ECB8CE49B439ABE23826125FF526451F78DE70947B,0.02,2,4,544.465538346,q4-hgb-amplitude_and_condition-fold-4,485.885651629,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料4|681,0,0,材料4|正弦波|90|fq0|bq0,0.113610334914,0.185244955045,0.108741071783,0.133030600098,False,False,True,False,False,False,False,True,325,1,False,False
附件一（训练集）.xlsx|材料1|1047,附件一（训练集）.xlsx,材料1,1047,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,281860,25046.69085,正弦波,1,8004B5C1604707E5DC91F18B810CC6FF4930A7568991A8AB2B048C41989DA43B,0630A81BCA7D50AC8B020A95315371191D5AF2AEAECE8FF7EB3DC5BB1D038CD6,12.5491657727,5.56640601668e-11,0.03514157,0.070235489,0.0351177445,0.024854812874,1.41387385124,0.024854812874,-0.0347148803,-0.02486069925,2.50345e-05,0.02485116725,0.0346705891,0.000216714,0.000137178689453,0.0001527245,0.0002127585,0.0002147159,0.140470978,0.353878263367,-0.494264094262,-0.3539620733,0.000356435823148,0.353826356848,0.493633482702,-0.00145428827323,-1.50005526834,1.41387385348,0.00308553415212,0.001953125,0.00217446339699,0.00302921646918,0.00305708557109,2,0.4990234375,0.5009765625,0.03515625,2,3.35936309314e-06,0.999996623189,3.1030111858e-06,1.41073413962e-09,4.88496479517e-10,2.27297631474e-07,3.09121255839e-10,2.56918542389e-08,1.24176420655e-10,7.0765751829e-10,3.10891874751e-10,-3.34837051879,-2.65590155438,材料1|90|正弦波|54|-15,9905.0029202,near-shape-v1:0.02:DFDB1959BA35B91E145E9C74ACE614F3E0833549F5AD0D6C8831B0BB9FD8E2D4,0.02,4,3,23135.2586496,q4-hgb-amplitude_and_condition-fold-3,23400.3896502,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|1047,3,1,材料1|正弦波|90|fq3|bq1,0.0113943819174,0.0793806162016,0.10683759986,0.123263615773,True,True,True,True,True,True,False,True,307,1,False,False
附件一（训练集）.xlsx|材料1|892,附件一（训练集）.xlsx,材料1,892,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,99950,2992.093566,正弦波,1,D3AF982FF937041CA9058DC9C1E9AABF5A961E5BFE09CC91F1279402F2013168,098F7AAC1F04FE499EDB5589AFFD833E65B78A174BB10DC78597A76F947E17A7,11.5124253399,5.85937201536e-12,0.039458264,0.078845394,0.039422697,0.027907829613,1.41387791696,0.027907829613,-0.03899206915,-0.02790487675,3.9708e-05,0.027920159,0.03892468455,0.000243221,0.000153994910156,0.000172011,0.0002388099,0.0002409716,0.157690788,0.353956372048,-0.494538325928,-0.353918920817,0.00050361843763,0.354112746195,0.493683683591,-0.00212557705917,-1.50006224116,1.41387791717,0.00308478387463,0.001953125,0.0021816239513,0.00302883767694,0.00305625462408,2,0.498046875,0.501953125,0.03515625,2,4.68467623916e-06,0.999995289821,4.3231410611e-06,2.30222928221e-09,3.00483220894e-09,3.22239701094e-07,8.38206504968e-10,3.00844036474e-08,2.503622071e-09,4.72255346653e-10,6.78622432615e-11,-3.23251177327,-2.54026638199,材料1|90|正弦波|49|-15,3943.8534868,near-shape-v1:0.02:0EA091FB6D7385244EC4E12F989A14195AF1574B183002DD694192F87693C5AB,0.02,3,1,3425.92023961,q4-hgb-amplitude_and_condition-fold-1,3102.7112423,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|892,1,1,材料1|正弦波|90|fq1|bq1,0.0990633981231,0.135354478515,0.10683759986,0.123263615773,True,False,True,True,True,True,True,True,313,1,False,False
附件一（训练集）.xlsx|材料4|682,附件一（训练集）.xlsx,材料4,682,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,90,90,89080,607.2036108,正弦波,1,2F879E3400B69A1FB1460FCCE0C6F9D9167AA2AA68C176F11AB94C5D311936F1,09D86ED8318C0F36CD89FD2D9F4F0DF274CF5A258FEFCE857DEB20A2144D695C,11.3972901214,5.46875001881e-11,0.017434045,0.034775716,0.017387858,0.0123238561387,1.41465826961,0.0123238561387,-0.01722980175,-0.0123274085,4.445e-05,0.0123351755,0.01714341885,0.000107614,6.79213203125e-05,7.5396e-05,0.0001056706,0.00010670125,0.069551432,0.354381089915,-0.495454983722,-0.354483242119,0.0012781892201,0.354706584483,0.492970979959,-0.00563703234482,-1.50221648082,1.41465827404,0.00309451572471,0.001953125,0.00216806463453,0.00303863190049,0.00306826896102,2,0.498046875,0.501953125,0.0361328125,2,1.17250095593e-05,0.999988256334,1.00758659713e-05,1.35569905595e-06,3.50885390641e-09,1.87561121663e-07,4.10773904118e-09,3.77450563609e-08,2.85524484145e-12,5.99134415003e-08,4.67769738094e-10,-4.04933037523,-3.35883595188,材料4|90|正弦波|49|-18,1553.0247286,near-shape-v1:0.02:F19107B8D5FB3E10EF6286B9BE09A939C97AC21ECCA9D5C8BCB1FBC31C14401D,0.02,4,0,634.834562905,q4-hgb-amplitude_and_condition-fold-0,580.447134446,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料4|682,0,0,材料4|正弦波|90|fq0|bq0,0.0894183528469,0.0444286961957,0.108741071783,0.133030600098,True,True,True,False,False,False,False,True,313,1,False,False
附件一（训练集）.xlsx|材料1|2895,附件一（训练集）.xlsx,材料1,2895,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,70,70,396820,1978770.733,三角波,2,3977F1E230B7D8B9B9058BD6AAFBA20CB3CC4568DC86531402C261990F505011,0A9DF9CF94203D7B0428A632DB1A7D30C966EDED3FBA39D0A5970F25675DAD19,12.8912380563,-9.76560846078e-13,0.17390845,0.346716404,0.173358202,0.10162468526,1.71128156073,0.10162468526,-0.15859549185,-0.0879647835,5.73685e-05,0.088037887,0.1582780033,0.000910478,0.000677180476563,0.000574022,0.0008680752,0.0008713733,0.693432808,0.293106077726,-0.457421368067,-0.253708167494,0.000165462321121,0.25391901273,0.456505667096,-0.00249903244525,-1.20322054217,1.71128156072,0.00262600208555,0.001953125,0.00165559515898,0.00250370386283,0.00251321624805,2,0.6015625,0.3984375,0.0009765625,2,0.0344885015239,0.966535709251,0.0242216674925,0.00423063046063,0.0038110180513,2.9104520621e-06,0.000691803312981,0.000169372881714,6.82482722053e-05,0.000138040112409,6.77245621553e-07,-1.74922626766,-1.05924811273,材料1|70|三角波|55|-8,69010.351129,near-shape-v1:0.02:89B17ECBBD02841ACF30689F5139FB7C6C97902B7413BB83A39AFF001BA0332C,0.02,4,2,2179216.94031,q4-hgb-amplitude_and_condition-fold-2,2103459.75504,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2895,3,3,材料1|三角波|70|fq3|bq3,0.0353821025671,0.096489754111,0.0995572085612,0.117891287822,True,True,True,True,True,True,True,True,314,1,False,False
附件一（训练集）.xlsx|材料1|2886,附件一（训练集）.xlsx,材料1,2886,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,70,70,396820,25903.96896,三角波,2,6A9C77BE61B873779BA5307A0CFBE6E4A15E7F172247C5B7A7AB29FECB24AB53,0AA99E2607C998D048D2B042F03BFED66EEBA905AED75AFCD7E0A51225ADCF26,12.8912380563,-7.81249934537e-12,0.025043526,0.049906635,0.0249533175,0.0145484855179,1.72138371167,0.0145484855179,-0.02272293595,-0.012572832,1.66e-05,0.01257996775,0.022659234,0.000133631,9.74738964844e-05,8.23785e-05,0.0001245467,0.00012519905,0.09981327,0.291514054553,-0.455308917185,-0.251927063249,0.000332621259929,0.252070045552,0.454032495034,-0.00387182587648,-1.20010117665,1.72138371113,0.00267761991968,0.001953125,0.00165065226297,0.00249559402272,0.00250866543096,2,0.6015625,0.3984375,0,2,0.0350557946105,0.965987673938,0.0246368911668,0.00421198742116,0.00389704134588,4.45300397194e-06,0.000711702221396,0.000182333534552,6.90887757425e-05,0.000148932456868,1.03556743999e-06,-3.68713992797,-2.99760131913,材料1|70|三角波|55|-17,9937.77198732,near-shape-v1:0.02:97C419089A0A12FDF264D9820AC3B511683041FA5CFAB928F54FB9E91639D089,0.02,2,3,30619.2501065,q4-hgb-amplitude_and_condition-fold-3,25046.2030778,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2886,3,0,材料1|三角波|70|fq3|bq0,0.200899390556,0.167226756231,0.0995572085612,0.117891287822,False,False,True,True,True,True,False,True,310,1,False,False
附件一（训练集）.xlsx|材料2|205,附件一（训练集）.xlsx,材料2,205,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,70,70,99950,466.5996296,正弦波,1,03CF3AFDE8D77B95A3ABCEF891AACC1F9A381AF6A42452288C3403352A955CCD,111EA52DE883F328E1D31D340B63713D3464EB1BB51C022605D137D2A2D20B45,11.5124253399,4.39453117992e-11,0.015647061,0.031288541,0.0156442705,0.0110777224498,1.41247996336,0.0110777224498,-0.0154657671,-0.011085931,1.1695e-05,0.011071138,0.0154590655,9.67e-05,6.11104316406e-05,6.8115e-05,9.46321e-05,9.53663e-05,0.062577082,0.354050463708,-0.494294928739,-0.35431281516,0.000373777609339,0.353840019452,0.49408073889,-0.00107034339668,-1.5002027231,1.41247996733,0.00309058834031,0.001953125,0.00217699508584,0.00302449705149,0.00304796251126,2,0.498046875,0.501953125,0.0361328125,2,1.80253157542e-06,0.999998167758,1.11772219054e-06,4.10436641439e-08,6.48931721288e-08,5.37962952414e-07,7.21085773061e-09,6.72268752688e-09,9.56330379507e-09,1.10779672007e-08,6.33147726705e-09,-4.15747217516,-3.4645033507,材料2|70|正弦波|49|-19,1563.92374695,near-shape-v1:0.02:4D7005B87275B620047B619626548FCA4C82A6333B2AB2226C1A7947CB20D068,0.02,1,0,641.939183618,q4-hgb-amplitude_and_condition-fold-0,534.978486238,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料2|205,1,0,材料2|正弦波|70|fq1|bq0,0.181956114872,0.318437700054,0.104291900272,0.124780990562,False,False,True,True,True,True,True,True,329,1,False,False
附件一（训练集）.xlsx|材料1|2616,附件一（训练集）.xlsx,材料1,2616,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,50,50,354610,26086.27792,三角波,2,7505DF0B7A5C502EB499777AC88F6E3A00EBEEC81A61E211331D35AFA0789CF3,1409DA5A199D6C717FD61079721C879812A1CA205F32AD9CEBB30CBFD1531F4F,12.778773873,-3.4179687726e-11,0.028004854,0.055798236,0.027899118,0.0162560008006,1.72273945748,0.0162560008006,-0.02536966925,-0.01406073075,2.361e-05,0.01404978675,0.02530218685,0.00014928,0.000108980929688,9.222e-05,0.0001390668,0.0001398209,0.111596472,0.29133538918,-0.45466794355,-0.251992387641,0.000423132268549,0.251796253634,0.453458544535,-0.00426863800051,-1.19989306502,1.72273945538,0.00267535339289,0.001953125,0.00165274041997,0.00249231534846,0.00250583011262,2,0.6015625,0.3984375,0.0009765625,2,0.0349055210131,0.966124952671,0.0244541918546,0.00426023751671,0.00388772814233,3.38717283942e-06,0.000716365402328,0.000179396355073,7.15858357396e-05,0.00014938822981,8.14327355379e-07,-3.57537742669,-2.886013023,材料1|50|三角波|55|-16,9930.80127694,near-shape-v1:0.02:826E8F0B6D9C9AFB626A68A6AC2964006460CD3D925E4DAA31EF5E2AC55A0979,0.02,1,1,26036.7889497,q4-hgb-amplitude_and_condition-fold-1,25979.8644006,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2616,3,1,材料1|三角波|50|fq3|bq1,0.00218862151003,0.00189885550818,0.0995572085612,0.117891287822,True,True,True,False,False,False,False,True,307,1,False,False
附件一（训练集）.xlsx|材料1|2627,附件一（训练集）.xlsx,材料1,2627,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,50,50,396820,339581.1328,三角波,2,671A36B9374FC5373208D9001DBFABEC6CBB3CC5AD11E10796A933EE265E5A62,156E9B5ACD2CCAACE5AEE3385DF8E2D0B811777DC940540B15F8DA433461558F,12.8912380563,4.78515612551e-11,0.077653813,0.154958923,0.0774794615,0.0453496116919,1.71233688896,0.0453496116919,-0.07069084515,-0.0392776455,2.175e-05,0.039252577,0.07062281435,0.000406315,0.000302654146484,0.0002555295,0.0003873556,0.0003881077,0.309917846,0.292655697484,-0.456190865484,-0.253471338,0.000140359468996,0.253309562252,0.455751840132,-0.00124426072029,-1.20309756283,1.71233689001,0.00262208198233,0.001953125,0.00164901442946,0.00249973084803,0.00250458439234,2,0.6015625,0.3984375,0.001953125,2,0.0345888818566,0.966436314665,0.0243267319255,0.00419425674067,0.00382470901502,3.79088561122e-06,0.000694440659951,0.000173676168794,6.74551729063e-05,0.00014200061816,8.90323257746e-07,-2.55549462563,-1.86459521009,材料1|50|三角波|55|-12,30814.5860747,near-shape-v1:0.02:8188412DB8D04F2BAA79712BE2708235391769123590D6C5528ABFA255EF7212,0.02,4,1,342245.894594,q4-hgb-amplitude_and_condition-fold-1,333487.872315,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2627,3,2,材料1|三角波|50|fq3|bq2,0.0259228921984,0.00781655005774,0.0995572085612,0.117891287822,True,True,True,True,True,True,False,True,308,1,False,False
