factor,level,bootstrap_n,median,ci_lower_2_5pct,ci_upper_97_5pct,positive_fraction,sign_stability
material,材料1,500,-0.151138959892,-0.165577458961,-0.136848542993,0,1
material,材料2,500,-0.0829150637087,-0.0963943614089,-0.0681461878639,0,1
material,材料3,500,0.0348892120816,0.0207895395616,0.0478171353185,1,1
material,材料4,500,0.199052066043,0.183434393849,0.215498982855,1,1
temperature_C,25,500,0.313210059937,0.297802777338,0.330675964245,1,1
temperature_C,50,500,0.0363256955305,0.022956316253,0.049141270684,1,1
temperature_C,70,500,-0.146513565896,-0.160602135166,-0.1332539333,0,1
temperature_C,90,500,-0.202446039231,-0.219267326881,-0.186716783845,0,1
waveform,三角波,500,0.215411781694,0.202146908641,0.227316515448,1,1
waveform,梯形波,500,-0.0559133792526,-0.0657541852602,-0.045551306541,0,1
waveform,正弦波,500,-0.159109161697,-0.170707513154,-0.146825904275,0,1
