pair,first_level,second_level,marginalized_over,bootstrap_n,median,ci_lower_2_5pct,ci_upper_97_5pct,positive_fraction,sign_stability
temperature_C_x_material,25,材料1,waveform,500,0.0162820653419,-0.0111505742363,0.0406512090034,0.9,0.9
temperature_C_x_material,25,材料2,waveform,500,0.00540344302177,-0.0215373671497,0.0305835390779,0.644,0.644
temperature_C_x_material,25,材料3,waveform,500,0.00478059261869,-0.0186277959464,0.0320196041437,0.632,0.632
temperature_C_x_material,25,材料4,waveform,500,-0.0254598893552,-0.0592276247733,0.00676824189578,0.056,0.944
temperature_C_x_material,50,材料1,waveform,500,-0.00242766190685,-0.0284089560958,0.0262573662626,0.422,0.578
temperature_C_x_material,50,材料2,waveform,500,0.0231400217798,0.00159301618672,0.0461138232398,0.982,0.982
temperature_C_x_material,50,材料3,waveform,500,-0.0184183135686,-0.0387070222696,0.00200655243278,0.04,0.96
temperature_C_x_material,50,材料4,waveform,500,-0.00403377428935,-0.0281747437967,0.0270538458566,0.392,0.608
temperature_C_x_material,70,材料1,waveform,500,0.00804536621375,-0.0195358185351,0.0348643153918,0.726,0.726
temperature_C_x_material,70,材料2,waveform,500,-0.0124612371113,-0.0333781552673,0.00947480686657,0.13,0.87
temperature_C_x_material,70,材料3,waveform,500,-0.0161961822603,-0.0369358466692,0.00438753510313,0.068,0.932
temperature_C_x_material,70,材料4,waveform,500,0.0196994870689,-0.00462523547059,0.0481763723338,0.922,0.922
temperature_C_x_material,90,材料1,waveform,500,-0.0216998631769,-0.0507750362446,0.00908848092923,0.082,0.918
temperature_C_x_material,90,材料2,waveform,500,-0.0156432207049,-0.0417499857108,0.00772682956134,0.114,0.886
temperature_C_x_material,90,材料3,waveform,500,0.028927468723,0.00766664367455,0.0505452021914,0.99,0.99
temperature_C_x_material,90,材料4,waveform,500,0.00962905065319,-0.023532378794,0.0400514332837,0.72,0.72
temperature_C_x_waveform,25,三角波,material,500,-0.118908481431,-0.139895965983,-0.0970370736405,0,1
temperature_C_x_waveform,25,梯形波,material,500,0.0028142926899,-0.0151629343021,0.0228952755559,0.602,0.602
temperature_C_x_waveform,25,正弦波,material,500,0.115785584598,0.0945938426691,0.136573242481,1,1
temperature_C_x_waveform,50,三角波,material,500,-0.0150981021584,-0.0340321967783,0.00351757220842,0.066,0.934
temperature_C_x_waveform,50,梯形波,material,500,0.00128969086554,-0.0150250176435,0.0179560353236,0.56,0.56
temperature_C_x_waveform,50,正弦波,material,500,0.0138694021165,-0.00387114004602,0.0322053338993,0.93,0.93
temperature_C_x_waveform,70,三角波,material,500,0.0551952959097,0.0363199323203,0.0746766218456,1,1
temperature_C_x_waveform,70,梯形波,material,500,-0.00451957629749,-0.0189504427762,0.0116106446023,0.32,0.68
temperature_C_x_waveform,70,正弦波,material,500,-0.0511706593885,-0.0683853180392,-0.0341215516175,0,1
temperature_C_x_waveform,90,三角波,material,500,0.0792892634652,0.0572753660682,0.100095335964,1,1
temperature_C_x_waveform,90,梯形波,material,500,-8.50676030995e-05,-0.0185780406264,0.0168563015453,0.49,0.51
temperature_C_x_waveform,90,正弦波,material,500,-0.0790419497508,-0.0986520253191,-0.058825751175,0,1
waveform_x_material,三角波,材料1,temperature_C,500,0.156894827768,0.135105124337,0.182494543611,1,1
waveform_x_material,三角波,材料2,temperature_C,500,-0.0832338318423,-0.104158525129,-0.0636361873482,0,1
waveform_x_material,三角波,材料3,temperature_C,500,-0.111048449815,-0.128716183014,-0.0927417299021,0,1
waveform_x_material,三角波,材料4,temperature_C,500,0.0359595894685,0.0136880935778,0.0594053779733,1,1
waveform_x_material,梯形波,材料1,temperature_C,500,-0.0609389195589,-0.0771703812085,-0.0432537071039,0,1
waveform_x_material,梯形波,材料2,temperature_C,500,0.0230398566557,0.00627347393466,0.0384576634249,0.998,0.998
waveform_x_material,梯形波,材料3,temperature_C,500,0.0327207543471,0.0183600355868,0.0486220007419,1,1
waveform_x_material,梯形波,材料4,temperature_C,500,0.00495311865004,-0.0124196664389,0.0238039476555,0.706,0.706
waveform_x_material,正弦波,材料1,temperature_C,500,-0.0968564393006,-0.116124847769,-0.0795956399614,0,1
waveform_x_material,正弦波,材料2,temperature_C,500,0.0606377743629,0.0393353704132,0.0819155986206,1,1
waveform_x_material,正弦波,材料3,temperature_C,500,0.0781664951861,0.058681415537,0.0997951214314,1,1
waveform_x_material,正弦波,材料4,temperature_C,500,-0.0413643087291,-0.0629596859762,-0.0187088889581,0,1
