outer_fold,feature,scaled_coefficient
0,operating_splines__log_frequency_Hz_sp_0,-0.630941540856
0,operating_splines__log_frequency_Hz_sp_1,-1.29116868271
0,operating_splines__log_frequency_Hz_sp_2,-0.84595084193
0,operating_splines__log_frequency_Hz_sp_3,-0.480001523136
0,operating_splines__log_b_m_T_sp_0,-0.931623837786
0,operating_splines__log_b_m_T_sp_1,-2.47095600509
0,operating_splines__log_b_m_T_sp_2,-1.52804031955
0,operating_splines__log_b_m_T_sp_3,-0.858207132882
0,effect_and_interactions__effect_temperature_25,0.223392322503
0,effect_and_interactions__effect_temperature_50,0.0263946900709
0,effect_and_interactions__effect_temperature_70,-0.103074744262
0,effect_and_interactions__effect_waveform_正弦波,-0.126355294111
0,effect_and_interactions__effect_waveform_三角波,0.176192004103
0,effect_and_interactions__effect_material_材料1,-0.108091354221
0,effect_and_interactions__effect_material_材料2,-0.054822161384
0,effect_and_interactions__effect_material_材料3,0.0189254188004
0,effect_and_interactions__interaction_temperature_25__waveform_正弦波,0.0536911494906
0,effect_and_interactions__interaction_temperature_25__waveform_三角波,-0.0648111736254
0,effect_and_interactions__interaction_temperature_50__waveform_正弦波,0.0092259753818
0,effect_and_interactions__interaction_temperature_50__waveform_三角波,-0.0098431840201
0,effect_and_interactions__interaction_temperature_70__waveform_正弦波,-0.0257109176693
0,effect_and_interactions__interaction_temperature_70__waveform_三角波,0.0299813842717
0,effect_and_interactions__interaction_temperature_25__material_材料1,0.00855057280257
0,effect_and_interactions__interaction_temperature_25__material_材料2,-0.00175005168698
0,effect_and_interactions__interaction_temperature_25__material_材料3,-0.000774136981726
0,effect_and_interactions__interaction_temperature_50__material_材料1,0.00181699041958
0,effect_and_interactions__interaction_temperature_50__material_材料2,0.0134808050396
0,effect_and_interactions__interaction_temperature_50__material_材料3,-0.00952397974806
0,effect_and_interactions__interaction_temperature_70__material_材料1,0.00547441230124
0,effect_and_interactions__interaction_temperature_70__material_材料2,-0.0103785326512
0,effect_and_interactions__interaction_temperature_70__material_材料3,-0.00277621674374
0,effect_and_interactions__interaction_waveform_正弦波__material_材料1,-0.0453643634558
0,effect_and_interactions__interaction_waveform_正弦波__material_材料2,0.0339509392618
0,effect_and_interactions__interaction_waveform_正弦波__material_材料3,0.0404831330017
0,effect_and_interactions__interaction_waveform_三角波__material_材料1,0.087929947884
0,effect_and_interactions__interaction_waveform_三角波__material_材料2,-0.0492774447691
0,effect_and_interactions__interaction_waveform_三角波__material_材料3,-0.0631791042344
1,operating_splines__log_frequency_Hz_sp_0,-0.622851355606
1,operating_splines__log_frequency_Hz_sp_1,-1.30045908223
1,operating_splines__log_frequency_Hz_sp_2,-0.845786461881
