outer_fold,alpha,inner_fold,log_rmse
0,0,0,0.323755134148
0,0,1,0.326180405519
0,0,2,0.317271848881
0,0,mean,0.322402462849
0,0.01,0,0.323756249731
0,0.01,1,0.326179648515
0,0.01,2,0.317271016476
0,0.01,mean,0.322402304907
0,0.1,0,0.323766486867
0,0.1,1,0.326173017282
0,0.1,2,0.317263727893
0,0.1,mean,0.322401077347
0,1,0,0.323888014892
0,1,1,0.326124436792
0,1,2,0.317210639189
0,1,mean,0.322407696958
1,0,0,0.327069749816
1,0,1,0.317223746909
1,0,2,0.341577708376
1,0,mean,0.328623735034
1,0.01,0,0.327069022137
1,0.01,1,0.31722369448
1,0.01,2,0.341578431371
1,0.01,mean,0.328623715996
1,0.1,0,0.327062640738
1,0.1,1,0.317223455193
1,0.1,2,0.341585137411
1,0.1,mean,0.328623744447
1,1,0,0.327015181224
1,1,1,0.317243706195
1,1,2,0.341671562839
1,1,mean,0.328643483419
2,0,0,0.325949965199
2,0,1,0.33409572483
2,0,2,0.332675775486
2,0,mean,0.330907155172
2,0.01,0,0.325950072817
2,0.01,1,0.334094587513
2,0.01,2,0.332676776249
2,0.01,mean,0.330907145526
2,0.1,0,0.325951232037
2,0.1,1,0.334084559174
2,0.1,2,0.332685964525
2,0.1,mean,0.330907251912
2,1,0,0.325981400596
2,1,1,0.334004497774
2,1,2,0.33279550437
2,1,mean,0.330927134246
3,0,0,0.333275061283
3,0,1,0.320946551298
3,0,2,0.323025640771
3,0,mean,0.325749084451
3,0.01,0,0.33327486952
3,0.01,1,0.32094606842
3,0.01,2,0.323025415542
3,0.01,mean,0.325748784494
3,0.1,0,0.33327330976
3,0.1,1,0.320941928024
3,0.1,2,0.32302361174
3,0.1,mean,0.325746283175
3,1,0,0.333273908135
3,1,1,0.320920541185
3,1,2,0.323027309172
3,1,mean,0.325740586164
4,0,0,0.333673489327
4,0,1,0.328450676085
4,0,2,0.316401596303
4,0,mean,0.326175253905
4,0.01,0,0.333673809596
4,0.01,1,0.32845097346
4,0.01,2,0.316400251391
4,0.01,mean,0.326175011482
4,0.1,0,0.333676866233
4,0.1,1,0.32845381664
4,0.1,2,0.316388393372
4,0.1,mean,0.326173025415
4,1,0,0.333724406714
4,1,1,0.328498507486
4,1,2,0.316293785677
4,1,mean,0.326172233292
