variant,outer_fold,group_overlap_count,parameters_json
condition_only,0,0,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
condition_only,1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}"
condition_only,2,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
condition_only,3,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
condition_only,4,0,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}"
amplitude_and_condition,0,0,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
amplitude_and_condition,1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}"
amplitude_and_condition,2,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
amplitude_and_condition,3,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
amplitude_and_condition,4,0,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}"
full_wave_v1,0,0,"{""l2_regularization"":0.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
full_wave_v1,1,0,"{""l2_regularization"":1.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":20,""random_state"":20240920}"
full_wave_v1,2,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
full_wave_v1,3,0,"{""l2_regularization"":1.0,""learning_rate"":0.1,""max_iter"":500,""max_leaf_nodes"":15,""min_samples_leaf"":20,""random_state"":20240920}"
full_wave_v1,4,0,"{""l2_regularization"":0.0,""learning_rate"":0.06,""max_iter"":500,""max_leaf_nodes"":31,""min_samples_leaf"":50,""random_state"":20240920}"
