group_field,group_value,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale,outer_fold_count,is_major_subgroup
material,材料1,3400,0.0784720755288,9776.54993385,26574.4214791,6.1672174365,4.86716808041,0.99387212067,5,True
material,材料2,3000,0.0728784984512,10781.56165,28543.5407794,5.50322458425,4.25944422263,0.995130204827,5,True
material,材料3,3200,0.0680422836215,12336.9828546,33860.6150182,5.1532102298,4.01739242172,0.994706273396,5,True
material,材料4,2800,0.0859531331861,5865.72542128,14496.6324728,6.71523564446,5.50657602754,0.995404750303,5,True
waveform,三角波,4948,0.0727218646739,12208.1837363,33025.0522743,5.55687080476,4.3198009747,0.994213069773,5,True
waveform,梯形波,3398,0.0709987018733,12264.7501643,30495.9884642,5.44929462912,4.16101580956,0.995196704677,5,True
waveform,正弦波,4054,0.084688664271,4786.78264776,11604.4504845,6.600652611,5.34194440714,0.99395699068,5,True
temperature_C,25,3244,0.0812980190676,13196.1175452,36781.5096184,6.22150367614,5.01366311328,0.992937238441,5,True
temperature_C,50,3070,0.0714117374488,9180.79418848,24454.0728353,5.4506620254,4.37150402238,0.995785735663,5,True
temperature_C,70,3030,0.0744520919932,8297.74737147,22242.2667131,5.7229751475,4.43193106997,0.995605843514,5,True
temperature_C,90,3056,0.0777626179604,8295.78305908,21242.7721241,6.05839022788,4.62966761375,0.996063594524,5,True
frequency_quartile,"(158730.0, 251240.0]",3079,0.0772200418894,10674.5766279,29710.1493123,6.03571894833,4.87788370658,0.994110531317,5,True
frequency_quartile,"(251240.0, 501180.0]",2955,0.0694280266906,12197.5162173,35078.3200544,5.32184430619,4.17987379482,0.993413073361,5,True
frequency_quartile,"(49989.999, 89210.0]",3135,0.0754892947643,6356.45086478,16828.293963,5.75827243095,4.38551509673,0.994144585068,5,True
frequency_quartile,"(89210.0, 158730.0]",3231,0.0823349320184,10104.9754624,23999.1795212,6.31659948591,4.98271728523,0.996754897657,5,True
b_m_quartile,"(0.008639999999999998, 0.0275]",3100,0.0909135171949,797.69186585,1699.94442103,7.11417359057,5.69989809087,0.991930255172,5,True
b_m_quartile,"(0.0275, 0.0499]",3101,0.076431632352,2374.69530245,5147.08414991,5.92639978555,4.80784125733,0.99454242485,5,True
b_m_quartile,"(0.0499, 0.101]",3099,0.0723367197223,8453.14566805,17449.1865593,5.60690605341,4.38113736895,0.993156111226,5,True
b_m_quartile,"(0.101, 0.313]",3100,0.0632925903184,27565.8895797,51015.3755356,4.82698059724,3.80376520027,0.991780271769,5,True
