group_field,group_value,n_ridge,rmsle_ridge,mae_W_per_m3_ridge,rmse_W_per_m3_ridge,mape_percent_ridge,median_ape_percent_ridge,r2_original_scale_ridge,outer_fold_count_ridge,is_major_subgroup_ridge,n_candidate,rmsle_candidate,mae_W_per_m3_candidate,rmse_W_per_m3_candidate,mape_percent_candidate,median_ape_percent_candidate,r2_original_scale_candidate,outer_fold_count_candidate,is_major_subgroup_candidate,rmsle_relative_change
material,材料1,3400,0.178664246743,19254.3091661,63097.9887054,14.1739411767,11.2424826332,0.965452740747,5,True,3400,0.0784720755288,9776.54993385,26574.4214791,6.1672174365,4.86716808041,0.99387212067,5,True,-0.560784673155
material,材料2,3000,0.215114248699,30257.7566539,94270.8486622,16.8194779478,12.9098705886,0.946881006528,5,True,3000,0.0728784984512,10781.56165,28543.5407794,5.50322458425,4.25944422263,0.995130204827,5,True,-0.661210268999
material,材料3,3200,0.208276654989,36046.0313442,117501.024208,16.3088062141,13.6673485102,0.936253678527,5,True,3200,0.0680422836215,12336.9828546,33860.6150182,5.1532102298,4.01739242172,0.994706273396,5,True,-0.673308160124
material,材料4,2800,0.198489910844,11954.1297634,27595.7372667,16.3101364603,13.0862053684,0.983348289151,5,True,2800,0.0859531331861,5865.72542128,14496.6324728,6.71523564446,5.50657602754,0.995404750303,5,True,-0.566964724703
waveform,三角波,4948,0.185245514394,28136.5119624,82498.3386347,14.9692789523,12.2631192368,0.963887993144,5,True,4948,0.0727218646739,12208.1837363,33025.0522743,5.55687080476,4.3198009747,0.994213069773,5,True,-0.607429821381
waveform,梯形波,3398,0.193183728888,35832.9756577,120706.366719,14.9591346565,11.759844789,0.924748663856,5,True,3398,0.0709987018733,12264.7501643,30495.9884642,5.44929462912,4.16101580956,0.995196704677,5,True,-0.632480942976
waveform,正弦波,4054,0.222042399171,10872.440131,28641.7956577,17.6633606312,14.1286779716,0.963186713693,5,True,4054,0.084688664271,4786.78264776,11604.4504845,6.600652611,5.34194440714,0.99395699068,5,True,-0.618592374307
temperature_C,25,3244,0.225505581871,39846.7273158,127539.963087,18.1816884343,15.9813485261,0.915080384601,5,True,3244,0.0812980190676,13196.1175452,36781.5096184,6.22150367614,5.01366311328,0.992937238441,5,True,-0.639485557772
temperature_C,50,3070,0.144664079707,22796.9917671,79306.3020628,11.5663696678,9.62230929785,0.955676426237,5,True,3070,0.0714117374488,9180.79418848,24454.0728353,5.4506620254,4.37150402238,0.995785735663,5,True,-0.50636165112
temperature_C,70,3030,0.181053179629,17998.2927133,53238.1338274,14.4844659836,11.690896044,0.974825371063,5,True,3030,0.0744520919932,8297.74737147,22242.2667131,5.7229751475,4.43193106997,0.995605843514,5,True,-0.588783294799
temperature_C,90,3056,0.234425445168,16777.6209774,43736.0005224,19.0210444132,14.8767600269,0.983313871695,5,True,3056,0.0777626179604,8295.78305908,21242.7721241,6.05839022788,4.62966761375,0.996063594524,5,True,-0.668284226123
frequency_quartile,"(158730.0, 251240.0]",3079,0.157344579997,22543.9689486,80444.5772674,13.3139332343,10.4018350854,0.956822251177,5,True,3079,0.0772200418894,10674.5766279,29710.1493123,6.03571894833,4.87788370658,0.994110531317,5,True,-0.509229730755
frequency_quartile,"(251240.0, 501180.0]",2955,0.226348920182,30465.0686543,84985.3782731,17.0636944009,14.459225688,0.961337166637,5,True,2955,0.0694280266906,12197.5162173,35078.3200544,5.32184430619,4.17987379482,0.993413073361,5,True,-0.693269901024
frequency_quartile,"(49989.999, 89210.0]",3135,0.223825341354,14957.6781858,32535.7849586,16.9348408035,14.1058745283,0.978112302686,5,True,3135,0.0754892947643,6356.45086478,16828.293963,5.75827243095,4.38551509673,0.994144585068,5,True,-0.66273124255
frequency_quartile,"(89210.0, 158730.0]",3231,0.186018264261,30556.2690768,113910.586521,16.0937333691,12.2344780354,0.926892188188,5,True,3231,0.0823349320184,10104.9754624,23999.1795212,6.31659948591,4.98271728523,0.996754897657,5,True,-0.55738253797
b_m_quartile,"(0.008639999999999998, 0.0275]",3100,0.257513238445,2758.52069945,5729.07026838,21.9534509665,20.0891592846,0.908344473792,5,True,3100,0.0909135171949,797.69186585,1699.94442103,7.11417359057,5.69989809087,0.991930255172,5,True,-0.646955947803
b_m_quartile,"(0.0275, 0.0499]",3101,0.202159908152,7042.04121666,17466.6694769,16.9601593385,13.9718453074,0.937151141865,5,True,3101,0.076431632352,2374.69530245,5147.08414991,5.92639978555,4.80784125733,0.99454242485,5,True,-0.621924875953
b_m_quartile,"(0.0499, 0.101]",3099,0.185115512078,17172.9138724,40523.8522787,13.6740986626,10.4245615893,0.963087452571,5,True,3099,0.0723367197223,8453.14566805,17449.1865593,5.60690605341,4.38113736895,0.993156111226,5,True,-0.609234694001
b_m_quartile,"(0.101, 0.313]",3100,0.136762148211,71435.2066755,161018.621566,10.800390954,9.01918235683,0.918114408274,5,True,3100,0.0632925903184,27565.8895797,51015.3755356,4.82698059724,3.80376520027,0.991780271769,5,True,-0.537206813827
