diagnostic,global_p90,material,waveform,n,threshold_source,p90_threshold
full_oof_log_gap,0.100208214606,材料1,三角波,1412,material_x_waveform,0.0995572085612
full_oof_log_gap,0.100208214606,材料1,梯形波,921,material_x_waveform,0.102205926565
full_oof_log_gap,0.100208214606,材料1,正弦波,1067,material_x_waveform,0.10683759986
full_oof_log_gap,0.100208214606,材料2,三角波,1003,material_x_waveform,0.0878343505474
full_oof_log_gap,0.100208214606,材料2,梯形波,885,material_x_waveform,0.0906033358119
full_oof_log_gap,0.100208214606,材料2,正弦波,1034,material_x_waveform,0.104291900272
full_oof_log_gap,0.100208214606,材料3,三角波,1078,material_x_waveform,0.0899223710084
full_oof_log_gap,0.100208214606,材料3,梯形波,1094,material_x_waveform,0.089402803317
full_oof_log_gap,0.100208214606,材料3,正弦波,942,material_x_waveform,0.0944761622685
full_oof_log_gap,0.100208214606,材料4,三角波,1455,material_x_waveform,0.114692106565
full_oof_log_gap,0.100208214606,材料4,梯形波,465,material_x_waveform,0.11428293046
full_oof_log_gap,0.100208214606,材料4,正弦波,880,material_x_waveform,0.108741071783
oof_absolute_log_residual,0.117110993971,材料1,三角波,1412,material_x_waveform,0.117891287822
oof_absolute_log_residual,0.117110993971,材料1,梯形波,921,material_x_waveform,0.118664525282
oof_absolute_log_residual,0.117110993971,材料1,正弦波,1067,material_x_waveform,0.123263615773
oof_absolute_log_residual,0.117110993971,材料2,三角波,1003,material_x_waveform,0.105646065075
oof_absolute_log_residual,0.117110993971,材料2,梯形波,885,material_x_waveform,0.0977840223182
oof_absolute_log_residual,0.117110993971,材料2,正弦波,1034,material_x_waveform,0.124780990562
oof_absolute_log_residual,0.117110993971,材料3,三角波,1078,material_x_waveform,0.10470351852
oof_absolute_log_residual,0.117110993971,材料3,梯形波,1094,material_x_waveform,0.0985335408789
oof_absolute_log_residual,0.117110993971,材料3,正弦波,942,material_x_waveform,0.110247248982
oof_absolute_log_residual,0.117110993971,材料4,三角波,1455,material_x_waveform,0.133933973943
oof_absolute_log_residual,0.117110993971,材料4,梯形波,465,material_x_waveform,0.135476070562
oof_absolute_log_residual,0.117110993971,材料4,正弦波,880,material_x_waveform,0.133030600098
