row_id,q5_region_id,outer_fold
附件一（训练集）.xlsx|材料1|3143,材料1|三角波|90|fq3|bq1,0
附件一（训练集）.xlsx|材料1|931,材料1|正弦波|90|fq1|bq1,0
附件一（训练集）.xlsx|材料1|419,材料1|正弦波|50|fq1|bq0,0
附件一（训练集）.xlsx|材料3|2622,材料3|三角波|70|fq3|bq3,0
附件一（训练集）.xlsx|材料4|682,材料4|正弦波|90|fq0|bq0,0
附件一（训练集）.xlsx|材料1|912,材料1|正弦波|90|fq1|bq1,0
附件一（训练集）.xlsx|材料2|2899,材料2|梯形波|90|fq3|bq2,0
附件一（训练集）.xlsx|材料2|1329,材料2|三角波|25|fq3|bq1,0
附件一（训练集）.xlsx|材料1|932,材料1|正弦波|90|fq1|bq1,0
附件一（训练集）.xlsx|材料2|2030,材料2|三角波|90|fq3|bq1,0
附件一（训练集）.xlsx|材料2|205,材料2|正弦波|70|fq1|bq0,0
附件一（训练集）.xlsx|材料2|2034,材料2|三角波|90|fq3|bq2,0
附件一（训练集）.xlsx|材料1|2631,材料1|三角波|50|fq3|bq3,0
附件一（训练集）.xlsx|材料1|997,材料1|正弦波|90|fq2|bq0,0
附件一（训练集）.xlsx|材料1|3161,材料1|三角波|90|fq3|bq1,0
附件一（训练集）.xlsx|材料1|2595,材料1|三角波|50|fq3|bq3,0
附件一（训练集）.xlsx|材料4|570,材料4|正弦波|70|fq2|bq1,0
附件一（训练集）.xlsx|材料2|747,材料2|正弦波|70|fq2|bq0,0
附件一（训练集）.xlsx|材料1|490,材料1|正弦波|50|fq2|bq1,0
附件一（训练集）.xlsx|材料1|1055,材料1|正弦波|90|fq3|bq2,0
附件一（训练集）.xlsx|材料1|1052,材料1|正弦波|90|fq3|bq2,0
附件一（训练集）.xlsx|材料2|2035,材料2|三角波|90|fq3|bq3,0
附件一（训练集）.xlsx|材料4|2214,材料4|三角波|50|fq3|bq2,0
附件一（训练集）.xlsx|材料4|2606,材料4|三角波|90|fq3|bq3,0
