row_id,source_file,source_sheet,source_excel_row,source_file_sha256,material,temperature_C,temperature_label,frequency_Hz,core_loss_W_per_m3,waveform,waveform_code,waveform_sha256,exact_record_sha256,log_frequency_Hz,b_mean_T,b_m_T,b_pp_T,b_half_pp_T,b_rms_T,b_crest_factor,b_std_T,b_q05_T,b_q25_T,b_median_T,b_q75_T,b_q95_T,diff_max_abs_T,diff_mean_abs_T,diff_q50_abs_T,diff_q90_abs_T,diff_q95_abs_T,total_variation_T,shape_std,shape_q05,shape_q25,shape_median,shape_q75,shape_q95,shape_skew,shape_kurtosis_excess,shape_crest_factor,shape_diff_max_abs,shape_diff_mean_abs,shape_diff_q50_abs,shape_diff_q90_abs,shape_diff_q95_abs,shape_total_variation,shape_positive_slope_ratio,shape_negative_slope_ratio,shape_plateau_ratio,shape_slope_sign_changes,shape_fft_harmonic_to_fundamental,shape_fft_h1_energy_ratio,shape_fft_h2_energy_ratio,shape_fft_h3_energy_ratio,shape_fft_h4_energy_ratio,shape_fft_h5_energy_ratio,shape_fft_h6_energy_ratio,shape_fft_h7_energy_ratio,shape_fft_h8_energy_ratio,shape_fft_h9_energy_ratio,shape_fft_h10_energy_ratio,log_b_m_T,log_b_pp_T,condition_group,energy_proxy_Hz_T,near_shape_group,near_shape_quantization,q1_outer_fold,regression_outer_fold,y_pred_oof,oof_model_id,y_pred_full,full_model_id,strict_oof_lineage_pass,duplicate_row_ids,frequency_quartile,b_m_quartile,q5_region_id,full_oof_log_gap,oof_absolute_log_residual,full_oof_gap_p90,oof_residual_p90,full_oof_gap_pass,oof_residual_pass,is_oof_pareto,is_full_fit_pareto,is_observed_loss_pareto,dual_pareto_pass,region_fold_support_pass,bootstrap_region_stability_pass,candidate_bootstrap_valid_repetitions,candidate_bootstrap_pareto_rate,observed_region_jaccard_pass,single_point_eligible
附件一（训练集）.xlsx|材料1|1047,附件一（训练集）.xlsx,材料1,1047,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,281860,25046.69085,正弦波,1,8004B5C1604707E5DC91F18B810CC6FF4930A7568991A8AB2B048C41989DA43B,0630A81BCA7D50AC8B020A95315371191D5AF2AEAECE8FF7EB3DC5BB1D038CD6,12.5491657727,5.56640601668e-11,0.03514157,0.070235489,0.0351177445,0.024854812874,1.41387385124,0.024854812874,-0.0347148803,-0.02486069925,2.50345e-05,0.02485116725,0.0346705891,0.000216714,0.000137178689453,0.0001527245,0.0002127585,0.0002147159,0.140470978,0.353878263367,-0.494264094262,-0.3539620733,0.000356435823148,0.353826356848,0.493633482702,-0.00145428827323,-1.50005526834,1.41387385348,0.00308553415212,0.001953125,0.00217446339699,0.00302921646918,0.00305708557109,2,0.4990234375,0.5009765625,0.03515625,2,3.35936309314e-06,0.999996623189,3.1030111858e-06,1.41073413962e-09,4.88496479517e-10,2.27297631474e-07,3.09121255839e-10,2.56918542389e-08,1.24176420655e-10,7.0765751829e-10,3.10891874751e-10,-3.34837051879,-2.65590155438,材料1|90|正弦波|54|-15,9905.0029202,near-shape-v1:0.02:DFDB1959BA35B91E145E9C74ACE614F3E0833549F5AD0D6C8831B0BB9FD8E2D4,0.02,4,3,23135.2586496,q4-hgb-amplitude_and_condition-fold-3,23400.3896502,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|1047,3,1,材料1|正弦波|90|fq3|bq1,0.0113943819174,0.0793806162016,0.10683759986,0.123263615773,True,True,True,True,True,True,False,True,307,1,False,False
附件一（训练集）.xlsx|材料3|492,附件一（训练集）.xlsx,材料3,492,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料3,70,70,251170,1819.36,正弦波,1,A6BC475EDF100358D8B555BB58A2B8E1F5173D7C9233BACEDED2A274DDE3B824,07910A05DB68CB88323AEAD70163BC78BACFEC6B31E1EA21987C1C274CC78BDB,12.4338852797,2.92968750006e-08,0.01241,0.02482,0.01241,0.00878944706936,1.41192044301,0.00878944706932,-0.0122685,-0.0087875,0,0.0087825,0.0122685,8e-05,4.84765625e-05,5e-05,8e-05,8e-05,0.04964,0.354127601503,-0.494300132831,-0.354050334282,-1.1803736906e-06,0.353846523091,0.494297772084,-0.000211399581265,-1.50096646836,1.41192377621,0.00322320709106,0.001953125,0.00201450443191,0.00322320709106,0.00322320709106,2,0.4775390625,0.4775390625,0.044921875,2,9.66832873558e-07,0.999998917633,3.01512844579e-07,2.39437261185e-07,1.06576923332e-08,3.84339627846e-07,1.5203856869e-09,3.71325411112e-11,2.07571691216e-10,2.88019160455e-08,3.17395181922e-10,-4.38925267977,-3.69610549921,材料3|70|正弦波|53|-20,3117.0197,near-shape-v1:0.02:CD080414ECBB0D75784E6CB7D2F444F7D7096CB64839B956F3100D643DF2B70C,0.02,1,1,2024.21316583,q4-hgb-amplitude_and_condition-fold-1,1938.8539002,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料3|492,2,0,材料3|正弦波|70|fq2|bq0,0.0430623010308,0.106640678369,0.0944761622685,0.110247248982,True,True,False,True,True,False,True,True,312,0.144230769231,False,False
附件一（训练集）.xlsx|材料2|2022,附件一（训练集）.xlsx,材料2,2022,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,90,90,251230,79398.74641,三角波,2,AA538163A1761A59DB12C825281235A9A88B1316022F65A8CFB1788EC9FD4337,07C89810C383552AEB8ECF8A77815008A3BDBC1D548D081CEC9E9BA97BD1F9D5,12.4341241332,-4.0039061476e-11,0.062229435,0.124061732,0.062030866,0.0361215985534,1.72277633029,0.0361215985534,-0.05618404485,-0.031284428,-4.48975e-05,0.031252923,0.0564030256,0.00032412,0.000242308070312,0.0002062375,0.0003055182,0.0003063571,0.248123464,0.291158264286,-0.452871678512,-0.252168234762,-0.000361896124108,0.251914289251,0.454636774215,0.00401841233269,-1.20051920006,1.7227763314,0.0026125703291,0.001953125,0.00166237804902,0.00246263045884,0.00246939241506,2,0.4033203125,0.5966796875,0.0009765625,2,0.0330297418718,0.967873578072,0.0223899858725,0.00474472327889,0.0037048838076,1.25059047214e-06,0.000754079912771,0.000135233275213,9.96861845224e-05,0.000138436772385,3.34753872136e-07,-2.77692715966,-2.08697599855,材料2|90|三角波|54|-13,15633.900955,near-shape-v1:0.02:8C6ED22BDE8ECA0222735F2905EB60A2A6C65595CFD878C3AF94B74A3E80C387,0.02,3,1,78525.53081,q4-hgb-amplitude_and_condition-fold-1,80049.088317,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料2|2022,2,2,材料2|三角波|90|fq2|bq2,0.0192160029245,0.0110586346287,0.0878343505474,0.105646065075,True,True,False,False,True,False,True,False,296,0.381756756757,False,False
附件一（训练集）.xlsx|材料1|928,附件一（训练集）.xlsx,材料1,928,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,125860,2095.126964,正弦波,1,3A7002069B46FCD642E610AC38BC756DD9024558EE8165AE866BA3D34FF777A5,0969AA476D3A1BCB95F2ADF44957AB1EB237810EB9AA6F9B7479A1C4C4EA8CC0,11.7429254571,5.66406244823e-11,0.0276567,0.05529942,0.02764971,0.0195904761832,1.41174210067,0.0195904761832,-0.0273327307,-0.019591481,9.45e-06,0.01960259975,0.02731842165,0.000170142,0.000108006679687,0.000120264,0.0001682462,0.0001694405,0.11059884,0.354261874414,-0.49426794633,-0.354280045914,0.00017088684401,0.354481108362,0.494009188403,-0.00062651685289,-1.50194061562,1.41174210356,0.00307674113038,0.001953125,0.00217477868665,0.00304245867317,0.00306405564471,2,0.4990234375,0.5009765625,0.03515625,2,2.17076052226e-06,0.999997813552,9.6887346045e-07,9.54943062447e-07,1.67231305065e-08,1.80834246587e-07,1.27142138614e-09,1.34194716946e-08,2.49700123938e-09,3.15728762439e-08,6.21105454265e-10,-3.58788726572,-2.89499285875,材料1|90|正弦波|50|-16,3480.872262,near-shape-v1:0.02:0772F18291C4989EAA88ED3402D818638509981F6263E65507DF2840F304ECB6,0.02,3,4,2183.56527593,q4-hgb-amplitude_and_condition-fold-4,2192.62008445,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|928,1,1,材料1|正弦波|90|fq1|bq1,0.00413633534662,0.0413255113165,0.10683759986,0.123263615773,True,True,False,False,True,False,True,True,319,0.1065830721,False,False
附件一（训练集）.xlsx|材料1|892,附件一（训练集）.xlsx,材料1,892,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,99950,2992.093566,正弦波,1,D3AF982FF937041CA9058DC9C1E9AABF5A961E5BFE09CC91F1279402F2013168,098F7AAC1F04FE499EDB5589AFFD833E65B78A174BB10DC78597A76F947E17A7,11.5124253399,5.85937201536e-12,0.039458264,0.078845394,0.039422697,0.027907829613,1.41387791696,0.027907829613,-0.03899206915,-0.02790487675,3.9708e-05,0.027920159,0.03892468455,0.000243221,0.000153994910156,0.000172011,0.0002388099,0.0002409716,0.157690788,0.353956372048,-0.494538325928,-0.353918920817,0.00050361843763,0.354112746195,0.493683683591,-0.00212557705917,-1.50006224116,1.41387791717,0.00308478387463,0.001953125,0.0021816239513,0.00302883767694,0.00305625462408,2,0.498046875,0.501953125,0.03515625,2,4.68467623916e-06,0.999995289821,4.3231410611e-06,2.30222928221e-09,3.00483220894e-09,3.22239701094e-07,8.38206504968e-10,3.00844036474e-08,2.503622071e-09,4.72255346653e-10,6.78622432615e-11,-3.23251177327,-2.54026638199,材料1|90|正弦波|49|-15,3943.8534868,near-shape-v1:0.02:0EA091FB6D7385244EC4E12F989A14195AF1574B183002DD694192F87693C5AB,0.02,3,1,3425.92023961,q4-hgb-amplitude_and_condition-fold-1,3102.7112423,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|892,1,1,材料1|正弦波|90|fq1|bq1,0.0990633981231,0.135354478515,0.10683759986,0.123263615773,True,False,True,True,True,True,True,True,313,1,False,False
附件一（训练集）.xlsx|材料1|2895,附件一（训练集）.xlsx,材料1,2895,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,70,70,396820,1978770.733,三角波,2,3977F1E230B7D8B9B9058BD6AAFBA20CB3CC4568DC86531402C261990F505011,0A9DF9CF94203D7B0428A632DB1A7D30C966EDED3FBA39D0A5970F25675DAD19,12.8912380563,-9.76560846078e-13,0.17390845,0.346716404,0.173358202,0.10162468526,1.71128156073,0.10162468526,-0.15859549185,-0.0879647835,5.73685e-05,0.088037887,0.1582780033,0.000910478,0.000677180476563,0.000574022,0.0008680752,0.0008713733,0.693432808,0.293106077726,-0.457421368067,-0.253708167494,0.000165462321121,0.25391901273,0.456505667096,-0.00249903244525,-1.20322054217,1.71128156072,0.00262600208555,0.001953125,0.00165559515898,0.00250370386283,0.00251321624805,2,0.6015625,0.3984375,0.0009765625,2,0.0344885015239,0.966535709251,0.0242216674925,0.00423063046063,0.0038110180513,2.9104520621e-06,0.000691803312981,0.000169372881714,6.82482722053e-05,0.000138040112409,6.77245621553e-07,-1.74922626766,-1.05924811273,材料1|70|三角波|55|-8,69010.351129,near-shape-v1:0.02:89B17ECBBD02841ACF30689F5139FB7C6C97902B7413BB83A39AFF001BA0332C,0.02,4,2,2179216.94031,q4-hgb-amplitude_and_condition-fold-2,2103459.75504,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2895,3,3,材料1|三角波|70|fq3|bq3,0.0353821025671,0.096489754111,0.0995572085612,0.117891287822,True,True,True,True,True,True,True,True,314,1,False,False
附件一（训练集）.xlsx|材料1|2886,附件一（训练集）.xlsx,材料1,2886,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,70,70,396820,25903.96896,三角波,2,6A9C77BE61B873779BA5307A0CFBE6E4A15E7F172247C5B7A7AB29FECB24AB53,0AA99E2607C998D048D2B042F03BFED66EEBA905AED75AFCD7E0A51225ADCF26,12.8912380563,-7.81249934537e-12,0.025043526,0.049906635,0.0249533175,0.0145484855179,1.72138371167,0.0145484855179,-0.02272293595,-0.012572832,1.66e-05,0.01257996775,0.022659234,0.000133631,9.74738964844e-05,8.23785e-05,0.0001245467,0.00012519905,0.09981327,0.291514054553,-0.455308917185,-0.251927063249,0.000332621259929,0.252070045552,0.454032495034,-0.00387182587648,-1.20010117665,1.72138371113,0.00267761991968,0.001953125,0.00165065226297,0.00249559402272,0.00250866543096,2,0.6015625,0.3984375,0,2,0.0350557946105,0.965987673938,0.0246368911668,0.00421198742116,0.00389704134588,4.45300397194e-06,0.000711702221396,0.000182333534552,6.90887757425e-05,0.000148932456868,1.03556743999e-06,-3.68713992797,-2.99760131913,材料1|70|三角波|55|-17,9937.77198732,near-shape-v1:0.02:97C419089A0A12FDF264D9820AC3B511683041FA5CFAB928F54FB9E91639D089,0.02,2,3,30619.2501065,q4-hgb-amplitude_and_condition-fold-3,25046.2030778,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2886,3,0,材料1|三角波|70|fq3|bq0,0.200899390556,0.167226756231,0.0995572085612,0.117891287822,False,False,True,True,True,True,False,True,310,1,False,False
附件一（训练集）.xlsx|材料1|2878,附件一（训练集）.xlsx,材料1,2878,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,70,70,396820,518693.4246,三角波,2,2FC2E3945BAFD69D0E332EE6E586D303F26790B9703727114471163BC143A131,0E0039E5B0ABFFB92CCC7C895205876E563B1696226FFFA6E3670B9BFAAEDF96,12.8912380563,7.42187526714e-11,0.097756217,0.19500233,0.097501165,0.0570782611615,1.71266985032,0.0570782611615,-0.0889407165,-0.04937796925,-3.92e-05,0.04941142025,0.08900001675,0.00051045,0.000380863925781,0.0003214,0.0004882507,0.00048941055,0.39000466,0.292705534141,-0.456100789022,-0.253217329886,-0.00020102361966,0.253388870665,0.456404888474,0.00186972844428,-1.20319809707,1.71266984902,0.00261766103,0.001953125,0.0016481854345,0.00250381982615,0.0025097677038,2,0.3984375,0.6015625,0.0009765625,2,0.0348470683428,0.966196488279,0.0246221047905,0.00411931289475,0.00384731647321,5.5102089765e-06,0.000688065809608,0.000179888304248,6.3760447858e-05,0.000141965701808,1.19042864954e-06,-2.32527848112,-1.63474377177,材料1|70|三角波|55|-11,38791.6220299,near-shape-v1:0.02:3C03F274D569F93086DDCD32B0E345ADFFA4922B7C787D9FB2AF0D3F25B2F725,0.02,1,3,546404.441744,q4-hgb-amplitude_and_condition-fold-3,536497.077908,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|2878,3,2,材料1|三角波|70|fq3|bq2,0.0182982880611,0.0520463349704,0.0995572085612,0.117891287822,True,True,False,True,True,False,False,True,325,0,False,False
附件一（训练集）.xlsx|材料2|205,附件一（训练集）.xlsx,材料2,205,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,70,70,99950,466.5996296,正弦波,1,03CF3AFDE8D77B95A3ABCEF891AACC1F9A381AF6A42452288C3403352A955CCD,111EA52DE883F328E1D31D340B63713D3464EB1BB51C022605D137D2A2D20B45,11.5124253399,4.39453117992e-11,0.015647061,0.031288541,0.0156442705,0.0110777224498,1.41247996336,0.0110777224498,-0.0154657671,-0.011085931,1.1695e-05,0.011071138,0.0154590655,9.67e-05,6.11104316406e-05,6.8115e-05,9.46321e-05,9.53663e-05,0.062577082,0.354050463708,-0.494294928739,-0.35431281516,0.000373777609339,0.353840019452,0.49408073889,-0.00107034339668,-1.5002027231,1.41247996733,0.00309058834031,0.001953125,0.00217699508584,0.00302449705149,0.00304796251126,2,0.498046875,0.501953125,0.0361328125,2,1.80253157542e-06,0.999998167758,1.11772219054e-06,4.10436641439e-08,6.48931721288e-08,5.37962952414e-07,7.21085773061e-09,6.72268752688e-09,9.56330379507e-09,1.10779672007e-08,6.33147726705e-09,-4.15747217516,-3.4645033507,材料2|70|正弦波|49|-19,1563.92374695,near-shape-v1:0.02:4D7005B87275B620047B619626548FCA4C82A6333B2AB2226C1A7947CB20D068,0.02,1,0,641.939183618,q4-hgb-amplitude_and_condition-fold-0,534.978486238,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料2|205,1,0,材料2|正弦波|70|fq1|bq0,0.181956114872,0.318437700054,0.104291900272,0.124780990562,False,False,True,True,True,True,True,True,329,1,False,False
附件一（训练集）.xlsx|材料1|1005,附件一（训练集）.xlsx,材料1,1005,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,90,90,199500,142631.1487,正弦波,1,B6A9EF36A497E0D1D011C73C92D745ACFCF21600B5160FB48A127B8ED48FB091,14B98CA5027465786A2263C72DED4A58A10BEC279047964EF9DD213CE4E4E3D0,12.2035695153,5.85936854591e-12,0.098941113,0.197501498,0.098750749,0.0698868589854,1.41573272052,0.0698868589854,-0.09775498085,-0.069832395,0.0001939455,0.0698505825,0.0974030683,0.000610609,0.000385745113281,0.000430108,0.000597781,0.00060310485,0.395002996,0.353854829928,-0.49495817422,-0.353579065035,0.000981995053732,0.353671152885,0.49317635198,-0.00401100215568,-1.49981557676,1.4157327206,0.00309166768953,0.001953125,0.00217774550753,0.00302671628344,0.00305367228151,2,0.498046875,0.501953125,0.0341796875,2,1.76256116189e-05,0.999982356874,1.72945398345e-05,1.07602614818e-08,7.29220163494e-09,2.8773489857e-07,4.02797029684e-10,2.11192101376e-08,1.48997549926e-09,1.30298117849e-09,6.58487963482e-10,-2.313230424,-1.62200910986,材料1|90|正弦波|52|-11,19738.7520435,near-shape-v1:0.02:7A7E43FA9CB50F6274FB5BC2F527C3F2B4A58248099E60724DA48243352C2A3B,0.02,0,1,153817.692249,q4-hgb-amplitude_and_condition-fold-1,144468.966157,q4-hgb-amplitude_and_condition-full,True,附件一（训练集）.xlsx|材料1|1005,2,2,材料1|正弦波|90|fq2|bq2,0.0627029464809,0.075505656491,0.10683759986,0.123263615773,True,True,False,True,True,False,True,True,306,0.356209150327,False,False
