dataset,scope,position,finite_count,missing_count,nonfinite_count,min,max,mean,std_population
test2,测试集,0,80,0,0,-0.262161371,0.03213,-0.03989107516249999,0.04509948044244549
test2,测试集,1,80,0,0,-0.25937378,0.03198,-0.03931687114999999,0.04462785510892457
test2,测试集,2,80,0,0,-0.25662163,0.03183,-0.03874652426250001,0.04416402992452849
test2,测试集,3,80,0,0,-0.253878513,0.03168,-0.03817903277500001,0.043706559168124444
test2,测试集,4,80,0,0,-0.251148661,0.03153,-0.037613874374999995,0.04325490222108798
test2,测试集,5,80,0,0,-0.248417114,0.03137,-0.03705021999999998,0.042807716448275586
test2,测试集,6,80,0,0,-0.24568465,0.03122,-0.03648753734999998,0.04236579252814956
test2,测试集,7,80,0,0,-0.242961057,0.03106,-0.03592607156250001,0.04192918796720292
test2,测试集,8,80,0,0,-0.240237899,0.03091,-0.035364961625,0.04149734082336208
test2,测试集,9,80,0,0,-0.237512573,0.03075,-0.03480419535000001,0.04107001757423732
test2,测试集,10,80,0,0,-0.234795269,0.03059,-0.0342435067,0.04064832629813703
test2,测试集,11,80,0,0,-0.232082821,0.03043,-0.033683099037500004,0.040231910593987535
test2,测试集,12,80,0,0,-0.229368819,0.03027,-0.033122896750000005,0.03982061627952062
test2,测试集,13,80,0,0,-0.226656135,0.0301,-0.0325629720375,0.039414427914713474
test2,测试集,14,80,0,0,-0.22394838,0.02994,-0.032003224262500005,0.03901440322221157
test2,测试集,15,80,0,0,-0.221244328,0.02977,-0.031444003125,0.03862038529774964
test2,测试集,16,80,0,0,-0.218535639,0.02961,-0.030884473975,0.038231892191339864
test2,测试集,17,80,0,0,-0.215824839,0.02944,-0.030324766250000006,0.037849077796853536
test2,测试集,18,80,0,0,-0.213115026,0.02927,-0.029765317750000003,0.037472539791492475
test2,测试集,19,80,0,0,-0.210399616,0.0291,-0.029205841325000016,0.03710203676581155
test2,测试集,20,80,0,0,-0.207679177,0.02893,-0.02864626538749999,0.03673779814864085
test2,测试集,21,80,0,0,-0.2049614,0.02876,-0.028086665712499997,0.0363804236515125
test2,测试集,22,80,0,0,-0.202249389,0.02859,-0.027527383837500013,0.03603049292639743
test2,测试集,23,80,0,0,-0.199542789,0.02841,-0.026968561224999993,0.035687973481708386
test2,测试集,24,80,0,0,-0.196838313,0.02824,-0.026409765925000002,0.03535307085792273
test2,测试集,25,80,0,0,-0.194132347,0.02806,-0.025851294762499998,0.03502525925528471
test2,测试集,26,80,0,0,-0.191427904,0.02788,-0.025292816112499998,0.0347054943226522
test2,测试集,27,80,0,0,-0.188720012,0.02771,-0.024734246999999994,0.03439365411949969
test2,测试集,28,80,0,0,-0.186008632,0.02753,-0.024175804125,0.034089440817012755
test2,测试集,29,80,0,0,-0.183298976,0.02735,-0.023617698750000003,0.033793554596421596
test2,测试集,30,80,0,0,-0.18058894,0.02717,-0.0230596439875,0.033506281224460005
test2,测试集,31,80,0,0,-0.177881279,0.02698,-0.0225016639875,0.03322766638690904
test2,测试集,32,80,0,0,-0.175175839,0.0268,-0.0219436522125,0.032958195165192064
test2,测试集,33,80,0,0,-0.172471109,0.02662,-0.0213854911,0.03269809213236712
test2,测试集,34,80,0,0,-0.169764579,0.02643,-0.0208273238875,0.03244718127051534
test2,测试集,35,80,0,0,-0.167064012,0.02624,-0.0202695419875,0.03220627320668302
test2,测试集,36,80,0,0,-0.164358814,0.02606,-0.019711676737500003,0.03197529337288784
test2,测试集,37,80,0,0,-0.161641563,0.02587,-0.019153907087499998,0.03175354508013591
test2,测试集,38,80,0,0,-0.158924784,0.02568,-0.018596303887500002,0.031542125101904364
test2,测试集,39,80,0,0,-0.156213166,0.02549,-0.018038685475,0.03134151627490817
test2,测试集,40,80,0,0,-0.153504543,0.0253,-0.017481368662500003,0.031151471714271316
test2,测试集,41,80,0,0,-0.150792269,0.02511,-0.016923873175,0.030972345011465473
test2,测试集,42,80,0,0,-0.148082966,0.02492,-0.016366650437500005,0.0308043255229825
test2,测试集,43,80,0,0,-0.145376362,0.02473,-0.015809322749999993,0.030647647220403484
test2,测试集,44,80,0,0,-0.142674204,0.024585426,-0.01525206517499999,0.03050272273873705
test2,测试集,45,80,0,0,-0.139979149,0.025045335,-0.014695354325000007,0.030369429441308906
test2,测试集,46,80,0,0,-0.137278545,0.02550388,-0.014138384274999995,0.030247646529828077
test2,测试集,47,80,0,0,-0.134575615,0.025960518,-0.013581651625000002,0.030137331035462074
test2,测试集,48,80,0,0,-0.131881381,0.026416672,-0.013025172712499995,0.03003942891892401
test2,测试集,49,80,0,0,-0.129193626,0.026871963,-0.012469024362500001,0.029953701858448648
test2,测试集,50,80,0,0,-0.126500878,0.027325442,-0.011912686375,0.02987988915789429
test2,测试集,51,80,0,0,-0.123802433,0.027777435,-0.011356132437499998,0.029818108638674568
test2,测试集,52,80,0,0,-0.12110894,0.028228366,-0.010799906212499997,0.02976890193267701
test2,测试集,53,80,0,0,-0.118411596,0.028678859,-0.010243612849999998,0.02973195180294931
test2,测试集,54,80,0,0,-0.115711697,0.029129607,-0.009687455199999995,0.029707101529492692
test2,测试集,55,80,0,0,-0.113010012,0.029578912,-0.0091313553875,0.0296945255342682
test2,测试集,56,80,0,0,-0.110305214,0.030025975,-0.00857511695,0.029694444781029807
test2,测试集,57,80,0,0,-0.109267234,0.030471573,-0.0080190205625,0.029706980302003527
test2,测试集,58,80,0,0,-0.108498108,0.030915204,-0.007463148912499999,0.029732094212568956
test2,测试集,59,80,0,0,-0.10772927,0.033523874,-0.0069072138625,0.02976957535058078
test2,测试集,60,80,0,0,-0.10696064,0.036536896,-0.006351420699999997,0.029819250240249034
test2,测试集,61,80,0,0,-0.106192339,0.039552526,-0.0057957630125000026,0.029881108430108556
test2,测试集,62,80,0,0,-0.105424398,0.042571785,-0.0052402287875000005,0.02995494745853476
test2,测试集,63,80,0,0,-0.104656332,0.045590608,-0.004684881487500002,0.03004078268251517
test2,测试集,64,80,0,0,-0.103888223,0.048601722,-0.004129712924999999,0.03013843337234149
test2,测试集,65,80,0,0,-0.103120514,0.051611996,-0.0035747938125,0.030247989234322342
test2,测试集,66,80,0,0,-0.102352415,0.054630235,-0.003019805987500001,0.030369569167439218
test2,测试集,67,80,0,0,-0.10158396,0.057648253,-0.0024646151749999996,0.030502867435379406
test2,测试集,68,80,0,0,-0.100815906,0.060663456,-0.0019096129124999996,0.030647546431504965
test2,测试集,69,80,0,0,-0.100049433,0.063679021,-0.0013545546875,0.030803288037987014
test2,测试集,70,80,0,0,-0.09928346,0.0666947,-0.0007998658125000016,0.030970034573822317
test2,测试集,71,80,0,0,-0.098516327,0.0697105,-0.00024531610000000034,0.031148030023247533
test2,测试集,72,80,0,0,-0.097750261,0.072726076,0.0003091907124999978,0.03133664251217483
test2,测试集,73,80,0,0,-0.097618157,0.075741044,0.0008635586375000005,0.0315357710040804
test2,测试集,74,80,0,0,-0.097685042,0.078755494,0.0014178955374999995,0.0317451087970872
test2,测试集,75,80,0,0,-0.097751861,0.081769785,0.001972048312500001,0.031964382285674726
test2,测试集,76,80,0,0,-0.097814165,0.084782003,0.0025259452124999993,0.03219354428370595
test2,测试集,77,80,0,0,-0.097869031,0.087793526,0.003079736450000001,0.03243251136905071
test2,测试集,78,80,0,0,-0.097919462,0.090804591,0.0036332993874999982,0.03268072673003422
test2,测试集,79,80,0,0,-0.097966678,0.093816182,0.004186517625000002,0.03293794604600501
test2,测试集,80,80,0,0,-0.098008954,0.09682747,0.004739464187499999,0.03320391749041018
test2,测试集,81,80,0,0,-0.098048084,0.099840996,0.0052920989875,0.03347850176482581
test2,测试集,82,80,0,0,-0.098085228,0.102860093,0.005844477512500001,0.03376216290137301
test2,测试集,83,80,0,0,-0.098118913,0.105879901,0.0063964127375,0.03405413249263366
test2,测试集,84,80,0,0,-0.098148889,0.108895924,0.006947405712500003,0.03435338007838329
test2,测试集,85,80,0,0,-0.098175341,0.111904838,0.007497550887500003,0.034659568873535676
test2,测试集,86,80,0,0,-0.098198829,0.114911601,0.008046764724999995,0.03497242779380721
test2,测试集,87,80,0,0,-0.098220891,0.117920577,0.0085945694,0.035291595757347895
test2,测试集,88,80,0,0,-0.098240612,0.120928116,0.009140904487499999,0.03561656956071434
test2,测试集,89,80,0,0,-0.09825619,0.123935408,0.009685273412499994,0.03594700214013889
test2,测试集,90,80,0,0,-0.098269128,0.126946309,0.010227504262500001,0.03628263522391882
test2,测试集,91,80,0,0,-0.098280115,0.129959061,0.010766942387500006,0.03662267185894068
test2,测试集,92,80,0,0,-0.098288159,0.132970234,0.011302605225000002,0.03696537441768529
test2,测试集,93,80,0,0,-0.098293968,0.135977023,0.011832913375,0.0373084318652383
test2,测试集,94,80,0,0,-0.098297002,0.138983594,0.012356030300000003,0.03764905489578596
test2,测试集,95,80,0,0,-0.098294897,0.141985753,0.012868205475,0.037981608956803796
test2,测试集,96,80,0,0,-0.098286828,0.144942311,0.013363450975,0.03829672344503924
test2,测试集,97,80,0,0,-0.098276931,0.147793555,0.013831561062500006,0.038579368416752205
test2,测试集,98,80,0,0,-0.098266158,0.150488518,0.014259859774999998,0.03880796799713425
test2,测试集,99,80,0,0,-0.098255198,0.152937617,0.014638478999999987,0.03896405325334924
test2,测试集,100,80,0,0,-0.098243422,0.15477749,0.014962001737499998,0.03902965948178665
test2,测试集,101,80,0,0,-0.098228081,0.155664796,0.015230251537499993,0.03899356362813967
test2,测试集,102,80,0,0,-0.098207788,0.155685978,0.0154546911375,0.03887231046284551
test2,测试集,103,80,0,0,-0.098181335,0.155305587,0.0156572566875,0.03871257808690451
test2,测试集,104,80,0,0,-0.098152847,0.154900543,0.015854143149999993,0.038550505343898256
test2,测试集,105,80,0,0,-0.098124175,0.154515192,0.0160495282125,0.0383934904218323
test2,测试集,106,80,0,0,-0.098089828,0.154140333,0.01624583609999999,0.03824230245235702
test2,测试集,107,80,0,0,-0.098049628,0.153764589,0.016443391137500006,0.03809605821411786
