row_id,source_file,source_sheet,source_excel_row,source_file_sha256,material,temperature_C,temperature_label,frequency_Hz,core_loss_W_per_m3,waveform,waveform_code,waveform_sha256,exact_record_sha256,log_frequency_Hz,b_mean_T,b_m_T,b_pp_T,b_half_pp_T,b_rms_T,b_crest_factor,b_std_T,b_q05_T,b_q25_T,b_median_T,b_q75_T,b_q95_T,diff_max_abs_T,diff_mean_abs_T,diff_q50_abs_T,diff_q90_abs_T,diff_q95_abs_T,total_variation_T,shape_std,shape_q05,shape_q25,shape_median,shape_q75,shape_q95,shape_skew,shape_kurtosis_excess,shape_crest_factor,shape_diff_max_abs,shape_diff_mean_abs,shape_diff_q50_abs,shape_diff_q90_abs,shape_diff_q95_abs,shape_total_variation,shape_positive_slope_ratio,shape_negative_slope_ratio,shape_plateau_ratio,shape_slope_sign_changes,shape_fft_harmonic_to_fundamental,shape_fft_h1_energy_ratio,shape_fft_h2_energy_ratio,shape_fft_h3_energy_ratio,shape_fft_h4_energy_ratio,shape_fft_h5_energy_ratio,shape_fft_h6_energy_ratio,shape_fft_h7_energy_ratio,shape_fft_h8_energy_ratio,shape_fft_h9_energy_ratio,shape_fft_h10_energy_ratio,log_b_m_T,log_b_pp_T,condition_group,energy_proxy_Hz_T,near_shape_group,near_shape_quantization
附件一（训练集）.xlsx|材料1|2,附件一（训练集）.xlsx,材料1,2,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50030,1997.95525,正弦波,1,D93DCC293B346A60BEF535AF32DC0CAED7BDADF1B76334201181E481F0CA63EA,AA308601F1BDCF67235881EBD47DCCCFB5BB360B5A13BA13D4A4803EE6F08084,10.8203781045,-4.00390606087e-11,0.028848625,0.057688788,0.028844394,0.0204001894945,1.41413514849,0.0204001894945,-0.02851418045,-0.020354663,1.265e-05,0.02035064825,0.0285105527,0.000177071,0.000112673414063,0.0001255835,0.00017416,0.0001758277,0.115377576,0.353624858516,-0.49427594856,-0.352835683772,0.000219280738556,0.352766091914,0.494213065111,-0.000626793467434,-1.49791216547,1.41413515045,0.00306941792572,0.001953125,0.0021769134758,0.00301895751389,0.00304786607755,2,0.4990234375,0.5009765625,0.0361328125,2,3.62015796303e-06,0.999996334695,2.08928548399e-07,2.94141155062e-06,7.82683463718e-08,2.58545784378e-07,3.23829296397e-09,7.81720780615e-08,5.96337729963e-09,4.0820783301e-08,4.79593265273e-09,-3.54569294748,-2.85269243977,材料1|25|正弦波|46|-16,1443.29670875,near-shape-v1:0.02:CA52FB8128198D46B39447D7F2D4FC69F4A041C976D44886A885425819AD1E57,0.02
附件一（训练集）.xlsx|材料1|3,附件一（训练集）.xlsx,材料1,3,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,2427.74983,正弦波,1,E54A8EC442B9516088FD8B445A8E7DA41F0E174ABC8B416934FBAD9DE0D68A81,8C6C47FCE4932584C4055796E03226651FA11B1E7895018047469805014E2206,10.8201782044,-2.53906253661e-11,0.0314273,0.062846476,0.031423238,0.022223329538,1.41415803362,0.022223329538,-0.0310683756,-0.02218831775,2.375e-05,0.022159249,0.0310536919,0.000193151,0.000122747023437,0.000136714,0.0001897341,0.00019169285,0.125692952,0.353612978045,-0.494353503204,-0.353055877383,0.000377905443586,0.352593342312,0.494119860044,-0.00122236987769,-1.49789078099,1.41415803248,0.00307337837049,0.001953125,0.00217536461392,0.00301900937134,0.00305017659224,2,0.5,0.5,0.0380859375,2,4.14857620593e-06,0.999995799716,5.98215854872e-07,3.12978811228e-06,5.99428097055e-08,2.43228075131e-07,4.83610988831e-09,7.46788245457e-08,1.27557190152e-09,3.62293078808e-08,3.64114527994e-10,-3.46007833705,-2.76706041553,材料1|25|正弦波|46|-16,1571.993546,near-shape-v1:0.02:5777BB917837A1FB294596D9F4C784227D33ABCDFD32B705529ABBD71026E3EA,0.02
附件一（训练集）.xlsx|材料1|4,附件一（训练集）.xlsx,材料1,4,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,3332.72576,正弦波,1,ADB5DC642E334682B81F762C6584D154299ED6FA7DB58C15DCF396A8E043AC52,97618EA0D56E858E6853D9CAD4D957A1BE3184D5559B16756C0F1BB4BAFA3DC8,10.8201782044,-9.76562580801e-13,0.035534728,0.071047269,0.0355236345,0.025106653255,1.41535104815,0.025106653255,-0.0351134611,-0.02505712975,1.5823e-05,0.02506122825,0.0351084785,0.000216328,0.000138764197266,0.000155333,0.0002138113,0.0002152625,0.142094538,0.353379568397,-0.494226753445,-0.352682518297,0.000222710896552,0.352740205271,0.494156622698,-0.00049423867921,-1.49639133488,1.41535104819,0.00304484610098,0.001953125,0.002186333158,0.00300942320527,0.00302984904318,2,0.5,0.5,0.037109375,2,5.25349829088e-06,0.999994709894,1.73043728455e-07,4.49277500036e-06,1.01808173129e-07,3.73700435698e-07,1.6771562592e-08,1.89089694593e-08,1.31940634194e-08,6.22799055043e-08,9.88660701948e-10,-3.33724480716,-2.6444098629,材料1|25|正弦波|46|-15,1777.44709456,near-shape-v1:0.02:9185FB88E73486FA96B3691974CAF496E90A81A05595974AA7E031EF076048A2,0.02
附件一（训练集）.xlsx|材料1|5,附件一（训练集）.xlsx,材料1,5,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,4502.908007,正弦波,1,091E5990E062B91FC332E3E0A6A3915E02989BDA5CD5C99088D0A67217F3B64F,65FE9297952F9E905E802FDA99C58A1F54BAB56BDA4CF288ADD6E01CAA2ACBB3,10.8201782044,-5.85937513786e-11,0.040025182,0.080040605,0.0400203025,0.0282627362558,1.41618212893,0.0282627362558,-0.0395641777,-0.02820306125,3.655e-05,0.028164013,0.0395291452,0.000244658,0.000156329306641,0.00017516,0.0002404819,0.0002425283,0.16008121,0.353104980351,-0.494301331698,-0.352359420464,0.000456643957073,0.35187156642,0.493863649064,-0.00153079805551,-1.49490603694,1.41618212685,0.00305667354713,0.001953125,0.00218838925568,0.00300449877909,0.00303006580223,2,0.4990234375,0.5009765625,0.0361328125,2,9.86683865167e-06,0.999990083273,2.29807461355e-06,6.9906744359e-06,7.93040443797e-08,3.91692070184e-07,1.31070097074e-08,8.72577937181e-08,5.59789179682e-09,1.81110178578e-10,8.51835515664e-10,-3.21824647295,-2.52522121057,材料1|25|正弦波|46|-14,2002.05960364,near-shape-v1:0.02:EBAB2552D3D6F71B7EE863BC31577D6CDFA94BB1C1554C0B7E84158A5F17F3E2,0.02
附件一（训练集）.xlsx|材料1|6,附件一（训练集）.xlsx,材料1,6,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50030,6063.023248,正弦波,1,008D9AF142B35C378CF05E1A3269FF4589339267CD0D80BD4A1896D7783167B1,A8D7A1DAB143EF96E7E695F851C354ED3A3701C6F1A8FE499277AFDA584B6FF3,10.8203781045,4.10156249242e-11,0.045085135,0.090112765,0.0450563825,0.0318123074139,1.41722303929,0.0318123074139,-0.04455692735,-0.0317200105,6.01155e-05,0.031675826,0.04447772145,0.000275157,0.000176001494141,0.0001972865,0.0002707394,0.0002732735,0.18022553,0.353027758208,-0.494457443305,-0.352003520711,0.000667113687882,0.351513195261,0.493578478132,-0.00250789550754,-1.49513326281,1.41722304058,0.00305347416651,0.001953125,0.00218932911447,0.00300445114518,0.00303257257726,2,0.5,0.5,0.03515625,2,9.67418665678e-06,0.999990302854,3.13852980205e-06,6.16197399571e-06,5.1071887233e-08,1.84084694345e-07,1.2417353094e-08,1.0386266578e-07,6.28515985079e-09,1.39877396018e-08,1.87954711021e-09,-3.09920268769,-2.40669344849,材料1|25|正弦波|46|-14,2255.60930405,near-shape-v1:0.02:DA89352F429A267DC2C7C16A62E111409419D4CAE43E2240115EE5E6D348BCB4,0.02
附件一（训练集）.xlsx|材料1|7,附件一（训练集）.xlsx,材料1,7,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,14273.85421,正弦波,1,1D05883380DFA77FD8E078B8EC4797E92E3E702B8B11BE9238ECAFE3E04D1458,A501BE465CD6D275C0D71B2DFD7B20F05CA4E708A073B7A142273C98643BC57C,10.8201782044,1.75781195155e-11,0.063456843,0.126766096,0.063383048,0.0448106239248,1.41611157003,0.0448106239248,-0.06273901455,-0.044708687,0.000114179,0.0446900555,0.06254379285,0.000390056,0.00024759003125,0.000276152,0.0003827935,0.0003860037,0.253532192,0.353490604655,-0.494919513555,-0.352686470818,0.000900705993359,0.352539495122,0.493379498193,-0.003588574844,-1.49762769072,1.41611157042,0.00307697414615,0.001953125,0.00217843736388,0.00301968359111,0.00304500739693,2,0.4990234375,0.5009765625,0.037109375,2,9.94892363401e-06,0.99999000794,7.7530568662e-06,1.92405814172e-06,3.88308583583e-08,1.11038211538e-07,8.52737900525e-09,7.80753932978e-08,6.64297074535e-09,2.65234906279e-08,2.07091228498e-09,-2.75739524194,-2.06541165444,材料1|25|正弦波|46|-12,3174.11128686,near-shape-v1:0.02:0AAF40609D25B636ED158B4A732E64214D22F95DE1B65693AE4795790B5AFFA0,0.02
附件一（训练集）.xlsx|材料1|8,附件一（训练集）.xlsx,材料1,8,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,56401.52952,正弦波,1,780CF8271CF521BC539464D4775676E7EEDC55F5BB4ED53D5E1A1858587F2040,B11E42FB1B5FC61E9B5A1CBD5542DBA06B85FA8A4C93E57F29104254A4F326FA,10.8201782044,-4.88280943456e-12,0.112063878,0.223511117,0.1117555585,0.0791413788016,1.41599602758,0.0791413788016,-0.11084069,-0.079047265,0.0003748865,0.07904920825,0.1101847675,0.000692327,0.000436545150391,0.00048816,0.0006797551,0.00068474055,0.447022234,0.354082516627,-0.49590683221,-0.353661446715,0.00167726111307,0.353670140957,0.492972201937,-0.00686489051033,-1.50007238455,1.41599602752,0.00309750588379,0.001953125,0.00218405243798,0.0030412585697,0.00306356372422,2,0.4990234375,0.5009765625,0.0400390625,2,2.7638809361e-05,0.999972313424,1.65722209937e-05,1.06066888535e-05,4.09631721607e-08,8.1258096517e-08,1.12279374874e-08,2.88372250168e-07,3.13007416388e-09,3.31988009197e-08,9.83958392364e-10,-2.18868623098,-1.49829412567,材料1|25|正弦波|46|-10,5605.43517756,near-shape-v1:0.02:D5A32E58468F7D7493EDB1608829490B552F922C07CBCEE47093FAE344C4219A,0.02
附件一（训练集）.xlsx|材料1|9,附件一（训练集）.xlsx,材料1,9,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,73651.31728,正弦波,1,B8ADFFE560E57EE1EE59A164E6FB49413BD1F1AC532DA6E0762A2244737CC560,D5B0039B83F5761A5B50225F493C959A5FE66EFCEFEEB0B2CA2DBEC256017B52,10.8201782044,-1.17187509696e-11,0.125599949,0.250466813,0.1252334065,0.0887152144902,1.41576560144,0.0887152144902,-0.1242237751,-0.08862010525,0.0004726385,0.0886352135,0.12343246525,0.00077883,0.000489192994141,0.00054168,0.0007628624,0.0007699509,0.500933626,0.354199478277,-0.495969001244,-0.353819750317,0.00188703048543,0.353880070777,0.492809661221,-0.00749139291783,-1.50153342315,1.41576560131,0.00310951375422,0.001953125,0.00216268172822,0.00304576239408,0.00307406354869,2,0.498046875,0.501953125,0.0390625,2,3.53230233901e-05,0.999964644742,2.00228792235e-05,1.49240717789e-05,5.82331662588e-08,3.93501844555e-08,1.36537235802e-08,1.77855197713e-07,3.1844886518e-09,7.87301662009e-08,3.81660622682e-09,-2.074653431,-1.38442885027,材料1|25|正弦波|46|-10,6282.50944898,near-shape-v1:0.02:930178D47E8EA55A221B1F407296839D61C10D58179A924DB47FC4D8ADA93F48,0.02
附件一（训练集）.xlsx|材料1|10,附件一（训练集）.xlsx,材料1,10,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,125047.8122,正弦波,1,9DF3A9D12472C48D1525092A37220F19586E535C50077E2B674777CBF8292B83,73BA542ACE6919920BD9842DE2D37C78ED46090A616DFE15AA98E09A986719E2,10.8201782044,-8.78906669666e-12,0.157896017,0.314552217,0.1572761085,0.111470281157,1.41648532112,0.111470281157,-0.15613329795,-0.11156433225,0.0007207005,0.1114865985,0.1548327947,0.000982088,0.000614359798828,0.000679389,0.0009602894,0.00096838375,0.629104434,0.354377668104,-0.49636686535,-0.354676668012,0.0022911951334,0.354429542961,0.492232406389,-0.00950122009593,-1.50336478005,1.41648532104,0.00312217796259,0.001953125,0.0021598607903,0.00305287754497,0.00307861047439,2,0.498046875,0.501953125,0.0390625,2,5.66652779255e-05,0.999943295858,3.08915274659e-05,2.54438988002e-05,1.74670256107e-08,1.85313945931e-07,1.80506150252e-08,5.07209459586e-08,7.87177864029e-09,4.37641720192e-08,3.45002022546e-09,-1.84581858286,-1.15660518483,材料1|25|正弦波|46|-9,7897.95877034,near-shape-v1:0.02:D3AE5E8ABFF6EC2A303C151973581E8489A5C0B93470EF58AB1FB05CC366B9B8,0.02
附件一（训练集）.xlsx|材料1|11,附件一（训练集）.xlsx,材料1,11,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,25,25,50020,161776.6059,正弦波,1,2B0F39489B8F74AEA9EFE9038A6015C1E7A6BC8606B2D51C1ACD91057C54B4F6,CBFE316CB2F66FBB5BA9C6CCC9BAB54D97301317071BE30AA35C290D93FB8C3B,10.8201782044,-4.39453196055e-11,0.176389829,0.351204465,0.1756022325,0.124452449025,1.4173271027,0.124452449025,-0.17439717705,-0.124631773,0.000908115,0.1244211275,0.1727609503,0.001091551,0.000685946220703,0.000759387,0.0010726079,0.00107819215,0.70240893,0.354358960171,-0.496568792216,-0.354869557128,0.00258571611254,0.354269777134,0.491909891704,-0.0107451477529,-1.50337647306,1.41732710235,0.00310802141994,0.001953125,0.00216223617772,0.00305408389384,0.00306998417574,2,0.498046875,0.501953125,0.037109375,2,6.67875969205e-05,0.999933182912,3.64310966339e-05,2.9883523788e-05,3.78947714247e-08,3.16725058383e-07,3.16127630717e-08,1.14898899171e-08,5.13605103954e-09,6.25249985852e-08,3.13041338422e-09,-1.7350587958,-1.04638670375,材料1|25|正弦波|46|-8,8823.01924658,near-shape-v1:0.02:7D6118B406AE8B21622B61C6F51F20655F51DDBBC8B49B38FE4243BCA157BF98,0.02
