row_id,near_shape_group,condition_group,exact_record_sha256,q1_outer_fold,regression_outer_fold
附件一（训练集）.xlsx|材料1|2,near-shape-v1:0.02:CA52FB8128198D46B39447D7F2D4FC69F4A041C976D44886A885425819AD1E57,材料1|25|正弦波|46|-16,AA308601F1BDCF67235881EBD47DCCCFB5BB360B5A13BA13D4A4803EE6F08084,0,3
附件一（训练集）.xlsx|材料1|3,near-shape-v1:0.02:5777BB917837A1FB294596D9F4C784227D33ABCDFD32B705529ABBD71026E3EA,材料1|25|正弦波|46|-16,8C6C47FCE4932584C4055796E03226651FA11B1E7895018047469805014E2206,1,3
附件一（训练集）.xlsx|材料1|4,near-shape-v1:0.02:9185FB88E73486FA96B3691974CAF496E90A81A05595974AA7E031EF076048A2,材料1|25|正弦波|46|-15,97618EA0D56E858E6853D9CAD4D957A1BE3184D5559B16756C0F1BB4BAFA3DC8,0,0
附件一（训练集）.xlsx|材料1|5,near-shape-v1:0.02:EBAB2552D3D6F71B7EE863BC31577D6CDFA94BB1C1554C0B7E84158A5F17F3E2,材料1|25|正弦波|46|-14,65FE9297952F9E905E802FDA99C58A1F54BAB56BDA4CF288ADD6E01CAA2ACBB3,2,0
附件一（训练集）.xlsx|材料1|6,near-shape-v1:0.02:DA89352F429A267DC2C7C16A62E111409419D4CAE43E2240115EE5E6D348BCB4,材料1|25|正弦波|46|-14,A8D7A1DAB143EF96E7E695F851C354ED3A3701C6F1A8FE499277AFDA584B6FF3,2,0
附件一（训练集）.xlsx|材料1|7,near-shape-v1:0.02:0AAF40609D25B636ED158B4A732E64214D22F95DE1B65693AE4795790B5AFFA0,材料1|25|正弦波|46|-12,A501BE465CD6D275C0D71B2DFD7B20F05CA4E708A073B7A142273C98643BC57C,1,3
附件一（训练集）.xlsx|材料1|8,near-shape-v1:0.02:D5A32E58468F7D7493EDB1608829490B552F922C07CBCEE47093FAE344C4219A,材料1|25|正弦波|46|-10,B11E42FB1B5FC61E9B5A1CBD5542DBA06B85FA8A4C93E57F29104254A4F326FA,4,1
附件一（训练集）.xlsx|材料1|9,near-shape-v1:0.02:930178D47E8EA55A221B1F407296839D61C10D58179A924DB47FC4D8ADA93F48,材料1|25|正弦波|46|-10,D5B0039B83F5761A5B50225F493C959A5FE66EFCEFEEB0B2CA2DBEC256017B52,2,1
附件一（训练集）.xlsx|材料1|10,near-shape-v1:0.02:D3AE5E8ABFF6EC2A303C151973581E8489A5C0B93470EF58AB1FB05CC366B9B8,材料1|25|正弦波|46|-9,73BA542ACE6919920BD9842DE2D37C78ED46090A616DFE15AA98E09A986719E2,1,4
附件一（训练集）.xlsx|材料1|11,near-shape-v1:0.02:7D6118B406AE8B21622B61C6F51F20655F51DDBBC8B49B38FE4243BCA157BF98,材料1|25|正弦波|46|-8,CBFE316CB2F66FBB5BA9C6CCC9BAB54D97301317071BE30AA35C290D93FB8C3B,1,0
附件一（训练集）.xlsx|材料1|12,near-shape-v1:0.02:24736F2BE497D3B69B380E048AC58E0623B52D5A67C3F3AED629C882DEEB2B2E,材料1|25|正弦波|46|-7,DC11D8077E64E67E722991B3561BA5D6026CDE12312EEC11A5DEDAD9F4F4B0A4,3,3
附件一（训练集）.xlsx|材料1|13,near-shape-v1:0.02:2E21252AED8E138E8463D58FB2E7C978B431BA321A0A3BBB88F817010CEC2353,材料1|25|正弦波|46|-6,FD4AF78D1EA1D808A42551A565F09AC47EFC333CE9A6571447896D0CD62798D3,1,4
附件一（训练集）.xlsx|材料1|14,near-shape-v1:0.02:39A5A9602D1284C2FD2445E5E96A50F2F0EC92036C496E59961D2D1E2EE0C13F,材料1|25|正弦波|47|-17,7971A35D5A70793840E3CDCA301EE20EE0788B8E2B7086DAE008249428B151EC,0,1
附件一（训练集）.xlsx|材料1|15,near-shape-v1:0.02:0DA70D79A5842338524FF1060BA0573F92769477F2EA47EE4A9C270D8B72D49B,材料1|25|正弦波|47|-16,F343028C649EA332510505F387143049697F7741C3686F6904A0781F44438399,2,3
附件一（训练集）.xlsx|材料1|16,near-shape-v1:0.02:C0325A89119766659DAC87A719117C8D276F9D06C463766FAF150AD91910575E,材料1|25|正弦波|47|-16,77BE5C6473EA1B683467F912A724898992037DC176243C4DA6E58329377FF142,4,3
附件一（训练集）.xlsx|材料1|17,near-shape-v1:0.02:8585843735B29B47ECC684BAE365C6DEE886BC469C80C41860FB2F0E44791E32,材料1|25|正弦波|47|-15,A54ECB60B9A892A2F7108864DDB92791CA679F5B486CBC5AD2EEAC1A9923EDFB,2,3
附件一（训练集）.xlsx|材料1|18,near-shape-v1:0.02:0AAF40609D25B636ED158B4A732E64214D22F95DE1B65693AE4795790B5AFFA0,材料1|25|正弦波|47|-14,DE5A9B1FD213F88786AD91CF7743E4DF143249684C358AF4236598075968E46A,1,1
附件一（训练集）.xlsx|材料1|19,near-shape-v1:0.02:548ADC00DFA478603F54BB553340B10B26CCBB27FAF53FA9895E3778EA8DBFA8,材料1|25|正弦波|47|-14,0F6496CD51B9E9BD24F43C4B8C1670092B5566E7059DF2DA761D16026F3B570F,1,1
附件一（训练集）.xlsx|材料1|20,near-shape-v1:0.02:506A95D7780B390490AB521E92B3456B5A0B8AF21394AC257675F5F2EAF8C7C4,材料1|25|正弦波|47|-13,2D73304A8F76D3F6C0D2527ABEE8EF7EDAC22DA05811705C9B5ED0A5215F9866,0,1
附件一（训练集）.xlsx|材料1|21,near-shape-v1:0.02:3194F034555C4DC3DD03CD6CEF3D572FF32C647BF687FB3948BB9FB811BD0146,材料1|25|正弦波|47|-12,D390E858F04D3C59F4461B0864A9977B3D831391539594166E29DCB56576A1B1,2,0
附件一（训练集）.xlsx|材料1|22,near-shape-v1:0.02:073E903BEC27EB3AD6F4BE4020F0789B905689A3252793F84EE68D1CB71F2AEF,材料1|25|正弦波|47|-11,DD40C31C192CD159B73A105C2241FEAFEF46AF9D3B1FF830BF48D1117B742032,2,3
附件一（训练集）.xlsx|材料1|23,near-shape-v1:0.02:D460A3B214E86040B40FDA2F41781BB60B4EE7FFC19BD73FD9490990E967C44B,材料1|25|正弦波|47|-11,8D56F1C1C9AE45E963A970B69E0B93DD3B8CA00C4C9E0961A4B2AFB05AC1C403,4,3
附件一（训练集）.xlsx|材料1|24,near-shape-v1:0.02:E74F40899D60F3F91DCA8C063437FB9A6CFA7490C123AB7DCD2E498179BE03F8,材料1|25|正弦波|47|-10,77F4C772E95257203D8A2676E96C03920FCDD0D4DBB4A1259F30BBAB9646C291,1,3
附件一（训练集）.xlsx|材料1|25,near-shape-v1:0.02:9B04B7C6B541AB68338EACDBFC974F4CB93D634C19D5567E54CD3CCE364399C6,材料1|25|正弦波|47|-9,7AD10915CBA1AC6E2CDBBF80DFD6F5455B99D89E6D67137FE45294887BF92265,2,4
附件一（训练集）.xlsx|材料1|26,near-shape-v1:0.02:177AFF2DA44324782FF9B010DA58422EA4D827E86D053A274385F8E1837EB1A6,材料1|25|正弦波|47|-9,491C6D473470BE0A3CFD6029AD1EF9CA64D7E7C0E344BD58F66566BD266BF261,2,4
附件一（训练集）.xlsx|材料1|27,near-shape-v1:0.02:CF3146FF8F847AE4FE3081FCD0F2252C5ADE427906CA5D470795ADF01E937664,材料1|25|正弦波|47|-8,4845256D8A1CEC894A5FE72C2CA30E70BF18990557F59DC88845BB3865AEADC0,2,4
附件一（训练集）.xlsx|材料1|28,near-shape-v1:0.02:448D521553545D34D7D844C90E4EFEFA356DF347FC68EBAC2AAF6E15DA0AAC45,材料1|25|正弦波|47|-8,B437244B1F21A32BE78ACDDD902062531D7C7216DFEBB5C7D209D6B30E14384D,3,4
附件一（训练集）.xlsx|材料1|29,near-shape-v1:0.02:1605D251F89B16127BA5DC5034AE05C1CED5ABF8DEE7EF84FA1DE41C75281870,材料1|25|正弦波|47|-7,70DF93706CEF622D412B88312A5B97B92319C25D4E01A10228180BB40445A614,0,2
附件一（训练集）.xlsx|材料1|30,near-shape-v1:0.02:61F7DF401E524A54A8C1BB3120507ACAC7A1FDDAFF9EAD61EE01BFA43DF11655,材料1|25|正弦波|47|-7,4E22C59147515529BCB2BA9660FFBE886B1B15978DFDEA4AE09466B34EE46BA9,0,2
附件一（训练集）.xlsx|材料1|31,near-shape-v1:0.02:1FAE6BED5BAC1E73CD38A12DA5E9F3B6455801A1D12C9F3DFEA53AEAE0995AF4,材料1|25|正弦波|47|-6,0442DF2CCEACD20FEECE6ECCA4C7917E9B6962B04E82DD0C2603F36AAD30E25E,4,0
附件一（训练集）.xlsx|材料1|32,near-shape-v1:0.02:02C69980C29A85163E062AC8A91A6EA4A50E17082A7FC13A1F8558EC688CE98A,材料1|25|正弦波|47|-17,DC509F35CD8A4AC1CAC3F75AE744920C88AF5D1C4F23E73516DBE0F8D1A0068E,4,1
附件一（训练集）.xlsx|材料1|33,near-shape-v1:0.02:E707219F742D2B8B0068541308C77AF522BB12F9E8B7F081F0277CC9BCE867EE,材料1|25|正弦波|47|-17,51DBDC033F6E71D3AB8762E32627EDDFC025F0504C9389AEFFB3E696DA434FF2,0,1
附件一（训练集）.xlsx|材料1|34,near-shape-v1:0.02:489636BC2E6A47C34AB380F6FB6F6D37EFD96C000B02FA24957A11CD1BD787A7,材料1|25|正弦波|47|-16,BC013CB922FEEE295559F71EC87A1BC76742544DF093661537463A0136B70E47,2,3
附件一（训练集）.xlsx|材料1|35,near-shape-v1:0.02:AEBDC4B988A8AFDB454944F3D0E952A99EFF125E85A95BD7A84D986E2CB601EA,材料1|25|正弦波|47|-15,AC3312E9D0810E54998FEA08C3A868372504A917E0047A63A126BF322DE00EAF,4,3
附件一（训练集）.xlsx|材料1|36,near-shape-v1:0.02:65E80361E2434794CB3223F85C9BEEC48972C1171A228615DF6E69A359AB4BA9,材料1|25|正弦波|47|-15,8A1BB4D149C2F0A4090F10DF581C3C4798F2FE7BF7284129F0DDA2321319B35E,4,3
附件一（训练集）.xlsx|材料1|37,near-shape-v1:0.02:F0A0A2485A3ECF016D277D231D1A82D454468DB94CE7FFE93AE1BECF130F34AD,材料1|25|正弦波|47|-13,7E4FC57D3D8B78C0BCF9C6E6AA6B46470B6F0FFEA4941ED94A887AF48C376FAF,4,1
附件一（训练集）.xlsx|材料1|38,near-shape-v1:0.02:CA22785D015FEDC2D05C73B9CC0651523F578EEEAB5C48000C926A4F5610A003,材料1|25|正弦波|47|-13,81954C24684370E535B96A9B27553176AC3F8BAB260704701BFEFC06795437A2,3,1
附件一（训练集）.xlsx|材料1|39,near-shape-v1:0.02:62203684720E5B1C7EA128D5C9DEF1BF38E4E6FB38B62538660FCD1DE3233AE0,材料1|25|正弦波|47|-12,1765FD704DE53A778247F63C2EDB8D21EC71DF183D056A061E4E149E27483C2F,1,0
附件一（训练集）.xlsx|材料1|40,near-shape-v1:0.02:04360F35A93799D3F917D87CC988440C1DE75C5DF79D95F52DE03858DA15F6AF,材料1|25|正弦波|47|-12,5113E95A00D86FC2D7A3587DB9DF8902F3B2F4A97D2950D876A7DE95AFBB967E,3,0
附件一（训练集）.xlsx|材料1|41,near-shape-v1:0.02:5A1ACE3073CBAC173479623313A0FFE11164D8A6B6FE0CB9E909F3691A769838,材料1|25|正弦波|47|-12,8FA071EAE065C2E1AFA95F4151825D0F25A6A88C0283F1D96B2B68D666C5F1B6,3,0
附件一（训练集）.xlsx|材料1|42,near-shape-v1:0.02:A56CB85ED160A3BC4C307FCBC127AEDC39E6A2BEE336EA417F3EB33B34BCF12D,材料1|25|正弦波|47|-11,2E5262A3E8F70144FECADC6B25C837D1D272FAFC284EA8A8D2A6180DEC86612F,0,3
