outer_fold,C,class_weight,inner_fold,macro_f1
0,0.1,None,0,1
0,0.1,None,1,1
0,0.1,None,2,1
0,0.1,None,mean,1
0,0.1,balanced,0,1
0,0.1,balanced,1,1
0,0.1,balanced,2,1
0,0.1,balanced,mean,1
0,1,None,0,1
0,1,None,1,1
0,1,None,2,1
0,1,None,mean,1
0,1,balanced,0,1
0,1,balanced,1,1
0,1,balanced,2,1
0,1,balanced,mean,1
0,10,None,0,1
0,10,None,1,1
0,10,None,2,1
0,10,None,mean,1
0,10,balanced,0,1
0,10,balanced,1,1
0,10,balanced,2,1
0,10,balanced,mean,1
1,0.1,None,0,1
1,0.1,None,1,1
1,0.1,None,2,1
1,0.1,None,mean,1
1,0.1,balanced,0,1
1,0.1,balanced,1,1
1,0.1,balanced,2,1
1,0.1,balanced,mean,1
1,1,None,0,1
1,1,None,1,1
1,1,None,2,1
1,1,None,mean,1
1,1,balanced,0,1
1,1,balanced,1,1
1,1,balanced,2,1
1,1,balanced,mean,1
1,10,None,0,1
1,10,None,1,1
1,10,None,2,1
1,10,None,mean,1
1,10,balanced,0,1
1,10,balanced,1,1
1,10,balanced,2,1
1,10,balanced,mean,1
2,0.1,None,0,1
2,0.1,None,1,1
2,0.1,None,2,1
2,0.1,None,mean,1
2,0.1,balanced,0,1
2,0.1,balanced,1,1
2,0.1,balanced,2,1
2,0.1,balanced,mean,1
2,1,None,0,1
2,1,None,1,1
2,1,None,2,1
2,1,None,mean,1
2,1,balanced,0,1
2,1,balanced,1,1
2,1,balanced,2,1
2,1,balanced,mean,1
2,10,None,0,1
2,10,None,1,1
2,10,None,2,1
2,10,None,mean,1
2,10,balanced,0,1
2,10,balanced,1,1
2,10,balanced,2,1
2,10,balanced,mean,1
3,0.1,None,0,1
3,0.1,None,1,1
3,0.1,None,2,1
3,0.1,None,mean,1
3,0.1,balanced,0,1
3,0.1,balanced,1,1
3,0.1,balanced,2,1
3,0.1,balanced,mean,1
3,1,None,0,1
3,1,None,1,1
3,1,None,2,1
3,1,None,mean,1
3,1,balanced,0,1
3,1,balanced,1,1
3,1,balanced,2,0.999646623511
3,1,balanced,mean,0.999882207837
3,10,None,0,1
3,10,None,1,1
3,10,None,2,1
3,10,None,mean,1
3,10,balanced,0,1
3,10,balanced,1,1
3,10,balanced,2,1
3,10,balanced,mean,1
4,0.1,None,0,1
4,0.1,None,1,1
4,0.1,None,2,1
4,0.1,None,mean,1
4,0.1,balanced,0,1
4,0.1,balanced,1,1
4,0.1,balanced,2,1
4,0.1,balanced,mean,1
4,1,None,0,1
4,1,None,1,1
4,1,None,2,1
4,1,None,mean,1
4,1,balanced,0,1
4,1,balanced,1,1
4,1,balanced,2,1
4,1,balanced,mean,1
4,10,None,0,1
4,10,None,1,1
4,10,None,2,1
4,10,None,mean,1
4,10,balanced,0,1
4,10,balanced,1,1
4,10,balanced,2,1
4,10,balanced,mean,1
