outer_fold,feature,scaled_coefficient
0,operating_splines__log_frequency_Hz_sp_0,-0.628170175252
0,operating_splines__log_frequency_Hz_sp_1,-1.28707675111
0,operating_splines__log_frequency_Hz_sp_2,-0.84986128625
0,operating_splines__log_frequency_Hz_sp_3,-0.479906611938
0,operating_splines__log_b_m_T_sp_0,-0.926649348814
0,operating_splines__log_b_m_T_sp_1,-2.45426060652
0,operating_splines__log_b_m_T_sp_2,-1.51811290549
0,operating_splines__log_b_m_T_sp_3,-0.846332101002
0,effect_codes__effect_temperature_25,0.220721393142
0,effect_codes__effect_temperature_50,0.0264907570138
0,effect_codes__effect_temperature_70,-0.102326946026
0,effect_codes__effect_waveform_正弦波,-0.130860286726
0,effect_codes__effect_waveform_三角波,0.184296079028
0,effect_codes__effect_material_材料1,-0.101538310888
0,effect_codes__effect_material_材料2,-0.054725130211
0,effect_codes__effect_material_材料3,0.0153099756971
1,operating_splines__log_frequency_Hz_sp_0,-0.618874133841
1,operating_splines__log_frequency_Hz_sp_1,-1.29157688466
1,operating_splines__log_frequency_Hz_sp_2,-0.845709821274
1,operating_splines__log_frequency_Hz_sp_3,-0.489058986819
1,operating_splines__log_b_m_T_sp_0,-0.955828007278
1,operating_splines__log_b_m_T_sp_1,-2.45847096553
1,operating_splines__log_b_m_T_sp_2,-1.5212603726
1,operating_splines__log_b_m_T_sp_3,-0.84139591223
1,effect_codes__effect_temperature_25,0.217676239198
1,effect_codes__effect_temperature_50,0.0229653044159
1,effect_codes__effect_temperature_70,-0.101276279173
1,effect_codes__effect_waveform_正弦波,-0.126810577779
1,effect_codes__effect_waveform_三角波,0.181705110321
1,effect_codes__effect_material_材料1,-0.0951940460664
1,effect_codes__effect_material_材料2,-0.0548282335348
1,effect_codes__effect_material_材料3,0.0268078624481
2,operating_splines__log_frequency_Hz_sp_0,-0.605830478281
2,operating_splines__log_frequency_Hz_sp_1,-1.28176868401
2,operating_splines__log_frequency_Hz_sp_2,-0.839778049529
2,operating_splines__log_frequency_Hz_sp_3,-0.477385407086
2,operating_splines__log_b_m_T_sp_0,-0.940240592735
2,operating_splines__log_b_m_T_sp_1,-2.49090081709
2,operating_splines__log_b_m_T_sp_2,-1.5302624491
2,operating_splines__log_b_m_T_sp_3,-0.861062043291
2,effect_codes__effect_temperature_25,0.221172581298
2,effect_codes__effect_temperature_50,0.0261854407363
2,effect_codes__effect_temperature_70,-0.0985337095979
2,effect_codes__effect_waveform_正弦波,-0.124421125225
2,effect_codes__effect_waveform_三角波,0.178296211727
2,effect_codes__effect_material_材料1,-0.101777724054
2,effect_codes__effect_material_材料2,-0.0567114394606
2,effect_codes__effect_material_材料3,0.0249169664627
3,operating_splines__log_frequency_Hz_sp_0,-0.609197735871
3,operating_splines__log_frequency_Hz_sp_1,-1.30403203944
3,operating_splines__log_frequency_Hz_sp_2,-0.852629948363
3,operating_splines__log_frequency_Hz_sp_3,-0.492419187075
3,operating_splines__log_b_m_T_sp_0,-0.930759802827
3,operating_splines__log_b_m_T_sp_1,-2.44797745442
3,operating_splines__log_b_m_T_sp_2,-1.51043108166
3,operating_splines__log_b_m_T_sp_3,-0.83453208985
3,effect_codes__effect_temperature_25,0.218556843393
3,effect_codes__effect_temperature_50,0.0251899549988
3,effect_codes__effect_temperature_70,-0.0999981115832
3,effect_codes__effect_waveform_正弦波,-0.117986374526
3,effect_codes__effect_waveform_三角波,0.170090118878
3,effect_codes__effect_material_材料1,-0.0998204794983
3,effect_codes__effect_material_材料2,-0.0556474022154
3,effect_codes__effect_material_材料3,0.0213826234404
4,operating_splines__log_frequency_Hz_sp_0,-0.604409366511
4,operating_splines__log_frequency_Hz_sp_1,-1.30409648626
4,operating_splines__log_frequency_Hz_sp_2,-0.845099773455
4,operating_splines__log_frequency_Hz_sp_3,-0.495517571932
4,operating_splines__log_b_m_T_sp_0,-0.927081071925
4,operating_splines__log_b_m_T_sp_1,-2.44440039778
4,operating_splines__log_b_m_T_sp_2,-1.50090968387
4,operating_splines__log_b_m_T_sp_3,-0.835561588786
4,effect_codes__effect_temperature_25,0.222743943581
4,effect_codes__effect_temperature_50,0.0203132577027
4,effect_codes__effect_temperature_70,-0.102012795611
4,effect_codes__effect_waveform_正弦波,-0.123085687524
4,effect_codes__effect_waveform_三角波,0.181109321408
4,effect_codes__effect_material_材料1,-0.0946041908495
4,effect_codes__effect_material_材料2,-0.0558171030451
4,effect_codes__effect_material_材料3,0.0213352910125
