factor,level,n,loss_q25_W_per_m3,loss_median_W_per_m3,loss_q75_W_per_m3
temperature_C,25,3244,13387.33571,56534.07486,246661.62
temperature_C,50,3070,10619.8365175,45699.649195,214237.3895
temperature_C,70,3030,8988.47802225,38151.07783,181347.4428
temperature_C,90,3056,9020.0725135,37628.595715,174810.007475
waveform,三角波,4948,15697.825075,60757.12332,270768.991775
waveform,梯形波,3398,13740.1666225,64564.82235,308298.55035
waveform,正弦波,4054,4642.593749,20987.23178,99419.006
material,材料1,3400,9983.361242,44323.28435,202332.080925
material,材料2,3000,11755.9877475,55545.23637,260769.308475
material,材料3,3200,13384.8076025,61055.740115,287328.959275
material,材料4,2800,6773.7075985,25284.38441,107991.747225
