temperature_C,waveform,material,n,loss_q25_W_per_m3,loss_median_W_per_m3,loss_q75_W_per_m3,frequency_min_Hz,frequency_max_Hz,b_m_min_T,b_m_max_T
25,三角波,材料1,370,21261.11137,74491.23363,306651.429425,56180,446410,0.010820703,0.278605788
25,三角波,材料2,244,27230.834775,129175.8165,579401.801425,63100,499980,0.009718389,0.309657646
25,三角波,材料3,279,26730.266115,106831.4018,495981.18975,63100,499980,0.009765179,0.310269938
25,三角波,材料4,445,11328.44385,35538.029,149193.3814,56170,446430,0.010805525,0.276221268
25,梯形波,材料1,220,15228.73248,64906.70829,295688.26285,50060,282480,0.010892402,0.276250198
25,梯形波,材料2,216,23649.11061,111194.4795,480575.873325,49990,499990,0.009658217,0.31026172
25,梯形波,材料3,277,27419.74278,132959.3702,539512.1691,49990,499980,0.009756921,0.312196998
25,梯形波,材料4,63,17951.80409,84353.46108,323302.115,50060,99980,0.017369725,0.273749401
25,正弦波,材料1,271,5659.3225565,36731.5784,161372.35525,50020,281860,0.012310655,0.278163572
25,正弦波,材料2,353,6772.981613,33052.48256,159206.3486,50020,501180,0.011145216,0.247204753
25,正弦波,材料3,294,6841.16500775,38899.84406,171263.566425,50020,501180,0.01147593,0.248698344
25,正弦波,材料4,212,5874.34936575,18722.192955,61761.5484375,50020,446690,0.011008093,0.122990382
50,三角波,材料1,357,18384.82535,66918.03918,277049.4631,56180,446410,0.010796736,0.275828653
50,三角波,材料2,255,17784.56472,99023.86313,434381.21585,63100,499980,0.009739469,0.309944631
50,三角波,材料3,258,22121.4128625,98276.801025,430709.92035,63100,499980,0.009864586,0.310511024
50,三角波,材料4,345,8727.724909,30115.50083,149179.2557,56170,446410,0.010810273,0.276453603
50,梯形波,材料1,232,9299.9682075,48268.404575,237318.612025,50060,316460,0.010945323,0.276261387
50,梯形波,材料2,224,18863.911365,70665.565445,369891.23145,49990,499990,0.00963815,0.312648375
50,梯形波,材料3,279,23930.949705,104661.2505,396911.32835,49990,499990,0.009756071,0.312993408
50,梯形波,材料4,121,6479.337988,36858.6067,174871.1633,50060,158750,0.012266227,0.271568717
50,正弦波,材料1,256,3487.9356855,18927.64359,100282.47875,50020,281860,0.012444533,0.277810676
50,正弦波,材料2,248,5760.081969,28985.849525,140067.706125,50020,501180,0.011633936,0.247979405
50,正弦波,材料3,264,5713.916566,31112.37568,122960.454025,50020,501180,0.011809229,0.245819974
50,正弦波,材料4,231,3556.4476665,14287.58212,57740.049225,50020,446690,0.011561545,0.167520127
70,三角波,材料1,341,17400.2295,59563.27602,239889.7485,56170,446410,0.01092883,0.278951118
70,三角波,材料2,252,17436.3770425,89229.168525,415409.520825,63100,499980,0.00974286,0.310374731
70,三角波,材料3,260,19166.2236725,82300.497435,387638.070625,63100,499980,0.009787708,0.310868457
70,三角波,材料4,342,9556.09282875,38303.313015,151853.54425,56180,446410,0.010850874,0.276568605
70,梯形波,材料1,237,9307.264942,43883.33183,192789.1583,50060,316470,0.01095946,0.27648126
70,梯形波,材料2,233,14814.57234,64692.62638,274467.5306,49990,499990,0.009709804,0.313283973
70,梯形波,材料3,277,19207.43507,93961.70868,440259.3259,49990,499990,0.009752121,0.310257903
70,梯形波,材料4,124,4483.030047,22728.533015,126492.430975,50070,177900,0.012279439,0.271982046
70,正弦波,材料1,265,3533.266046,15162.63384,105156.1819,50020,316230,0.012346483,0.278513563
70,正弦波,材料2,261,3716.673806,19013.9,86471.48,50020,501180,0.011786872,0.2991
70,正弦波,材料3,217,3637.16,15132.4619,73672.74,50020,501180,0.011955211,0.245430862
70,正弦波,材料4,221,3478.321362,11050.4242,50157.51029,50020,446690,0.011783536,0.17262
90,三角波,材料1,344,15346.2028025,50535.03255,233072.11945,56180,446410,0.010825434,0.278397707
90,三角波,材料2,252,23299.5952975,88471.88394,388425.454825,63100,499980,0.009749197,0.310238181
90,三角波,材料3,281,17162.45516,59794.0982,349613.7378,63100,499980,0.009790308,0.310783529
90,三角波,材料4,323,10338.84893,38826.04699,153048.63415,56170,446410,0.010801457,0.277599808
90,梯形波,材料1,232,10481.324255,35452.699115,194575.36295,50060,316460,0.010960476,0.275824183
90,梯形波,材料2,227,12714.96881,68573.53824,328617.4279,49990,499980,0.009654701,0.313195862
90,梯形波,材料3,279,14143.49177,68506.69146,332448.09765,49990,499980,0.009733015,0.313284469
90,梯形波,材料4,157,4073.54316,18851.26972,113947.5728,50060,199190,0.011026224,0.274924867
90,正弦波,材料1,275,3696.9728335,18547.17624,103204.76716,50020,316230,0.01229241,0.278771812
90,正弦波,材料2,235,3690.1569035,18064.28,97621.79783,50020,501180,0.011588346,0.2473358
90,正弦波,材料3,235,5551.5616005,24286.87445,134114.21775,50020,501180,0.011880378,0.24645
90,正弦波,材料4,216,3393.57521175,13431.45445,51617.354365,50010,446690,0.011672845,0.172589895
