outer_fold,alpha,inner_fold,rmsle
0,0.01,0,0.207364539264
0,0.01,1,0.198267886507
0,0.01,2,0.193282936482
0,0.01,mean,0.199638454084
0,0.1,0,0.207654217917
0,0.1,1,0.201232317751
0,0.1,2,0.196154576268
0,0.1,mean,0.201680370646
0,1,0,0.211526418127
0,1,1,0.208251414897
0,1,2,0.202568888404
0,1,mean,0.207448907143
0,10,0,0.213523981573
0,10,1,0.213517335301
0,10,2,0.208039805145
0,10,mean,0.21169370734
1,0.01,0,0.194397166154
1,0.01,1,0.201789796993
1,0.01,2,0.282049941256
1,0.01,mean,0.226078968134
1,0.1,0,0.197397635347
1,0.1,1,0.204897510374
1,0.1,2,0.283578362426
1,0.1,mean,0.228624502715
1,1,0,0.204204440656
1,1,1,0.211857739357
1,1,2,0.287095173731
1,1,mean,0.234385784581
1,10,0,0.210091688039
1,10,1,0.216926882468
1,10,2,0.284510034632
1,10,mean,0.237176201713
2,0.01,0,0.210559727118
2,0.01,1,0.197683373851
2,0.01,2,0.208552670676
2,0.01,mean,0.205598590549
2,0.1,0,0.213032259941
2,0.1,1,0.201090269948
2,0.1,2,0.207953274413
2,0.1,mean,0.207358601434
2,1,0,0.21933674831
2,1,1,0.207501415628
2,1,2,0.213242278646
2,1,mean,0.213360147528
2,10,0,0.224489194972
2,10,1,0.21237032823
2,10,2,0.216199011193
2,10,mean,0.217686178132
3,0.01,0,0.193821058261
3,0.01,1,0.201598326053
3,0.01,2,0.203808938133
3,0.01,mean,0.199742774149
3,0.1,0,0.197452458695
3,0.1,1,0.203549088738
3,0.1,2,0.206126217113
3,0.1,mean,0.202375921515
3,1,0,0.204926991148
3,1,1,0.209565797872
3,1,2,0.212926818291
3,1,mean,0.209139869103
3,10,0,0.210395605809
3,10,1,0.214119195049
3,10,2,0.217299367923
3,10,mean,0.21393805626
4,0.01,0,0.204757554107
4,0.01,1,0.200635786404
4,0.01,2,0.195874513568
4,0.01,mean,0.200422618026
4,0.1,0,0.208249248102
4,0.1,1,0.203151833418
4,0.1,2,0.198181821541
4,0.1,mean,0.203194301021
4,1,0,0.215093305614
4,1,1,0.209380284835
4,1,2,0.204527145427
4,1,mean,0.209666911959
4,10,0,0.21958294092
4,10,1,0.213857490821
4,10,2,0.209533201419
4,10,mean,0.214324544386
