group_field,group_value,n,rmsle,mae_W_per_m3,rmse_W_per_m3,mape_percent,median_ape_percent,r2_original_scale,outer_fold_count,is_major_subgroup
material,材料1,3400,0.178664246743,19254.3091661,63097.9887054,14.1739411767,11.2424826332,0.965452740747,5,True
material,材料2,3000,0.215114248699,30257.7566539,94270.8486622,16.8194779478,12.9098705886,0.946881006528,5,True
material,材料3,3200,0.208276654989,36046.0313442,117501.024208,16.3088062141,13.6673485102,0.936253678527,5,True
material,材料4,2800,0.198489910844,11954.1297634,27595.7372667,16.3101364603,13.0862053684,0.983348289151,5,True
waveform,三角波,4948,0.185245514394,28136.5119624,82498.3386347,14.9692789523,12.2631192368,0.963887993144,5,True
waveform,梯形波,3398,0.193183728888,35832.9756577,120706.366719,14.9591346565,11.759844789,0.924748663856,5,True
waveform,正弦波,4054,0.222042399171,10872.440131,28641.7956577,17.6633606312,14.1286779716,0.963186713693,5,True
temperature_C,25,3244,0.225505581871,39846.7273158,127539.963087,18.1816884343,15.9813485261,0.915080384601,5,True
temperature_C,50,3070,0.144664079707,22796.9917671,79306.3020628,11.5663696678,9.62230929785,0.955676426237,5,True
temperature_C,70,3030,0.181053179629,17998.2927133,53238.1338274,14.4844659836,11.690896044,0.974825371063,5,True
temperature_C,90,3056,0.234425445168,16777.6209774,43736.0005224,19.0210444132,14.8767600269,0.983313871695,5,True
frequency_quartile,"(158730.0, 251240.0]",3079,0.157344579997,22543.9689486,80444.5772674,13.3139332343,10.4018350854,0.956822251177,5,True
frequency_quartile,"(251240.0, 501180.0]",2955,0.226348920182,30465.0686543,84985.3782731,17.0636944009,14.459225688,0.961337166637,5,True
frequency_quartile,"(49989.999, 89210.0]",3135,0.223825341354,14957.6781858,32535.7849586,16.9348408035,14.1058745283,0.978112302686,5,True
frequency_quartile,"(89210.0, 158730.0]",3231,0.186018264261,30556.2690768,113910.586521,16.0937333691,12.2344780354,0.926892188188,5,True
b_m_quartile,"(0.008639999999999998, 0.0275]",3100,0.257513238445,2758.52069945,5729.07026838,21.9534509665,20.0891592846,0.908344473792,5,True
b_m_quartile,"(0.0275, 0.0499]",3101,0.202159908152,7042.04121666,17466.6694769,16.9601593385,13.9718453074,0.937151141865,5,True
b_m_quartile,"(0.0499, 0.101]",3099,0.185115512078,17172.9138724,40523.8522787,13.6740986626,10.4245615893,0.963087452571,5,True
b_m_quartile,"(0.101, 0.313]",3100,0.136762148211,71435.2066755,161018.621566,10.800390954,9.01918235683,0.918114408274,5,True
