row_id,condition_group,oof_fold,oof_model_id,strict_oof_lineage_pass
附件一（训练集）.xlsx|材料3|506,材料3|25|正弦波|49|-12,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|232,材料3|70|正弦波|55|-16,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|1542,材料1|50|三角波|54|-20,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|118,材料4|25|正弦波|52|-20,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|2213,材料4|50|三角波|55|-12,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|195,材料3|70|正弦波|49|-8,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|2419,材料4|70|三角波|55|-11,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|2621,材料1|50|三角波|55|-19,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|1822,材料4|90|三角波|55|-14,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|1645,材料1|50|三角波|48|-8,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|2482,材料1|25|梯形波|51|-13,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|2117,材料1|90|三角波|52|-9,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料2|112,材料2|50|正弦波|49|-12,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|1396,材料4|50|三角波|49|-10,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|1134,材料2|25|三角波|55|-18,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|1292,材料3|50|三角波|54|-19,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|1441,材料3|50|三角波|56|-19,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|2684,材料3|70|梯形波|55|-15,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|1522,材料4|70|三角波|53|-20,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|302,材料4|50|正弦波|51|-17,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料4|803,材料4|90|正弦波|54|-16,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|1140,材料4|25|三角波|49|-16,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|168,材料4|25|正弦波|55|-14,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|1137,材料3|25|三角波|56|-12,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|967,材料1|90|正弦波|52|-13,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|2760,材料4|90|梯形波|51|-9,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料4|932,材料4|25|三角波|50|-16,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|884,材料1|90|正弦波|49|-9,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|1234,材料3|25|三角波|50|-9,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|1524,材料2|50|三角波|49|-10,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|2264,材料1|90|三角波|48|-7,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料4|1870,材料4|90|三角波|49|-16,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|130,材料4|25|正弦波|52|-20,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|2897,材料3|70|梯形波|47|-10,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|2048,材料4|25|三角波|52|-16,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|1889,材料3|90|三角波|49|-11,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|962,材料3|25|正弦波|46|-14,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|244,材料1|25|正弦波|53|-18,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|622,材料1|70|正弦波|49|-14,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|1274,材料4|50|三角波|53|-15,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|1147,材料2|25|三角波|56|-16,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|2118,材料1|90|三角波|52|-9,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|2617,材料3|70|三角波|55|-15,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|3251,材料1|90|梯形波|51|-16,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料4|1381,材料4|50|三角波|49|-8,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|1871,材料4|90|三角波|48|-15,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|2041,材料3|25|梯形波|49|-8,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料2|166,材料2|50|正弦波|55|-14,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|293,材料2|90|正弦波|49|-13,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|225,材料1|25|正弦波|52|-9,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|2439,材料1|25|梯形波|49|-10,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|1144,材料4|25|三角波|49|-14,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|3328,材料1|90|梯形波|52|-12,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|2278,材料4|50|梯形波|48|-16,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|936,材料3|25|正弦波|47|-12,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|259,材料1|25|正弦波|54|-20,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|3077,材料1|70|梯形波|53|-13,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|1996,材料3|90|三角波|56|-20,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|1449,材料1|50|三角波|52|-17,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|395,材料4|50|正弦波|55|-16,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料2|109,材料2|50|正弦波|49|-15,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|738,材料1|70|正弦波|53|-20,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|1838,材料4|90|三角波|56|-17,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|1306,材料1|25|三角波|56|-16,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|1406,材料2|50|三角波|52|-7,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|1117,材料2|25|三角波|52|-17,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|2777,材料1|50|梯形波|52|-16,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|1446,材料1|50|三角波|52|-18,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|3143,材料1|90|三角波|55|-15,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|1395,材料2|50|三角波|50|-14,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料2|2559,材料2|70|梯形波|52|-11,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|160,材料1|25|正弦波|51|-17,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|1268,材料1|25|三角波|55|-19,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|2062,材料3|25|梯形波|52|-9,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|3183,材料3|90|梯形波|55|-11,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|1864,材料2|90|三角波|51|-13,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|2667,材料1|50|梯形波|48|-15,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|960,材料4|25|三角波|52|-17,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|1515,材料2|50|三角波|49|-12,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|2579,材料1|25|梯形波|54|-10,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|2523,材料3|50|梯形波|49|-6,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料2|1264,材料2|25|三角波|55|-11,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|2984,材料1|70|梯形波|50|-7,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|829,材料1|90|正弦波|47|-14,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|2382,材料1|25|梯形波|46|-8,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|2181,材料4|50|三角波|55|-20,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|318,材料1|50|正弦波|48|-17,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料2|303,材料2|90|正弦波|49|-7,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料2|1435,材料2|50|三角波|56|-21,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|2651,材料4|90|梯形波|47|-15,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|2425,材料3|50|梯形波|49|-10,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|1675,材料1|50|三角波|49|-7,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|270,材料4|50|正弦波|49|-11,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|1250,材料1|25|三角波|55|-19,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|1222,材料2|25|三角波|49|-12,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|2850,材料3|70|梯形波|54|-16,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|1503,材料4|70|三角波|52|-14,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|829,材料2|90|正弦波|53|-20,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|2641,材料1|50|梯形波|47|-13,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|1637,材料3|70|三角波|49|-10,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|3059,材料3|90|梯形波|52|-18,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|2596,材料4|90|三角波|55|-20,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|1408,材料1|50|三角波|50|-19,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|2010,材料3|25|三角波|55|-9,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|1715,材料3|70|三角波|52|-8,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|1777,材料3|90|三角波|54|-13,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料2|2880,材料2|90|梯形波|52|-11,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|2535,材料4|70|梯形波|50|-13,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|201,材料3|70|正弦波|50|-18,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|2375,材料4|50|梯形波|52|-19,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|1898,材料3|90|三角波|50|-7,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|1371,材料1|25|三角波|49|-12,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|2610,材料3|70|三角波|56|-11,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|1507,材料4|70|三角波|52|-20,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|1390,材料4|50|三角波|49|-13,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|3214,材料1|90|梯形波|49|-9,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|871,材料3|70|正弦波|52|-19,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料2|1801,材料2|70|三角波|55|-16,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|1033,材料4|25|三角波|54|-17,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|1589,材料1|50|三角波|55|-14,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料2|1899,材料2|90|三角波|55|-19,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|1660,材料3|70|三角波|54|-16,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|2345,材料4|50|梯形波|50|-11,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|2500,材料4|70|梯形波|48|-9,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|233,材料4|50|正弦波|48|-10,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料2|1534,材料2|50|三角波|52|-15,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|377,材料1|50|正弦波|49|-9,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|1699,材料3|70|三角波|49|-12,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|1420,材料4|70|三角波|47|-9,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|2141,材料3|25|梯形波|52|-9,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|2650,材料1|50|梯形波|47|-7,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|2623,材料3|70|梯形波|46|-13,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|2510,材料3|50|梯形波|49|-11,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|2255,材料2|25|梯形波|55|-20,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|432,材料3|70|正弦波|47|-15,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料1|1158,材料1|25|三角波|52|-19,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|3153,材料1|90|三角波|55|-8,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|2940,材料2|90|梯形波|49|-6,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|2318,材料4|50|梯形波|49|-7,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|842,材料1|90|正弦波|48|-14,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|284,材料4|50|正弦波|50|-10,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|2855,材料3|70|梯形波|54|-11,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|276,材料3|90|正弦波|49|-14,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|502,材料4|70|正弦波|50|-9,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|684,材料3|70|正弦波|49|-8,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|2155,材料3|25|梯形波|54|-10,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|2139,材料3|25|梯形波|52|-11,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料2|2234,材料2|25|梯形波|52|-8,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|305,材料3|90|正弦波|53|-17,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料4|497,材料4|70|正弦波|50|-13,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|1623,材料1|50|三角波|47|-12,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|3283,材料1|90|梯形波|52|-17,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|3083,材料3|90|梯形波|55|-14,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|2127,材料1|90|三角波|52|-14,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料3|48,材料3|25|正弦波|52|-11,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|2320,材料1|25|三角波|55|-16,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|1024,材料4|25|三角波|54|-14,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|2649,材料3|70|梯形波|51|-13,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|389,材料4|50|正弦波|55|-19,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料2|1714,材料2|70|三角波|50|-8,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|642,材料4|90|正弦波|47|-12,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|255,材料3|90|正弦波|47|-15,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|1274,材料3|50|三角波|51|-16,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|1024,材料3|25|三角波|52|-17,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|2953,材料3|90|梯形波|51|-15,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|1857,材料1|70|三角波|54|-11,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|667,材料3|70|正弦波|47|-8,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|1113,材料1|25|三角波|50|-11,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|210,材料1|25|正弦波|52|-19,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|441,材料4|70|正弦波|47|-10,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料4|2287,材料4|50|梯形波|48|-9,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|362,材料3|70|正弦波|52|-18,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料2|2169,材料2|25|梯形波|54|-13,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料1|234,材料1|25|正弦波|53|-14,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|931,材料1|90|正弦波|50|-14,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|31,材料1|25|正弦波|47|-6,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|155,材料3|50|正弦波|55|-20,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|1665,材料4|70|三角波|50|-17,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|2592,材料4|90|三角波|52|-15,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|3368,材料1|90|梯形波|54|-11,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料3|1664,材料3|70|三角波|54|-12,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料3|75,材料3|25|正弦波|55|-13,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料1|3196,材料1|90|梯形波|48|-14,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|518,材料3|25|正弦波|49|-9,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料1|894,材料1|90|正弦波|49|-13,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料2|1702,材料2|70|三角波|49|-6,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|1078,材料4|25|三角波|56|-16,1,q4-ridge-fold-1,True
附件一（训练集）.xlsx|材料4|1676,材料4|90|三角波|47|-10,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料2|2073,材料2|25|梯形波|49|-16,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料2|2354,材料2|50|梯形波|46|-12,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料3|437,材料3|50|正弦波|52|-19,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料4|546,材料4|70|正弦波|52|-15,2,q4-ridge-fold-2,True
附件一（训练集）.xlsx|材料2|1775,材料2|70|三角波|50|-14,4,q4-ridge-fold-4,True
附件一（训练集）.xlsx|材料1|1096,材料1|25|三角波|48|-6,3,q4-ridge-fold-3,True
附件一（训练集）.xlsx|材料4|1003,材料4|25|三角波|53|-18,0,q4-ridge-fold-0,True
附件一（训练集）.xlsx|材料3|1768,材料3|90|三角波|52|-12,3,q4-ridge-fold-3,True
