diagnostic,material,waveform,n,threshold_source,p90_threshold
full_oof_log_gap,材料1,三角波,1412,material_x_waveform,0.014296241243
full_oof_log_gap,材料1,梯形波,921,material_x_waveform,0.011242077398
full_oof_log_gap,材料1,正弦波,1067,material_x_waveform,0.0133942569551
full_oof_log_gap,材料2,三角波,1003,material_x_waveform,0.0140403461107
full_oof_log_gap,材料2,梯形波,885,material_x_waveform,0.011062146604
full_oof_log_gap,材料2,正弦波,1034,material_x_waveform,0.0213803155083
full_oof_log_gap,材料3,三角波,1078,material_x_waveform,0.0143585670745
full_oof_log_gap,材料3,梯形波,1094,material_x_waveform,0.0137453797317
full_oof_log_gap,材料3,正弦波,942,material_x_waveform,0.0190497212496
full_oof_log_gap,材料4,三角波,1455,material_x_waveform,0.0310059616819
full_oof_log_gap,材料4,梯形波,465,material_x_waveform,0.0127501910761
full_oof_log_gap,材料4,正弦波,880,material_x_waveform,0.0175580308738
oof_absolute_log_residual,材料1,三角波,1412,material_x_waveform,0.286493148581
oof_absolute_log_residual,材料1,梯形波,921,material_x_waveform,0.268110445612
oof_absolute_log_residual,材料1,正弦波,1067,material_x_waveform,0.359638596843
oof_absolute_log_residual,材料2,三角波,1003,material_x_waveform,0.29337681107
oof_absolute_log_residual,材料2,梯形波,885,material_x_waveform,0.360003205007
oof_absolute_log_residual,材料2,正弦波,1034,material_x_waveform,0.385179645545
oof_absolute_log_residual,材料3,三角波,1078,material_x_waveform,0.306268896917
oof_absolute_log_residual,材料3,梯形波,1094,material_x_waveform,0.320208639642
oof_absolute_log_residual,材料3,正弦波,942,material_x_waveform,0.375140258962
oof_absolute_log_residual,材料4,三角波,1455,material_x_waveform,0.331426655222
oof_absolute_log_residual,材料4,梯形波,465,material_x_waveform,0.293008649457
oof_absolute_log_residual,材料4,正弦波,880,material_x_waveform,0.335334399198
