row_id,source_file,source_file_sha256,source_sheet,source_excel_row,duplicate_row_ids,waveform_sha256,exact_record_sha256,condition_group,regression_outer_fold,oof_model_id,full_model_id,material,temperature_C,frequency_Hz,waveform,b_m_T,energy_proxy_Hz_T,feature_schema_sha256,q4_fold_models_artifact_sha256,q4_full_model_artifact_sha256,config_sha256,q5_region_id,y_pred_oof,y_pred_full,core_loss_W_per_m3,full_oof_log_gap,oof_absolute_log_residual,full_oof_gap_pass,oof_residual_pass,region_fold_support_pass,prebootstrap_single_point_eligible
附件一（训练集）.xlsx|材料2|188,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,188,附件一（训练集）.xlsx|材料2|188,6110ED78DE3D4FB5670DF241494A1C5DBF9EDA51A0823C131275B89FDD18D70C,7C754F528EF664D6EC4E13CB3B09CC3C2469D705B920CC7019252BDE55F92575,材料2|70|正弦波|47|-18,3,q4-ridge-fold-3,q4-ridge-full,材料2,70,63020,正弦波,0.019492321,1228.40606942,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|70|fq0|bq0,578.442350639,578.033020374,489.1650914,0.000706670667804,0.167323921038,True,True,False,False
附件一（训练集）.xlsx|材料1|529,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,529,附件一（训练集）.xlsx|材料1|529,7830F339E252182056F675256041503878B0F973F05DDF3AA867B949957B1D37,AE44FDF0FA8C54BC6710D037BDDB09EB923B85B41FBF9A1C9A0CF5888A606809,材料1|70|正弦波|46|-16,4,q4-ridge-fold-4,q4-ridge-full,材料1,70,50020,正弦波,0.027606042,1380.85422084,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|70|fq0|bq1,593.084875006,583.147338638,689.8457043,0.0168689531745,0.15089430912,False,True,False,False
附件一（训练集）.xlsx|材料1|561,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,561,附件一（训练集）.xlsx|材料1|561,074EAFDE30E6A590D0CF566FFF0B41464C685E62DBA8B6E041A8E46FFA285F4D,8C7824FD6AC88B2B40E6153F1845B8926E1488CDC57D545F1B5238156A6F715F,材料1|70|正弦波|47|-17,4,q4-ridge-fold-4,q4-ridge-full,材料1,70,63020,正弦波,0.024656781,1553.87033862,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|70|fq0|bq0,685.671689487,676.013271117,689.6302384,0.0141654123239,0.00574828181527,False,True,True,False
附件一（训练集）.xlsx|材料2|205,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,205,附件一（训练集）.xlsx|材料2|205,03CF3AFDE8D77B95A3ABCEF891AACC1F9A381AF6A42452288C3403352A955CCD,111EA52DE883F328E1D31D340B63713D3464EB1BB51C022605D137D2A2D20B45,材料2|70|正弦波|49|-19,0,q4-ridge-fold-0,q4-ridge-full,材料2,70,99950,正弦波,0.015647061,1563.92374695,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|70|fq1|bq0,681.635758776,680.098222424,466.5996296,0.00225489285252,0.378348983768,True,True,False,False
附件一（训练集）.xlsx|材料2|710,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,710,附件一（训练集）.xlsx|材料2|710,FAA37E64A011287A73BB03F40FC13B6E7203EB227F2BCA7307FFF4419282B96F,EE3E7F6DB07B66B2929A48444FE97C9087FB643C6A2DA49ACBA7835B9E3CC360,材料2|70|正弦波|49|-19,0,q4-ridge-fold-0,q4-ridge-full,材料2,70,99950,正弦波,0.015647061,1563.92374695,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|70|fq1|bq0,681.635758775,680.098222424,466.5996296,0.00225489285105,0.378348983767,True,True,False,False
附件一（训练集）.xlsx|材料4|727,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,727,附件一（训练集）.xlsx|材料4|727,8C893136A393182E799689C676E54C31D1A708E7A2559D99DE98D1D33DDB338C,B99B10A551105C7E2075270B2CC3C6C378E42156ECF18B825092E6A5F3C5C6E3,材料4|90|正弦波|51|-19,3,q4-ridge-fold-3,q4-ridge-full,材料4,90,141260,正弦波,0.012725956,1797.66854456,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料4|正弦波|90|fq1|bq0,846.613725813,840.767059496,577.1195732,0.00692169546449,0.382644298676,True,False,False,False
附件一（训练集）.xlsx|材料4|741,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,741,附件一（训练集）.xlsx|材料4|741,AA51D933F3F93BD27F41BB90FAEE8CB94B83EA40FEC856A060188E6D46410272,8DDE9AFD522FD0421FEEE35E6008A34106F1791956E9B9BA52490950D690EDF4,材料4|90|正弦波|52|-20,4,q4-ridge-fold-4,q4-ridge-full,材料4,90,158510,正弦波,0.011672845,1850.26266095,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料4|正弦波|90|fq1|bq0,872.381130584,849.979026627,615.8035297,0.0259845535578,0.347821491432,False,False,False,False
附件一（训练集）.xlsx|材料1|383,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,383,附件一（训练集）.xlsx|材料1|383,0513F5F4F3EC73AB429B7A1F2E59A5F313790C139A0CCAB13EC8E3AE4636D02B,5EAF1A0390C6AF3DA112E4A48AF0B9516867B8D071087A4F2A784B28C84024FD,材料1|50|正弦波|50|-18,1,q4-ridge-fold-1,q4-ridge-full,材料1,50,112160,正弦波,0.016657636,1868.32045376,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|50|fq1|bq0,932.590009395,929.837054058,739.8215625,0.00295314028817,0.231277589798,True,True,True,False
附件一（训练集）.xlsx|材料4|742,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,742,附件一（训练集）.xlsx|材料4|742,D3AADA834C6B6AD7740DFFA8B1379B03DA8246D4DC301299537243F4629E5E1B,136F64297A92E683D33C46F62671E7E6F1F506D89E42A0941B5EC90C5F3D2706,材料4|90|正弦波|52|-20,4,q4-ridge-fold-4,q4-ridge-full,材料4,90,158500,正弦波,0.012354452,1958.180642,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料4|正弦波|90|fq1|bq0,966.070618434,942.315889116,697.441908,0.0248703114621,0.325419512705,False,True,False,False
附件一（训练集）.xlsx|材料1|995,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,995,附件一（训练集）.xlsx|材料1|995,FD3AB31E7ADA72EA3EE7DCAC2666130899084231658018F988774509081CA462,DA48DAD37A1FFBE04232A8881DB8E49971B3C47848C9C2DD9F0EE41510815BB4,材料1|90|正弦波|52|-20,4,q4-ridge-fold-4,q4-ridge-full,材料1,90,199500,正弦波,0.012366007,2467.0183965,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|90|fq2|bq0,979.38036223,956.746706957,1150.367179,0.023357275825,0.160764745449,False,True,True,False
