row_id,q5_region_id,y_pred_oof,energy_proxy_Hz_T,outer_fold
附件一（训练集）.xlsx|材料1|3143,材料1|三角波|90|fq3|bq1,38622.4963811,13779.1495058,0
附件一（训练集）.xlsx|材料2|2841,材料2|梯形波|90|fq3|bq2,803883.249096,39090.7824251,0
附件一（训练集）.xlsx|材料1|3374,材料1|梯形波|90|fq3|bq0,5214.24667925,4929.69039816,0
附件一（训练集）.xlsx|材料1|419,材料1|正弦波|50|fq1|bq0,1242.70321537,2224.65444026,0
附件一（训练集）.xlsx|材料3|2622,材料3|三角波|70|fq3|bq3,2229542.70522,61658.0808831,0
附件一（训练集）.xlsx|材料2|2899,材料2|梯形波|90|fq3|bq2,448556.80866,31036.4043094,0
附件一（训练集）.xlsx|材料1|2631,材料1|三角波|50|fq3|bq3,1332859.75031,54888.8165972,0
附件一（训练集）.xlsx|材料1|997,材料1|正弦波|90|fq2|bq0,2097.11499819,3494.8096785,0
附件一（训练集）.xlsx|材料2|2664,材料2|梯形波|70|fq3|bq0,22970.9522932,9792.34314922,0
附件一（训练集）.xlsx|材料4|2594,材料4|三角波|90|fq3|bq3,536222.194259,34450.1033047,0
附件一（训练集）.xlsx|材料1|3161,材料1|三角波|90|fq3|bq1,41228.6551618,13803.566634,0
附件一（训练集）.xlsx|材料1|2595,材料1|三角波|50|fq3|bq3,1159404.63904,48882.0619041,0
附件一（训练集）.xlsx|材料2|260,材料2|正弦波|70|fq3|bq0,4168.13497858,4919.3404107,0
附件一（训练集）.xlsx|材料1|786,材料1|正弦波|70|fq3|bq2,217967.19022,24739.141359,0
附件一（训练集）.xlsx|材料1|1055,材料1|正弦波|90|fq3|bq2,279907.25807,27405.2852874,0
附件一（训练集）.xlsx|材料1|1052,材料1|正弦波|90|fq3|bq2,119302.048305,19724.8035084,0
附件一（训练集）.xlsx|材料1|1067,材料1|正弦波|90|fq3|bq2,107221.82483,19682.163422,0
附件一（训练集）.xlsx|材料4|2606,材料4|三角波|90|fq3|bq3,953869.644411,43521.8179242,0
附件一（训练集）.xlsx|材料1|2873,材料1|三角波|70|fq3|bq1,25232.1282675,11022.7405649,0
附件一（训练集）.xlsx|材料1|593,材料1|正弦波|70|fq0|bq0,1133.4702089,1968.92591126,0
附件一（训练集）.xlsx|材料3|3190,材料3|梯形波|90|fq3|bq1,64890.5919332,15509.8515811,0
附件一（训练集）.xlsx|材料1|3156,材料1|三角波|90|fq3|bq0,6611.65005791,6098.41190174,0
附件一（训练集）.xlsx|材料2|2978,材料2|梯形波|90|fq3|bq0,8556.06048447,6262.29391833,0
附件一（训练集）.xlsx|材料2|1975,材料2|三角波|90|fq3|bq2,673166.257875,38800.1330253,0
附件一（训练集）.xlsx|材料1|782,材料1|正弦波|70|fq3|bq1,16824.4874044,8785.96884315,0
附件一（训练集）.xlsx|材料1|3372,材料1|梯形波|90|fq3|bq0,3226.24152131,3950.25173136,0
附件一（训练集）.xlsx|材料4|2617,材料4|三角波|90|fq3|bq3,911243.990367,43477.9400412,0
附件一（训练集）.xlsx|材料3|2574,材料3|梯形波|50|fq3|bq2,504505.702811,31045.6386365,0
附件一（训练集）.xlsx|材料2|2774,材料2|三角波|90|fq3|bq3,1551523.79182,61405.1459702,0
附件一（训练集）.xlsx|材料3|2913,材料3|三角波|90|fq3|bq0,5667.94909595,4934.08845104,0
附件一（训练集）.xlsx|材料1|781,材料1|正弦波|70|fq3|bq1,12684.3995704,7826.96407155,0
附件一（训练集）.xlsx|材料1|978,材料1|正弦波|90|fq2|bq0,1754.9442206,3112.08454458,0
附件一（训练集）.xlsx|材料1|562,材料1|正弦波|70|fq0|bq1,915.340665636,1740.3376328,0
附件一（训练集）.xlsx|材料1|1066,材料1|正弦波|90|fq3|bq2,77783.1907734,17548.7253165,0
附件一（训练集）.xlsx|材料2|2819,材料2|梯形波|90|fq3|bq0,1298.9665392,2425.64707924,0
附件一（训练集）.xlsx|材料2|2745,材料2|梯形波|70|fq3|bq0,24502.9017722,9818.60724,0
附件一（训练集）.xlsx|材料2|1751,材料2|三角波|70|fq3|bq2,424156.374057,31000.1025992,0
附件一（训练集）.xlsx|材料1|1054,材料1|正弦波|90|fq3|bq2,219460.074883,24777.5713246,0
附件一（训练集）.xlsx|材料1|3373,材料1|梯形波|90|fq3|bq0,3831.4629535,4357.64269248,0
附件一（训练集）.xlsx|材料4|818,材料4|正弦波|90|fq3|bq0,11334.2949104,6986.23264784,0
附件一（训练集）.xlsx|材料1|3144,材料1|三角波|90|fq3|bq1,89353.6513601,19466.7515184,0
附件一（训练集）.xlsx|材料1|2887,材料1|三角波|70|fq3|bq1,26394.2336973,11062.7733538,0
附件一（训练集）.xlsx|材料2|2026,材料2|三角波|90|fq2|bq3,2754314.4161,61842.9172376,0
附件一（训练集）.xlsx|材料1|2874,材料1|三角波|70|fq3|bq1,31395.1894259,12350.561792,0
附件一（训练集）.xlsx|材料2|2772,材料2|三角波|90|fq3|bq2,594283.038647,38769.0350355,0
附件一（训练集）.xlsx|材料1|2888,材料1|三角波|70|fq3|bq1,34836.2581097,12364.0881953,0
附件一（训练集）.xlsx|材料2|1810,材料2|三角波|70|fq3|bq2,338646.144721,30759.1608396,0
附件一（训练集）.xlsx|材料1|2370,材料1|三角波|25|fq3|bq3,3017503.63762,68861.6535481,0
附件一（训练集）.xlsx|材料4|617,材料4|正弦波|70|fq3|bq1,60455.6965569,13887.0668103,0
附件一（训练集）.xlsx|材料2|2662,材料2|梯形波|70|fq3|bq0,7614.34809153,6255.80175792,0
附件一（训练集）.xlsx|材料2|263,材料2|正弦波|70|fq3|bq0,24515.6393502,9851.1521001,0
附件一（训练集）.xlsx|材料1|2889,材料1|三角波|70|fq3|bq1,44319.8143109,13849.9806853,0
附件一（训练集）.xlsx|材料2|2036,材料2|三角波|90|fq3|bq3,1273257.91035,49063.8519613,0
附件一（训练集）.xlsx|材料2|759,材料2|正弦波|70|fq3|bq0,24515.6393502,9851.1521001,0
附件一（训练集）.xlsx|材料3|3102,材料3|梯形波|90|fq3|bq1,72237.5408915,15541.0098347,0
附件一（训练集）.xlsx|材料1|3359,材料1|梯形波|90|fq3|bq0,5608.72232763,4931.56307732,0
附件一（训练集）.xlsx|材料2|647,材料2|正弦波|50|fq2|bq0,1497.51033909,2463.53830744,0
附件一（训练集）.xlsx|材料2|2773,材料2|三角波|90|fq3|bq3,1031378.09438,48870.927013,0
附件一（训练集）.xlsx|材料1|3395,材料1|梯形波|90|fq3|bq0,9699.53664005,6857.38344902,0
附件一（训练集）.xlsx|材料2|2044,材料2|三角波|90|fq3|bq1,187994.515975,24595.5136806,0
附件一（训练集）.xlsx|材料1|329,材料1|正弦波|50|fq0|bq0,973.045480616,1753.89380198,0
附件一（训练集）.xlsx|材料2|1959,材料2|三角波|90|fq2|bq3,507610.034678,31072.186444,0
附件一（训练集）.xlsx|材料2|2741,材料2|梯形波|70|fq3|bq2,699034.124693,39062.6200258,0
附件一（训练集）.xlsx|材料3|1939,材料3|三角波|90|fq3|bq0,5936.7042167,4952.39018626,0
附件一（训练集）.xlsx|材料1|2869,材料1|三角波|70|fq3|bq3,3165175.78994,77608.9797062,0
附件一（训练集）.xlsx|材料3|2882,材料3|梯形波|70|fq3|bq0,14215.5388225,7838.57444448,0
附件一（训练集）.xlsx|材料2|710,材料2|正弦波|70|fq1|bq0,681.635758775,1563.92374695,0
附件一（训练集）.xlsx|材料2|2594,材料2|梯形波|70|fq3|bq2,864658.149122,39110.4943587,0
附件一（训练集）.xlsx|材料2|2984,材料2|梯形波|90|fq3|bq2,364276.426489,30904.9075891,0
附件一（训练集）.xlsx|材料1|1053,材料1|正弦波|90|fq3|bq2,167753.227179,22030.337379,0
附件一（训练集）.xlsx|材料3|3177,材料3|梯形波|90|fq3|bq0,16020.4454874,7851.80367153,0
附件一（训练集）.xlsx|材料1|3152,材料1|三角波|90|fq3|bq1,41751.8326754,13825.7254602,0
附件一（训练集）.xlsx|材料2|2765,材料2|三角波|90|fq3|bq2,635735.406386,38787.9542227,0
附件一（训练集）.xlsx|材料1|998,材料1|正弦波|90|fq2|bq0,2819.50806062,3938.8807185,0
附件一（训练集）.xlsx|材料3|3193,材料3|梯形波|90|fq3|bq2,570744.249968,38834.8620434,1
附件一（训练集）.xlsx|材料3|947,材料3|正弦波|70|fq3|bq0,7860.73842044,6194.436,1
