q5_region_id,candidate_n,candidate_fold_count,heldout_pareto_fold_support,required_fold_support,region_fold_support_pass
材料1|三角波|25|fq0|bq1,11,4,0,3,False
材料1|三角波|25|fq0|bq2,26,5,0,3,False
材料1|三角波|25|fq0|bq3,47,5,0,3,False
材料1|三角波|25|fq1|bq0,10,3,0,3,False
材料1|三角波|25|fq1|bq1,16,4,0,3,False
材料1|三角波|25|fq1|bq2,17,4,0,3,False
材料1|三角波|25|fq1|bq3,16,5,0,3,False
材料1|三角波|25|fq2|bq0,31,3,0,3,False
材料1|三角波|25|fq2|bq1,27,5,0,3,False
材料1|三角波|25|fq2|bq2,22,4,0,3,False
材料1|三角波|25|fq2|bq3,11,1,0,3,False
材料1|三角波|25|fq3|bq0,54,5,0,3,False
材料1|三角波|25|fq3|bq1,40,5,0,3,False
材料1|三角波|25|fq3|bq2,26,4,0,3,False
材料1|三角波|25|fq3|bq3,16,3,2,3,False
材料1|三角波|50|fq0|bq0,1,1,0,3,False
材料1|三角波|50|fq0|bq1,7,2,0,3,False
材料1|三角波|50|fq0|bq2,23,5,0,3,False
材料1|三角波|50|fq0|bq3,44,5,0,3,False
材料1|三角波|50|fq1|bq0,9,4,0,3,False
材料1|三角波|50|fq1|bq1,16,5,0,3,False
材料1|三角波|50|fq1|bq2,17,4,0,3,False
材料1|三角波|50|fq1|bq3,21,5,0,3,False
材料1|三角波|50|fq2|bq0,33,5,0,3,False
材料1|三角波|50|fq2|bq1,24,3,0,3,False
材料1|三角波|50|fq2|bq2,28,4,0,3,False
材料1|三角波|50|fq2|bq3,12,3,0,3,False
材料1|三角波|50|fq3|bq0,48,5,2,3,False
材料1|三角波|50|fq3|bq1,36,4,1,3,False
材料1|三角波|50|fq3|bq2,21,4,2,3,False
材料1|三角波|50|fq3|bq3,17,3,2,3,False
材料1|三角波|70|fq0|bq0,1,1,0,3,False
材料1|三角波|70|fq0|bq1,10,3,0,3,False
材料1|三角波|70|fq0|bq2,30,5,0,3,False
材料1|三角波|70|fq0|bq3,41,5,0,3,False
材料1|三角波|70|fq1|bq0,6,3,0,3,False
材料1|三角波|70|fq1|bq1,14,4,0,3,False
材料1|三角波|70|fq1|bq2,20,5,0,3,False
材料1|三角波|70|fq1|bq3,20,5,0,3,False
材料1|三角波|70|fq2|bq0,35,5,0,3,False
材料1|三角波|70|fq2|bq1,22,5,0,3,False
材料1|三角波|70|fq2|bq2,28,3,0,3,False
材料1|三角波|70|fq2|bq3,14,3,0,3,False
材料1|三角波|70|fq3|bq0,39,5,1,3,False
材料1|三角波|70|fq3|bq1,26,4,2,3,False
材料1|三角波|70|fq3|bq2,22,3,2,3,False
材料1|三角波|70|fq3|bq3,13,4,4,3,True
材料1|三角波|90|fq0|bq1,11,4,0,3,False
材料1|三角波|90|fq0|bq2,27,3,0,3,False
材料1|三角波|90|fq0|bq3,43,5,0,3,False
材料1|三角波|90|fq1|bq0,9,3,0,3,False
材料1|三角波|90|fq1|bq1,17,4,0,3,False
材料1|三角波|90|fq1|bq2,17,5,0,3,False
材料1|三角波|90|fq1|bq3,21,5,0,3,False
材料1|三角波|90|fq2|bq0,34,5,0,3,False
材料1|三角波|90|fq2|bq1,24,5,0,3,False
材料1|三角波|90|fq2|bq2,25,4,0,3,False
材料1|三角波|90|fq2|bq3,12,3,0,3,False
材料1|三角波|90|fq3|bq0,42,5,3,3,True
材料1|三角波|90|fq3|bq1,25,4,2,3,False
材料1|三角波|90|fq3|bq2,20,3,2,3,False
材料1|三角波|90|fq3|bq3,17,4,4,3,True
材料1|梯形波|25|fq0|bq1,4,1,0,3,False
材料1|梯形波|25|fq0|bq2,18,3,0,3,False
材料1|梯形波|25|fq0|bq3,21,4,0,3,False
材料1|梯形波|25|fq1|bq0,4,3,0,3,False
材料1|梯形波|25|fq1|bq1,20,4,0,3,False
材料1|梯形波|25|fq1|bq2,22,4,0,3,False
材料1|梯形波|25|fq1|bq3,34,5,0,3,False
材料1|梯形波|25|fq2|bq0,16,5,0,3,False
材料1|梯形波|25|fq2|bq1,14,4,0,3,False
材料1|梯形波|25|fq2|bq2,16,4,0,3,False
材料1|梯形波|25|fq2|bq3,21,4,0,3,False
材料1|梯形波|25|fq3|bq0,13,4,0,3,False
材料1|梯形波|25|fq3|bq1,7,2,0,3,False
材料1|梯形波|25|fq3|bq2,6,2,0,3,False
材料1|梯形波|25|fq3|bq3,4,2,0,3,False
材料1|梯形波|50|fq0|bq1,4,2,0,3,False
材料1|梯形波|50|fq0|bq2,15,4,0,3,False
材料1|梯形波|50|fq0|bq3,23,5,0,3,False
材料1|梯形波|50|fq1|bq0,5,2,0,3,False
材料1|梯形波|50|fq1|bq1,18,4,0,3,False
材料1|梯形波|50|fq1|bq2,18,4,0,3,False
材料1|梯形波|50|fq1|bq3,35,5,0,3,False
