row_id,source_file,source_file_sha256,source_sheet,source_excel_row,duplicate_row_ids,waveform_sha256,exact_record_sha256,condition_group,regression_outer_fold,oof_model_id,full_model_id,material,temperature_C,frequency_Hz,waveform,b_m_T,energy_proxy_Hz_T,feature_schema_sha256,q4_fold_models_artifact_sha256,q4_full_model_artifact_sha256,config_sha256
附件一（训练集）.xlsx|材料3|506,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料3,506,附件一（训练集）.xlsx|材料3|506,6C3BEF79184FD0A744C7A9C2361328CDBB6D51106B0506282CEC4BEF84A10193,0002B3ECF0CB6401458FF55C0BFCCC1D9C62D1BEC94875198F262392B53EC7A9,材料3|25|正弦波|49|-12,0,q4-ridge-fold-0,q4-ridge-full,材料3,25,79470,正弦波,0.079384041,6308.64973827,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料3|232,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料3,232,附件一（训练集）.xlsx|材料3|232,05D220E6497AB4C94CAB36319CEFF72427F3F9F96262182404C8E075D6F84BF8,000993F8A3F2A69580AE636CB1F619AADA879428A701FCE404F606EEBC77984A,材料3|70|正弦波|55|-16,0,q4-ridge-fold-0,q4-ridge-full,材料3,70,316230,正弦波,0.031310317,9901.26154491,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料1|1542,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,1542,附件一（训练集）.xlsx|材料1|1542,0713B62B734AFC02B83607785AFC4B889BB13D4DB737A48C6C16268293989D4A,000CA46ED17B2493C8BC476E9BF8BA19C37014E504DB74306333B22F2EC9CE85,材料1|50|三角波|54|-20,4,q4-ridge-fold-4,q4-ridge-full,材料1,50,282480,三角波,0.012573626,3551.79787248,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料4|118,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,118,附件一（训练集）.xlsx|材料4|118,94C536C0F34214A17C8A3495DF8D4D634F355B772EC563DA21AEFD00060586E2,00145A5EDBA3E3BDB9E47C0F58DB7622EC8DBE2DB40EE2EA0CD672B1FB4A4610,材料4|25|正弦波|52|-20,1,q4-ridge-fold-1,q4-ridge-full,材料4,25,177820,正弦波,0.012472137,2217.79540134,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料4|2213,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,2213,附件一（训练集）.xlsx|材料4|2213,98AC34BBB103766A39767D4503B248DE4EEC22CBAE12E3062BD18511BF7B8F21,0016468111C7D0DF9FA9100800DB361C36757DC100AA5236959569A80ADE3CAF,材料4|50|三角波|55|-12,4,q4-ridge-fold-4,q4-ridge-full,材料4,50,396820,三角波,0.069013574,27385.9664347,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料3|195,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料3,195,附件一（训练集）.xlsx|材料3|195,664C273AEB805A403A4E59F06171B0D4CC9BC1A85808312B61DA1AC9994A9D0D,00186EBF73DFD2C7C2B45D9B29480EAD2C858D030828A747431634E7E3194958,材料3|70|正弦波|49|-8,1,q4-ridge-fold-1,q4-ridge-full,材料3,70,79460,正弦波,0.193417471,15368.9522457,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料4|2419,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,2419,附件一（训练集）.xlsx|材料4|2419,EFCCB567E03B7CC2DA9C527A46A64AA809551562ACB9DEA1C8FD7B3DABB5A027,0021B8B8E50E53C9AB032CE5C6773784D03F48FDDDDE9790B6AF3D875CA07AC3,材料4|70|三角波|55|-11,3,q4-ridge-fold-3,q4-ridge-full,材料4,70,396820,三角波,0.086456206,34307.5516649,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料1|2621,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,2621,附件一（训练集）.xlsx|材料1|2621,89B2A4BA493751664BC6BC3F04DAF364814E42FA18DB08389F3786BB5A0DFDBE,00228844479BAC9DB0925B7E07747153870B98A0580AC548FA7B3E87371591EF,材料1|50|三角波|55|-19,1,q4-ridge-fold-1,q4-ridge-full,材料1,50,396820,三角波,0.015404162,6112.67956484,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料4|1822,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,1822,附件一（训练集）.xlsx|材料4|1822,5DE0B88AD5B6A432992C16BE1A9A390276D3F291AE1C8076AEF566DC6BE6F75A,002380693201BBE2A11460273DD20B04EDB8485BDF6E7478AA9A7D2D46927DC1,材料4|90|三角波|55|-14,4,q4-ridge-fold-4,q4-ridge-full,材料4,90,354590,三角波,0.043592309,15457.3968483,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
附件一（训练集）.xlsx|材料1|1645,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,1645,附件一（训练集）.xlsx|材料1|1645,3151FD8800EDF10F9EAAAC46AF7DA60790F11A88F44C2ECFDC7F68AB788EBB93,00242CBCD18F08B770B3DA521E5547FB84E8045EAC768699463718E95697DD91,材料1|50|三角波|48|-8,4,q4-ridge-fold-4,q4-ridge-full,材料1,50,70800,三角波,0.196402059,13905.2657772,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B
