row_id,source_file,source_file_sha256,source_sheet,source_excel_row,duplicate_row_ids,waveform_sha256,exact_record_sha256,condition_group,regression_outer_fold,oof_model_id,full_model_id,material,temperature_C,frequency_Hz,waveform,b_m_T,energy_proxy_Hz_T,feature_schema_sha256,q4_fold_models_artifact_sha256,q4_full_model_artifact_sha256,config_sha256,q5_region_id,y_pred_oof,y_pred_full,core_loss_W_per_m3,full_oof_log_gap,oof_absolute_log_residual,full_oof_gap_pass,oof_residual_pass,region_fold_support_pass,prebootstrap_single_point_eligible
附件一（训练集）.xlsx|材料2|782,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,782,附件一（训练集）.xlsx|材料2|782,309D25979E3684CBE1A664085B1CD651C425410744C57616C53230FBC817A011,97E5B636DFAB62A520BD1CB75835A515BC34A91D67F0695C688C82DA6644B49F,材料2|90|正弦波|49|-18,0,q4-ridge-fold-0,q4-ridge-full,材料2,90,79470,正弦波,0.019044231,1513.44503757,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|90|fq0|bq0,735.024903648,735.384196271,415.6131139,0.000488033699535,0.569105947907,True,False,False,False
附件一（训练集）.xlsx|材料2|289,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,289,附件一（训练集）.xlsx|材料2|289,2A2DFF84AC69590A7F20E40E6E1B2F3F9DDA0E85871E9CB944EED0CE7142F26F,CFDF14E52C082F246DB911EE62B930366678A957C9E100B513008EC2814F8F90,材料2|90|正弦波|49|-18,0,q4-ridge-fold-0,q4-ridge-full,材料2,90,79470,正弦波,0.019044231,1513.44503757,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|90|fq0|bq0,735.024903648,735.384196271,415.6131139,0.000488033699535,0.569105947907,True,False,False,False
附件一（训练集）.xlsx|材料2|205,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,205,附件一（训练集）.xlsx|材料2|205,03CF3AFDE8D77B95A3ABCEF891AACC1F9A381AF6A42452288C3403352A955CCD,111EA52DE883F328E1D31D340B63713D3464EB1BB51C022605D137D2A2D20B45,材料2|70|正弦波|49|-19,0,q4-ridge-fold-0,q4-ridge-full,材料2,70,99950,正弦波,0.015647061,1563.92374695,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|70|fq1|bq0,681.635758776,680.098222424,466.5996296,0.00225489285252,0.378348983768,True,True,False,False
附件一（训练集）.xlsx|材料2|710,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,710,附件一（训练集）.xlsx|材料2|710,FAA37E64A011287A73BB03F40FC13B6E7203EB227F2BCA7307FFF4419282B96F,EE3E7F6DB07B66B2929A48444FE97C9087FB643C6A2DA49ACBA7835B9E3CC360,材料2|70|正弦波|49|-19,0,q4-ridge-fold-0,q4-ridge-full,材料2,70,99950,正弦波,0.015647061,1563.92374695,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|70|fq1|bq0,681.635758775,680.098222424,466.5996296,0.00225489285105,0.378348983767,True,True,False,False
附件一（训练集）.xlsx|材料4|727,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,727,附件一（训练集）.xlsx|材料4|727,8C893136A393182E799689C676E54C31D1A708E7A2559D99DE98D1D33DDB338C,B99B10A551105C7E2075270B2CC3C6C378E42156ECF18B825092E6A5F3C5C6E3,材料4|90|正弦波|51|-19,3,q4-ridge-fold-3,q4-ridge-full,材料4,90,141260,正弦波,0.012725956,1797.66854456,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料4|正弦波|90|fq1|bq0,846.613725813,840.767059496,577.1195732,0.00692169546449,0.382644298676,True,False,False,False
附件一（训练集）.xlsx|材料4|741,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料4,741,附件一（训练集）.xlsx|材料4|741,AA51D933F3F93BD27F41BB90FAEE8CB94B83EA40FEC856A060188E6D46410272,8DDE9AFD522FD0421FEEE35E6008A34106F1791956E9B9BA52490950D690EDF4,材料4|90|正弦波|52|-20,4,q4-ridge-fold-4,q4-ridge-full,材料4,90,158510,正弦波,0.011672845,1850.26266095,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料4|正弦波|90|fq1|bq0,872.381130584,849.979026627,615.8035297,0.0259845535578,0.347821491432,False,False,False,False
附件一（训练集）.xlsx|材料2|790,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料2,790,附件一（训练集）.xlsx|材料2|790,466C009C84BCD554136A6F0D505E978676237BB1757E14C18A016262A32956FC,FC71FA390D9857519A91C1C6C1565B89BDD104AB35FF061F34023A892416C4E3,材料2|90|正弦波|49|-18,0,q4-ridge-fold-0,q4-ridge-full,材料2,90,99950,正弦波,0.019560078,1955.0297961,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料2|正弦波|90|fq1|bq0,1158.57989191,1163.34804717,616.5615259,0.00410353683583,0.630034355734,True,False,False,False
附件一（训练集）.xlsx|材料1|682,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,682,附件一（训练集）.xlsx|材料1|682,0A21FE950D6DBC65DC5DECEFB682E7634942CF7535AF239BEFF3C039107B6601,E4D4FD42B53648A7C8C29AF4C30FF63C866F7B66B38E58790439506DAE3A45A5,材料1|70|正弦波|52|-19,3,q4-ridge-fold-3,q4-ridge-full,材料1,70,158510,正弦波,0.013960026,2212.80372126,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|70|fq1|bq0,996.570945339,995.437634749,684.0462375,0.00113671598342,0.375836933398,True,False,False,False
附件一（训练集）.xlsx|材料1|650,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,650,附件一（训练集）.xlsx|材料1|650,319B593DE50DA3760AA91539513A2F6F7D3ED0D71394DAD77FD3B88F5E6B91C3,31A4EB8211B1257AE4F9CCABB7B7BEDD9EECE22441F9D826B56049C0CC33C1B9,材料1|70|正弦波|50|-18,4,q4-ridge-fold-4,q4-ridge-full,材料1,70,125850,正弦波,0.017729536,2231.2621056,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|70|fq1|bq0,1114.30276339,1100.99402674,727.9912483,0.0120046143904,0.425219456846,True,False,False,False
附件一（训练集）.xlsx|材料1|941,附件一（训练集）.xlsx,C16AEE712BC0AD480B5285F17FA7FA57A5E22A1901D4A6ADB0A1EB83ECFB7FFC,材料1,941,附件一（训练集）.xlsx|材料1|941,6BEEF22A4E90F12F4CCBA6A387B0FC276B0870C48085D0CDAD03F593886DCB06,2EBC6DA6DBC23A04DE14E1DC88D456DFF7142752971CE397E5DE7CC01A1182A4,材料1|90|正弦波|51|-18,3,q4-ridge-fold-3,q4-ridge-full,材料1,90,141270,正弦波,0.016028874,2264.39902998,1528994E6DC4B68AEAF1605973D8A67CC1C13011A2FA0A766653FF9BE639C170,AFD3FF9D20B9829C714103D3E47F8B3093FED3601B1C2E47DA69358DA10F3D51,2B66DCDE1539748A4B4C7CE0574A96E1362CBFBE26957E618F2506632D0AAD4E,45EB32BF8721BD38DC5DE0B3298EA0EE5515DF84F1E1AB4BEAE16D445BF8078B,材料1|正弦波|90|fq1|bq0,1042.0701839,1047.3610555,763.220977,0.0050595810058,0.311066758893,True,True,False,False
