dataset,scope,field,value,count
test2,测试集,material,材料1,20
test2,测试集,material,材料2,20
test2,测试集,material,材料3,20
test2,测试集,material,材料4,20
test2,测试集,temperature_C,25,21
test2,测试集,temperature_C,50,18
test2,测试集,temperature_C,70,24
test2,测试集,temperature_C,90,17
test3,测试集,material,材料1,100
test3,测试集,material,材料2,100
test3,测试集,material,材料3,100
test3,测试集,material,材料4,100
test3,测试集,temperature_C,25,120
test3,测试集,temperature_C,50,97
test3,测试集,temperature_C,70,89
test3,测试集,temperature_C,90,94
test3,测试集,waveform,三角波,153
test3,测试集,waveform,梯形波,104
test3,测试集,waveform,正弦波,143
train,all,material,材料1,3400
train,all,material,材料2,3000
train,all,material,材料3,3200
train,all,material,材料4,2800
train,all,material_x_temperature_x_waveform,材料1|25|三角波,370
train,all,material_x_temperature_x_waveform,材料1|25|梯形波,220
train,all,material_x_temperature_x_waveform,材料1|25|正弦波,271
train,all,material_x_temperature_x_waveform,材料1|50|三角波,357
train,all,material_x_temperature_x_waveform,材料1|50|梯形波,232
train,all,material_x_temperature_x_waveform,材料1|50|正弦波,256
train,all,material_x_temperature_x_waveform,材料1|70|三角波,341
train,all,material_x_temperature_x_waveform,材料1|70|梯形波,237
train,all,material_x_temperature_x_waveform,材料1|70|正弦波,265
train,all,material_x_temperature_x_waveform,材料1|90|三角波,344
train,all,material_x_temperature_x_waveform,材料1|90|梯形波,232
train,all,material_x_temperature_x_waveform,材料1|90|正弦波,275
train,all,material_x_temperature_x_waveform,材料2|25|三角波,244
train,all,material_x_temperature_x_waveform,材料2|25|梯形波,216
train,all,material_x_temperature_x_waveform,材料2|25|正弦波,353
train,all,material_x_temperature_x_waveform,材料2|50|三角波,255
train,all,material_x_temperature_x_waveform,材料2|50|梯形波,224
train,all,material_x_temperature_x_waveform,材料2|50|正弦波,248
train,all,material_x_temperature_x_waveform,材料2|70|三角波,252
train,all,material_x_temperature_x_waveform,材料2|70|梯形波,233
train,all,material_x_temperature_x_waveform,材料2|70|正弦波,261
train,all,material_x_temperature_x_waveform,材料2|90|三角波,252
train,all,material_x_temperature_x_waveform,材料2|90|梯形波,227
train,all,material_x_temperature_x_waveform,材料2|90|正弦波,235
train,all,material_x_temperature_x_waveform,材料3|25|三角波,279
train,all,material_x_temperature_x_waveform,材料3|25|梯形波,277
train,all,material_x_temperature_x_waveform,材料3|25|正弦波,294
train,all,material_x_temperature_x_waveform,材料3|50|三角波,258
train,all,material_x_temperature_x_waveform,材料3|50|梯形波,279
train,all,material_x_temperature_x_waveform,材料3|50|正弦波,264
train,all,material_x_temperature_x_waveform,材料3|70|三角波,260
train,all,material_x_temperature_x_waveform,材料3|70|梯形波,277
train,all,material_x_temperature_x_waveform,材料3|70|正弦波,217
train,all,material_x_temperature_x_waveform,材料3|90|三角波,281
train,all,material_x_temperature_x_waveform,材料3|90|梯形波,279
train,all,material_x_temperature_x_waveform,材料3|90|正弦波,235
train,all,material_x_temperature_x_waveform,材料4|25|三角波,445
train,all,material_x_temperature_x_waveform,材料4|25|梯形波,63
train,all,material_x_temperature_x_waveform,材料4|25|正弦波,212
train,all,material_x_temperature_x_waveform,材料4|50|三角波,345
train,all,material_x_temperature_x_waveform,材料4|50|梯形波,121
train,all,material_x_temperature_x_waveform,材料4|50|正弦波,231
train,all,material_x_temperature_x_waveform,材料4|70|三角波,342
train,all,material_x_temperature_x_waveform,材料4|70|梯形波,124
train,all,material_x_temperature_x_waveform,材料4|70|正弦波,221
train,all,material_x_temperature_x_waveform,材料4|90|三角波,323
train,all,material_x_temperature_x_waveform,材料4|90|梯形波,157
train,all,material_x_temperature_x_waveform,材料4|90|正弦波,216
train,all,temperature_C,25,3244
train,all,temperature_C,50,3070
train,all,temperature_C,70,3030
train,all,temperature_C,90,3056
train,all,waveform,三角波,4948
train,all,waveform,梯形波,3398
train,all,waveform,正弦波,4054
train,材料1,temperature_C,25,861
train,材料1,temperature_C,50,845
train,材料1,temperature_C,70,843
train,材料1,temperature_C,90,851
train,材料1,waveform,三角波,1412
train,材料1,waveform,梯形波,921
train,材料1,waveform,正弦波,1067
train,材料2,temperature_C,25,813
train,材料2,temperature_C,50,727
train,材料2,temperature_C,70,746
train,材料2,temperature_C,90,714
train,材料2,waveform,三角波,1003
train,材料2,waveform,梯形波,900
train,材料2,waveform,正弦波,1097
train,材料3,temperature_C,25,850
train,材料3,temperature_C,50,801
train,材料3,temperature_C,70,754
train,材料3,temperature_C,90,795
train,材料3,waveform,三角波,1078
train,材料3,waveform,梯形波,1112
train,材料3,waveform,正弦波,1010
train,材料4,temperature_C,25,720
train,材料4,temperature_C,50,697
train,材料4,temperature_C,70,687
train,材料4,temperature_C,90,696
train,材料4,waveform,三角波,1455
train,材料4,waveform,梯形波,465
train,材料4,waveform,正弦波,880
