temperature_C,waveform,material,bootstrap_n,median,ci_lower_2_5pct,ci_upper_97_5pct,positive_fraction,sign_stability
25,三角波,材料1,500,10.8359001959,10.7837146566,10.8836453225,1,1
25,三角波,材料2,500,10.6525058073,10.6053971012,10.6984353342,1,1
25,三角波,材料3,500,10.7418571134,10.700141446,10.7802059053,1,1
25,三角波,材料4,500,11.0221096704,10.9675358942,11.0739514167,1,1
25,梯形波,材料1,500,10.4686780205,10.427360598,10.505709143,1,1
25,梯形波,材料2,500,10.6086214375,10.5639150821,10.6526217162,1,1
25,梯形波,材料3,500,10.7373938289,10.6953548198,10.7780329389,1,1
25,梯形波,材料4,500,10.8434094626,10.7851182715,10.9062971133,1,1
25,正弦波,材料1,500,10.4408970439,10.3943730486,10.487294447,1,1
25,正弦波,材料2,500,10.6560431651,10.593792591,10.7123899659,1,1
25,正弦波,材料3,500,10.7924774833,10.7378623829,10.8452464046,1,1
25,正弦波,材料4,500,10.8048791977,10.7432503078,10.868619652,1,1
50,三角波,材料1,500,10.6426857628,10.5857576947,10.6994258507,1,1
50,三角波,材料2,500,10.4964605784,10.4559412182,10.5414434486,1,1
50,三角波,材料3,500,10.5450202205,10.5063880246,10.5843299644,1,1
50,三角波,材料4,500,10.8727665549,10.820502978,10.9206072519,1,1
50,梯形波,材料1,500,10.1693518058,10.1387761563,10.2038181885,1,1
50,梯形波,材料2,500,10.3487942512,10.3170406705,10.3827560989,1,1
50,梯形波,材料3,500,10.4344208566,10.3982677018,10.468879533,1,1
50,梯形波,材料4,500,10.586111419,10.5450002561,10.6309306269,1,1
50,正弦波,材料1,500,10.0451523691,10.0008359098,10.0873730049,1,1
50,正弦波,材料2,500,10.2957523392,10.2515086294,10.3379056961,1,1
50,正弦波,材料3,500,10.3894118336,10.3420555355,10.4343253217,1,1
50,正弦波,材料4,500,10.4496739939,10.3993021058,10.501203977,1,1
70,三角波,材料1,500,10.5410154716,10.4801105651,10.6078058159,1,1
70,三角波,材料2,500,10.3499876083,10.3041473695,10.3930157886,1,1
70,三角波,材料3,500,10.434158981,10.3888682746,10.4804762188,1,1
70,三角波,材料4,500,10.7820356626,10.7302290952,10.8376321174,1,1
70,梯形波,材料1,500,9.99150171625,9.95059051044,10.0354579948,1,1
70,梯形波,材料2,500,10.1244940859,10.0899178882,10.1580340848,1,1
70,梯形波,材料3,500,10.2468823729,10.2166118977,10.2842144852,1,1
70,梯形波,材料4,500,10.420405151,10.3817284153,10.464084066,1,1
70,正弦波,材料1,500,9.80549581215,9.76886461967,9.84410130718,1,1
70,正弦波,材料2,500,10.0122569695,9.97127924425,10.0518664328,1,1
70,正弦波,材料3,500,10.1427247717,10.0986924107,10.1877713479,1,1
70,正弦波,材料4,500,10.224376694,10.1823510023,10.2691336584,1,1
90,三角波,材料1,500,10.477334746,10.41658414,10.5457553409,1,1
90,三角波,材料2,500,10.3141227793,10.2549465549,10.3679004899,1,1
90,三角波,材料3,500,10.4468158997,10.402605418,10.4940857578,1,1
90,三角波,材料4,500,10.7413488352,10.6683463473,10.8034874957,1,1
90,梯形波,材料1,500,9.90869513867,9.87033131916,9.95090944194,1,1
90,梯形波,材料2,500,10.0697046378,10.0221573599,10.1091280782,1,1
90,梯形波,材料3,500,10.2417021575,10.2023739169,10.2796443867,1,1
90,梯形波,材料4,500,10.3558617637,10.3156199065,10.4066165766,1,1
90,正弦波,材料1,500,9.69134633827,9.65143605358,9.73782978394,1,1
90,正弦波,材料2,500,9.9263500751,9.87279062148,9.97739477222,1,1
90,正弦波,材料3,500,10.1050564924,10.0601144362,10.1521727493,1,1
90,正弦波,材料4,500,10.1303410752,10.0728448108,10.1799963588,1,1
