q5_region_id,valid_repetitions,pareto_repetitions,conditional_region_pareto_rate,minimum_valid_repetitions,minimum_conditional_rate,bootstrap_region_stability_pass
材料1|三角波|25|fq0|bq1,497,0,0,400,0.5,False
材料1|三角波|25|fq0|bq2,500,0,0,400,0.5,False
材料1|三角波|25|fq0|bq3,500,0,0,400,0.5,False
材料1|三角波|25|fq1|bq0,499,0,0,400,0.5,False
材料1|三角波|25|fq1|bq1,500,0,0,400,0.5,False
材料1|三角波|25|fq1|bq2,500,0,0,400,0.5,False
材料1|三角波|25|fq1|bq3,500,0,0,400,0.5,False
材料1|三角波|25|fq2|bq0,500,0,0,400,0.5,False
材料1|三角波|25|fq2|bq1,500,0,0,400,0.5,False
材料1|三角波|25|fq2|bq2,500,0,0,400,0.5,False
材料1|三角波|25|fq2|bq3,495,0,0,400,0.5,False
材料1|三角波|25|fq3|bq0,500,133,0.266,400,0.5,False
材料1|三角波|25|fq3|bq1,500,156,0.312,400,0.5,False
材料1|三角波|25|fq3|bq2,498,77,0.154618473896,400,0.5,False
材料1|三角波|25|fq3|bq3,490,250,0.510204081633,400,0.5,True
材料1|三角波|50|fq0|bq0,311,0,0,400,0.5,False
材料1|三角波|50|fq0|bq1,472,0,0,400,0.5,False
材料1|三角波|50|fq0|bq2,500,0,0,400,0.5,False
材料1|三角波|50|fq0|bq3,500,0,0,400,0.5,False
材料1|三角波|50|fq1|bq0,499,0,0,400,0.5,False
材料1|三角波|50|fq1|bq1,500,0,0,400,0.5,False
材料1|三角波|50|fq1|bq2,500,0,0,400,0.5,False
材料1|三角波|50|fq1|bq3,500,0,0,400,0.5,False
材料1|三角波|50|fq2|bq0,500,0,0,400,0.5,False
材料1|三角波|50|fq2|bq1,500,0,0,400,0.5,False
材料1|三角波|50|fq2|bq2,500,0,0,400,0.5,False
材料1|三角波|50|fq2|bq3,494,0,0,400,0.5,False
材料1|三角波|50|fq3|bq0,500,172,0.344,400,0.5,False
材料1|三角波|50|fq3|bq1,500,360,0.72,400,0.5,True
材料1|三角波|50|fq3|bq2,498,442,0.887550200803,400,0.5,True
材料1|三角波|50|fq3|bq3,477,256,0.536687631027,400,0.5,True
材料1|三角波|70|fq0|bq0,298,0,0,400,0.5,False
材料1|三角波|70|fq0|bq1,499,0,0,400,0.5,False
材料1|三角波|70|fq0|bq2,500,0,0,400,0.5,False
材料1|三角波|70|fq0|bq3,500,0,0,400,0.5,False
材料1|三角波|70|fq1|bq0,496,0,0,400,0.5,False
材料1|三角波|70|fq1|bq1,500,0,0,400,0.5,False
材料1|三角波|70|fq1|bq2,500,0,0,400,0.5,False
材料1|三角波|70|fq1|bq3,500,0,0,400,0.5,False
材料1|三角波|70|fq2|bq0,500,0,0,400,0.5,False
材料1|三角波|70|fq2|bq1,500,0,0,400,0.5,False
材料1|三角波|70|fq2|bq2,500,0,0,400,0.5,False
材料1|三角波|70|fq2|bq3,498,0,0,400,0.5,False
材料1|三角波|70|fq3|bq0,500,359,0.718,400,0.5,True
材料1|三角波|70|fq3|bq1,500,461,0.922,400,0.5,True
材料1|三角波|70|fq3|bq2,499,467,0.935871743487,400,0.5,True
材料1|三角波|70|fq3|bq3,489,489,1,400,0.5,True
材料1|三角波|90|fq0|bq1,497,0,0,400,0.5,False
材料1|三角波|90|fq0|bq2,500,0,0,400,0.5,False
材料1|三角波|90|fq0|bq3,500,0,0,400,0.5,False
材料1|三角波|90|fq1|bq0,500,0,0,400,0.5,False
材料1|三角波|90|fq1|bq1,500,0,0,400,0.5,False
材料1|三角波|90|fq1|bq2,500,0,0,400,0.5,False
材料1|三角波|90|fq1|bq3,500,0,0,400,0.5,False
材料1|三角波|90|fq2|bq0,500,0,0,400,0.5,False
材料1|三角波|90|fq2|bq1,500,0,0,400,0.5,False
材料1|三角波|90|fq2|bq2,500,0,0,400,0.5,False
材料1|三角波|90|fq2|bq3,493,0,0,400,0.5,False
材料1|三角波|90|fq3|bq0,500,23,0.046,400,0.5,False
材料1|三角波|90|fq3|bq1,500,386,0.772,400,0.5,True
材料1|三角波|90|fq3|bq2,500,472,0.944,400,0.5,True
材料1|三角波|90|fq3|bq3,493,493,1,400,0.5,True
材料1|梯形波|25|fq0|bq1,428,0,0,400,0.5,False
材料1|梯形波|25|fq0|bq2,500,0,0,400,0.5,False
材料1|梯形波|25|fq0|bq3,500,0,0,400,0.5,False
材料1|梯形波|25|fq1|bq0,467,0,0,400,0.5,False
材料1|梯形波|25|fq1|bq1,498,0,0,400,0.5,False
材料1|梯形波|25|fq1|bq2,500,0,0,400,0.5,False
材料1|梯形波|25|fq1|bq3,500,0,0,400,0.5,False
材料1|梯形波|25|fq2|bq0,500,0,0,400,0.5,False
材料1|梯形波|25|fq2|bq1,495,0,0,400,0.5,False
材料1|梯形波|25|fq2|bq2,500,0,0,400,0.5,False
材料1|梯形波|25|fq2|bq3,500,0,0,400,0.5,False
材料1|梯形波|25|fq3|bq0,498,0,0,400,0.5,False
材料1|梯形波|25|fq3|bq1,480,0,0,400,0.5,False
材料1|梯形波|25|fq3|bq2,483,0,0,400,0.5,False
材料1|梯形波|25|fq3|bq3,472,0,0,400,0.5,False
材料1|梯形波|50|fq0|bq1,436,0,0,400,0.5,False
材料1|梯形波|50|fq0|bq2,500,0,0,400,0.5,False
材料1|梯形波|50|fq0|bq3,500,0,0,400,0.5,False
材料1|梯形波|50|fq1|bq0,472,0,0,400,0.5,False
材料1|梯形波|50|fq1|bq1,500,0,0,400,0.5,False
材料1|梯形波|50|fq1|bq2,500,0,0,400,0.5,False
材料1|梯形波|50|fq1|bq3,500,0,0,400,0.5,False
材料1|梯形波|50|fq2|bq0,500,0,0,400,0.5,False
材料1|梯形波|50|fq2|bq1,499,0,0,400,0.5,False
材料1|梯形波|50|fq2|bq2,499,0,0,400,0.5,False
材料1|梯形波|50|fq2|bq3,500,0,0,400,0.5,False
材料1|梯形波|50|fq3|bq0,500,0,0,400,0.5,False
材料1|梯形波|50|fq3|bq1,480,0,0,400,0.5,False
材料1|梯形波|50|fq3|bq2,480,0,0,400,0.5,False
材料1|梯形波|50|fq3|bq3,475,0,0,400,0.5,False
材料1|梯形波|70|fq0|bq1,436,0,0,400,0.5,False
材料1|梯形波|70|fq0|bq2,500,0,0,400,0.5,False
材料1|梯形波|70|fq0|bq3,500,0,0,400,0.5,False
材料1|梯形波|70|fq1|bq0,472,0,0,400,0.5,False
材料1|梯形波|70|fq1|bq1,500,0,0,400,0.5,False
材料1|梯形波|70|fq1|bq2,498,0,0,400,0.5,False
材料1|梯形波|70|fq1|bq3,500,0,0,400,0.5,False
材料1|梯形波|70|fq2|bq0,499,0,0,400,0.5,False
材料1|梯形波|70|fq2|bq1,500,0,0,400,0.5,False
材料1|梯形波|70|fq2|bq2,497,0,0,400,0.5,False
材料1|梯形波|70|fq2|bq3,499,1,0.00200400801603,400,0.5,False
材料1|梯形波|70|fq3|bq0,500,0,0,400,0.5,False
材料1|梯形波|70|fq3|bq1,497,0,0,400,0.5,False
材料1|梯形波|70|fq3|bq2,478,0,0,400,0.5,False
材料1|梯形波|70|fq3|bq3,474,0,0,400,0.5,False
材料1|梯形波|90|fq0|bq1,319,0,0,400,0.5,False
材料1|梯形波|90|fq0|bq2,500,0,0,400,0.5,False
材料1|梯形波|90|fq0|bq3,500,0,0,400,0.5,False
材料1|梯形波|90|fq1|bq0,440,0,0,400,0.5,False
材料1|梯形波|90|fq1|bq1,500,0,0,400,0.5,False
材料1|梯形波|90|fq1|bq2,500,0,0,400,0.5,False
材料1|梯形波|90|fq1|bq3,500,0,0,400,0.5,False
材料1|梯形波|90|fq2|bq0,499,0,0,400,0.5,False
材料1|梯形波|90|fq2|bq1,498,4,0.00803212851406,400,0.5,False
材料1|梯形波|90|fq2|bq2,492,0,0,400,0.5,False
材料1|梯形波|90|fq2|bq3,499,2,0.00400801603206,400,0.5,False
材料1|梯形波|90|fq3|bq0,500,0,0,400,0.5,False
材料1|梯形波|90|fq3|bq1,492,0,0,400,0.5,False
材料1|梯形波|90|fq3|bq2,488,111,0.227459016393,400,0.5,False
材料1|梯形波|90|fq3|bq3,434,18,0.0414746543779,400,0.5,False
材料1|正弦波|25|fq0|bq0,494,0,0,400,0.5,False
材料1|正弦波|25|fq0|bq1,500,0,0,400,0.5,False
材料1|正弦波|25|fq0|bq2,500,0,0,400,0.5,False
材料1|正弦波|25|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|25|fq1|bq0,500,0,0,400,0.5,False
材料1|正弦波|25|fq1|bq1,500,0,0,400,0.5,False
材料1|正弦波|25|fq1|bq2,500,0,0,400,0.5,False
材料1|正弦波|25|fq1|bq3,500,0,0,400,0.5,False
材料1|正弦波|25|fq2|bq0,500,7,0.014,400,0.5,False
材料1|正弦波|25|fq2|bq1,498,1,0.00200803212851,400,0.5,False
材料1|正弦波|25|fq2|bq2,500,0,0,400,0.5,False
材料1|正弦波|25|fq2|bq3,495,0,0,400,0.5,False
材料1|正弦波|25|fq3|bq0,493,1,0.00202839756592,400,0.5,False
材料1|正弦波|25|fq3|bq1,473,0,0,400,0.5,False
材料1|正弦波|25|fq3|bq2,445,3,0.00674157303371,400,0.5,False
材料1|正弦波|50|fq0|bq0,490,0,0,400,0.5,False
材料1|正弦波|50|fq0|bq1,500,0,0,400,0.5,False
材料1|正弦波|50|fq0|bq2,500,0,0,400,0.5,False
材料1|正弦波|50|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|50|fq1|bq0,500,146,0.292,400,0.5,False
材料1|正弦波|50|fq1|bq1,500,0,0,400,0.5,False
材料1|正弦波|50|fq1|bq2,500,0,0,400,0.5,False
材料1|正弦波|50|fq1|bq3,500,0,0,400,0.5,False
材料1|正弦波|50|fq2|bq0,500,395,0.79,400,0.5,True
材料1|正弦波|50|fq2|bq1,498,46,0.0923694779116,400,0.5,False
材料1|正弦波|50|fq2|bq2,498,8,0.0160642570281,400,0.5,False
材料1|正弦波|50|fq2|bq3,494,5,0.0101214574899,400,0.5,False
材料1|正弦波|50|fq3|bq0,492,324,0.658536585366,400,0.5,True
材料1|正弦波|50|fq3|bq1,440,4,0.00909090909091,400,0.5,False
材料1|正弦波|50|fq3|bq2,313,110,0.351437699681,400,0.5,False
材料1|正弦波|70|fq0|bq0,479,40,0.0835073068894,400,0.5,False
材料1|正弦波|70|fq0|bq1,500,0,0,400,0.5,False
材料1|正弦波|70|fq0|bq2,500,0,0,400,0.5,False
材料1|正弦波|70|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|70|fq1|bq0,500,493,0.986,400,0.5,True
材料1|正弦波|70|fq1|bq1,500,439,0.878,400,0.5,True
材料1|正弦波|70|fq1|bq2,500,102,0.204,400,0.5,False
材料1|正弦波|70|fq1|bq3,500,3,0.006,400,0.5,False
材料1|正弦波|70|fq2|bq0,500,495,0.99,400,0.5,True
材料1|正弦波|70|fq2|bq1,499,483,0.967935871743,400,0.5,True
材料1|正弦波|70|fq2|bq2,497,457,0.919517102616,400,0.5,True
材料1|正弦波|70|fq2|bq3,495,34,0.0686868686869,400,0.5,False
材料1|正弦波|70|fq3|bq0,500,271,0.542,400,0.5,True
材料1|正弦波|70|fq3|bq1,481,443,0.920997920998,400,0.5,True
材料1|正弦波|70|fq3|bq2,438,111,0.253424657534,400,0.5,False
材料1|正弦波|70|fq3|bq3,334,39,0.116766467066,400,0.5,False
材料1|正弦波|90|fq0|bq0,332,47,0.14156626506,400,0.5,False
材料1|正弦波|90|fq0|bq1,500,132,0.264,400,0.5,False
材料1|正弦波|90|fq0|bq2,500,4,0.008,400,0.5,False
材料1|正弦波|90|fq0|bq3,500,0,0,400,0.5,False
材料1|正弦波|90|fq1|bq0,500,500,1,400,0.5,True
材料1|正弦波|90|fq1|bq1,500,500,1,400,0.5,True
材料1|正弦波|90|fq1|bq2,500,416,0.832,400,0.5,True
材料1|正弦波|90|fq1|bq3,500,14,0.028,400,0.5,False
材料1|正弦波|90|fq2|bq0,500,491,0.982,400,0.5,True
